"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Isaac Paredes","DET","23","85","1","7","5","0","11.8%","12.9%",".111",".226",".208",".306",".319",".274",".283","71","-2.4","-5.4","-0.7","-0.3","20036"
"Johan Camargo","ATL","15","18","0","1","0","0","11.1%","33.3%",".000",".000",".000",".111",".000",".077",".166","-61","0.0","-3.7","-0.1","-0.3","14950"
"Jake Cave","MIN","76","178","3","14","13","1","5.6%","34.8%",".104",".283",".189",".249",".293",".241",".273","49","1.3","-9.9","0.6","-0.3","14477"
"Ryan McKenna","BAL","90","197","2","20","14","1","12.2%","37.6%",".083",".312",".183",".292",".266",".259",".281","59","1.6","-8.2","-1.7","-0.3","19928"
"Matt Carpenter","STL","130","249","3","18","21","2","14.1%","30.9%",".106",".250",".169",".305",".275",".269",".342","70","0.4","-9.2","-2.3","-0.3","8090"
"Maikel Franco","BAL","104","403","11","31","47","0","5.0%","16.6%",".146",".225",".210",".253",".355",".263",".269","62","-1.2","-20.0","3.0","-0.3","12179"
"Jay Bruce","NYY","10","39","1","3","3","0","12.8%","33.3%",".118",".150",".118",".231",".235",".217",".232","34","-0.8","-4.0","-0.7","-0.3","9892"
"Jose Marmolejos","SEA","41","122","4","11","12","0","12.3%","32.0%",".151",".203",".160",".262",".311",".256",".280","64","0.5","-4.8","-2.7","-0.3","15767"
"Scott Kingery","PHI","15","19","0","1","0","0","0.0%","63.2%",".000",".143",".053",".053",".053",".046",".056","-80","0.0","-4.4","0.3","-0.3","17975"
"Tucupita Marcano","SDP","25","50","0","7","3","0","12.0%","18.0%",".023",".229",".182",".280",".205",".231",".294","45","-0.6","-4.1","-1.0","-0.3","22871"
"P.J. Higgins","CHC","9","25","0","1","0","0","8.0%","32.0%",".000",".067",".043",".120",".043",".090",".164","-51","-0.2","-5.0","0.8","-0.3","18433"
"Orlando Arcia","- - -","36","89","2","9","14","1","7.9%","21.3%",".111",".230",".198",".258",".309",".245",".250","48","-0.3","-6.1","-0.3","-0.3","13185"
"Will Craig","PIT","18","65","1","5","3","0","7.7%","33.8%",".083",".324",".217",".277",".300",".251",".226","55","-0.2","-4.0","-1.7","-0.4","19267"
"Matt Adams","COL","22","40","0","3","2","0","10.0%","22.5%",".028",".222",".167",".250",".194",".198",".197","7","-1.0","-5.8","0.9","-0.4","9393"
"Jared Oliva","PIT","20","43","0","4","2","2","7.0%","23.3%",".050",".233",".175",".233",".225",".197",".214","20","0.8","-3.6","-1.3","-0.4","19968"
"Khris Davis","- - -","42","114","3","11","10","0","8.8%","27.2%",".157",".257",".206",".272",".363",".274",".311","74","-0.5","-4.1","-3.3","-0.4","9112"
"Cameron Maybin","NYM","9","33","0","2","0","1","9.1%","36.4%",".000",".063",".036",".182",".036",".133",".188","-16","0.4","-4.5","-0.1","-0.4","5223"
"Eric Sogard","CHC","78","180","1","16","12","3","5.0%","16.7%",".065",".293",".249",".283",".314",".259",".227","59","-1.9","-11.4","1.8","-0.4","7927"
"Jason Vosler","SFG","41","82","3","12","9","2","8.5%","25.6%",".178",".200",".178",".256",".356",".261",".293","64","-1.4","-5.2","-1.1","-0.4","16686"
"Greg Deichmann","CHC","14","31","0","0","1","0","3.2%","45.2%",".000",".250",".133",".161",".133",".136",".174","-22","0.2","-4.6","0.0","-0.4","19872"
"Willi Castro","DET","125","450","9","56","38","9","5.1%","24.2%",".131",".275",".220",".273",".351",".271",".290","69","2.0","-15.1","-3.8","-0.4","17338"
