rank,player,position,organization,age,prospect_rank
151,Noelvi Marte,SS,SEA,20,19
152,Ian Anderson,SP,ATL,24,
153,Tarik Skubal,SP,DET,25,
154,Francisco Alvarez,C,NYM,20,20
155,Tyler Soderstrom,C,OAK,20,21
156,Rhys Hoskins,1B,PHI,29,
157,Jared Walsh,1B,LAA,28,
158,J.D. Martinez,OF,BOS,34,
159,Amed Rosario,SS,CLE,26,
160,Marcus Stroman,SP,NYM,31,
161,Chris Bassitt,SP,OAK,33,
162,Carlos Rodon,SP,CHW,29,
163,German Marquez,SP,COL,27,
164,Michael Conforto,OF,NYM,29,
165,Chris Taylor,2B/SS/OF,LAD,31,
166,George Kirby,SP,SEA,24,22
167,Raisel Iglesias,RP,LAA,32,
168,Ty France,1B/2B,SEA,27,
169,Jorge Soler,OF,FA,30,
170,Zac Veen,OF,COL,20,23
171,Alek Thomas,OF,ARI,22,24
172,George Valera,OF,CLE,21,25
173,Matt Chapman,3B,OAK,29,
174,Luis Matos,OF,SFG,20,26
175,Clayton Kershaw,SP,LAD,34,
176,Jordan Montgomery,SP,NYY,29,
177,Austin Martin,OF/SS,TOR,23,27
178,Jordan Walker,3B,STL,20,28
179,Dylan Crews,OF,Open,20,29
180,Robert Hassell III,OF,SDP,20,30
181,Brooks Lee,SS,Open,21,31
182,Termarr Johnson,SS,Open,18,32
183,Hyun Jin Ryu,SP,TOR,35,
184,Josh Jung,3B,TEX,24,33
185,Sonny Gray,SP,CIN,32,
186,Michael Kopech,SP,CHW,26,
187,Logan Gilbert,SP,SEA,25,
188,Brayan Rocchio,SS,CLE,21,34
189,Tanner Houck,SP,BOS,26,
190,Dustin May,SP,LAD,24,
191,Keibert Ruiz,C,LAD,23,35
192,Luis Severino,SP,NYY,28,
193,Gavin Lux,2B/SS,LAD,24,
194,Willson Contreras,C,CHC,30,
195,Jack Leiter,SP,TEX,22,36
196,Ke'Bryan Hayes,3B,PIT,25,
197,Elly de la Cruz,SS,CIN,20,37
198,Aroldis Chapman,RP,NYY,34,
199,Josh Bell,1B,WSN,29,
200,Jeremy Pena,SS,HOU,24,38
201,Ryan Pressly,RP,HOU,33,
202,Trevor Bauer,SP,LAD,31,
203,Hunter Renfroe,OF,BOS,30,
204,John Means,SP,BAL,29,
205,Ian Happ,OF,CHC,27,
206,Brendan Rodgers,2B/SS,COL,25,
207,Jesus Sanchez,OF,MIA,24,
208,Kahlil Watson,SS,MIA,19,39
209,Eddie Rosario,OF,FA,30,
210,DJ LeMahieu,3B/2B/1B,NYY,33,
211,Jean Segura,2B,PHI,32,
212,Will Smith,RP,LAD,32,
213,Nolan Gorman,2B,STL,22,40
214,Myles Straw,OF,CLE,27,
215,C.J. Cron,1B,COL,32,
216,Andrew Benintendi,OF,KCR,27,
217,Adolis Garcia,OF,TEX,29,
218,Elijah Green,OF,Open,18,41
219,Josh Lowe,OF,TBR,24,42
220,Bryson Stott,SS,PHI,24,43
221,Nathaniel Lowe,1B,TEX,26,
222,Akil Baddoo,OF,DET,23,
223,Brady House,SS,WSN,19,44
224,Jordan Lawlar,SS,ARI,19,45
225,Nick Gonzales,2B,PIT,23,46
226,Justin Turner,3B,LAD,37,
227,Anthony Rizzo,1B,FA,32,
228,Andy Pages,OF,LAD,21,47
229,Colton Cowser,OF,BAL,22,48
230,Jon Gray,SP,COL,30,
231,Yasmani Grandal,C,CHW,33,
232,J.P. Crawford,SS,SEA,27,
233,Casey Mize,SP,DET,25,
234,Cal Quantrill,SP,CLE,27,
235,Brett Baty,3B,NYM,22,49
236,Blake Treinen,RP,LAD,34,
237,Joey Votto,1B,CIN,38,
238,Alex Reyes,RP,STL,27,
239,Nick Pratto,1B,KCR,23,50
240,Luke Voit,1B,NYY,31,
241,Jace Jung,2B,Open,21,51
242,Aaron Ashby,RP,MIL,24,52
243,Brady Singer,SP,KCR,25,
244,Matt McLain,SS,CIN,22,53
245,Jeimer Candelario,3B,DET,28,
246,Marcell Ozuna,OF,ATL,31,
247,Henry Davis,C,PIT,22,54
248,Trey Mancini,1B,BAL,30,
249,Brandon Crawford,SS,SFG,35,
250,Jose Miranda,3B,MIN,24,55
251,Alec Bohm,3B,PHI,25,
252,MJ Melendez,C,KCR,23,56
253,Eugenio Suarez,3B/SS,CIN,30,
254,Sal Frelick,OF,MIL,22,57
255,Brandon Belt,1B,SFG,34,
256,Enrique Hernandez,2B/OF,BOS,30,
257,Jasson Dominguez,OF,NYY,19,58
258,Anthony DeSclafani,SP,SFG,32,
259,Alex Wood,SP,SFG,31,
260,Mike Clevinger,SP,SDP,31,
261,Jarren Duran,OF,BOS,25,59
262,Noah Syndergaard,SP,NYM,29,
263,Jameson Taillon,SP,NYY,30,
264,Austin Hays,OF,BAL,26,
265,AJ Pollock,OF,LAD,34,
266,Stephen Strasburg,SP,WSN,33,
267,Anthony Santander,OF,BAL,27,
268,Max Kepler,OF,MIN,29,
269,Kyle Lewis,OF,SEA,26,
270,Hunter Greene,SP,CIN,22,60
271,Nick Lodolo,SP,CIN,24,61
272,Leody Taveras,OF,TEX,23,
273,Patrick Sandoval,SP,LAA,25,
274,Nelson Cruz,DH,TBR,41,
275,Matt Brash,SP,SEA,24,62
276,Miguel Vargas,3B,LAD,22,63
277,Roansy Contreras,SP,PIT,22,64
278,Reid Detmers,SP,LAA,22,65
279,Cade Cavalli,SP,WSN,23,66
280,Max Meyer,SP,MIA,23,67
281,Josiah Gray,SP,WAS,24,
282,Joe Ryan,SP,TBR,26,68
283,Orelvis Martinez,3B,TOR,20,69
284,Coby Mayo,3B,BAL,20,70
285,Huascar Ynoa,SP,ATL,24,
286,Kolten Wong,2B,MIL,31,
287,Luis Gil,SP,NYY,24,71
288,Luis Patiño,SP,TBR,22,
289,Ranger Suarez,SP,PHI,26,
290,Chris Flexen,SP,SEA,27,
291,Zach Plesac,SP,CLE,27,
292,Eury Perez,SP,MIA,19,72
293,Luis Garcia,2B,WAS,22,
294,Abraham Toro,3B/2B,SEA,25,
295,Jordan Romano,RP,TOR,29,
296,Mitch Keller,SP,PIT,26,
297,Garrett Whitlock,RP,BOS,26,
298,Cristian Hernandez,SS,CHC,18,73
299,Jacob Gonzalez,SS,Open,20,74
300,Druw Jones,OF,Open,18,75
301,Andres Gimenez,2B/SS,CLE,23,
302,David Fletcher,2B/SS,LAA,28,
303,Michael Busch,2B,LAD,24,76
304,Oswald Peraza,SS,NYY,22,77
305,Gunnar Henderson,SS,BAL,21,78
306,Nick Senzel,OF,CIN,27,
307,Josh Donaldson,3B,MIN,36,
308,Bailey Ober,SP,MIN,26,
309,Nick Madrigal,2B,CHW,25,
310,Josh Rojas,2B/SS/OF,ARI,28,
311,Jonathan Schoop,2B/1B,DET,30,
312,Michael Harris II,OF,ATL,21,79
313,Curtis Mead,3B,TBR,21,80
314,Nicky Lopez,SS,KCR,27,
315,Heliot Ramos,OF,SFG,22,81
316,Paul DeJong,SS,STL,28,
317,Craig Kimbrel,RP,CHW,34,
318,Eduardo Escobar,2B/3B,ARI,33,
319,Vidal Brujan,OF,TBR,24,82
320,Tyler Freeman,SS,CLE,23,83
321,Carson Kelly,C,ARI,27,
322,Brandon Marsh,OF,LAA,24,
323,Gary Sanchez,C,NYY,29,
324,J.D. Davis,3B,NYM,29,
325,Liover Peguero,SS,PIT,21,84
326,Luis Campusano,C,SDP,23,85
327,Dane Dunning,SP,TEX,27,
328,Garrett Mitchell,OF,MIL,23,86
329,Ronny Mauricio,SS,NYM,21,87
330,Steven Matz,SP,TOR,31,
331,Omar Narvaez,C,MIL,30,
332,Taylor Rogers,RP,MIN,31,
333,Aaron Civale,SP,CLE,27,
334,Sean Murphy,C,OAK,27,
335,Jose Barrero,SS,CIN,24,88
336,Edward Cabrera,SP,MIA,24,89
337,Jordan Groshans,SS,TOR,22,90
338,Mark Vientos,3B,NYM,22,91
339,Shea Langeliers,C,ATL,24,92
340,Royce Lewis,SS,MIN,23,93
341,Cole Winn,SP,TEX,22,94
342,Pete Crow-Armstrong,OF,NYM,20,95
343,Cody Morris,SP,CLE,25,96
344,Everson Pereira,OF,NYY,21,97
345,Jackson Jobe,SP,DET,19,98
346,Joey Wiemer,OF,MIL,23,99
347,Luis Arraez,2B/3B/OF,MIN,25,
348,Jeff McNeil,2B/OF,NYM,30,
349,Daniel Espino,SP,CLE,21,100
350,Bobby Dalbec,1B,BOS,27,
351,Avisail Garcia,OF,MIL,31,
352,Charlie Blackmon,OF,COL,35,
353,Brandon Williamson,SP,SEA,24,101
354,Adam Frazier,2B,SEA,30,
355,Rowdy Tellez,1B,MIL,27,
356,Michael Brantley,OF,HOU,35,
357,Vaughn Grissom,SS,ATL,21,102
358,Raimel Tapia,OF,COL,28,
359,Ha-Seong Kim,SS/3B/2B,SDP,26,
360,Brandon Nimmo,OF,NYM,29,
361,Diego Cartaya,C,LAD,20,103
362,Tommy Pham,OF,SDP,34,
363,Kyle Harrison,SP,SFG,20,104
364,Corey Knebel,RP,LAD,30,
365,Wil Myers,OF,SDP,31,
366,Ramon Laureano,OF,OAK,27,
367,Harrison Bader,OF,STL,28,
368,Mike Yastrzemski,OF,SFG,31,
369,Peyton Burdick,OF,MIA,25,105
370,Deyvison De Los Santos,3B,ARI,19,106
371,Owen White,SP,TEX,22,107
372,JJ Bleday,OF,MIA,24,108
373,Jhonkensy Noel,3B,CLE,20,109
374,Jordan Westburg,SS,BAL,23,110
375,Harry Ford,C,SEA,19,111
376,Zach Eflin,SP,PHI,28,
377,Vinnie Pasquantino,1B,KCR,24,112
378,Cavan Biggio,3B,TOR,27,
379,Ezequiel Duran,2B,TEX,23,113
380,Nolan Jones,3B,CLE,24,114
381,James Triantos,3B,CHC,19,115
382,Marco Gonzales,SP,SEA,30,
383,Camilo Doval,RP,SFG,24,116
384,Yuli Gurriel,1B,HOU,38,
385,Joey Bart,C,SFG,25,117
386,Evan Carter,OF,TEX,19,118
387,Geraldo Perdomo,SS,ARI,22,119
388,Chris Paddack,SP,SDP,26,
389,Miguel Sano,1B,MIN,29,
390,Dustin Harris,1B/OF,TEX,22,120
391,Travis d'Arnaud,C,ATL,33,
392,Zack Gelof,3B,OAK,22,121
393,Yandy Diaz,1B/3B,TBR,30,
394,Jay Allen,OF,CIN,19,122
395,Heston Kjerstad,OF,BAL,23,123
396,Trey Sweeney,SS,NYY,22,124
397,Tony Gonsolin,SP,LAD,28,
398,Jesus Luzardo,SP,MIA,24,
399,Triston McKenzie,SP,CLE,24,
400,Lars Nootbaar,OF,STL,24,125
401,Kevin Parada,C,Open,20,126
402,Brian Anderson,3B,MIA,29,
403,Jacob Berry,3B/1B,Open,21,127
404,Chase DeLauter,OF,Open,20,128
405,Garrett Hampson,2B/OF,COL,27,
406,Sixto Sanchez,SP,MIA,23,129
407,Taijuan Walker,SP,NYM,29,
408,Blaze Jordan,1B,BOS,19,130
409,Gavin Cross,OF,Open,21,131
410,Kenley Jansen,RP,LAD,34,
