rank,player,position,organization,age,prospect_rank
659,Ricardo Cabrera,SS,CIN,17,257
660,Frank Mozzicato,SP,KCR,19,258
661,Jeferson Quero,C,MIL,19,259
662,Ryan Cusick,SP,ATL,22,260
663,Alex Ramirez,OF,NYM,19,261
664,Levi Stoudt,SP,SEA,24,262
665,Cal Raleigh,C,SEA,25,
666,Kevin McGonigle,SS,Open,17,263
667,Robert Moore,2B,Open,20,264
668,Nick Swiney,SP,SFG,23,265
669,Adrian Houser,SP,MIL,29,
670,Miguel Yajure,SP,PIT,24,
671,Cristian Vaquero,OF,WSN,17,266
672,Edward Olivares,OF,KCR,26,
673,Austin Nola,C,SDP,32,
674,Glenn Otto,SP,TEX,26,
675,Isiah Kiner-Falefa,SS,TEX,27,
676,David Peterson,SP,NYM,26,
677,Matt Allan,SP,NYM,21,267
678,Jesse Franklin,OF,ATL,23,268
679,Nick Bitsko,SP,TBR,20,269
680,Darin Ruf,1B/OF,SFG,35,
681,Michael Chavis,2B,PIT,26,
682,Jose Salas,SS,MIA,19,270
683,Justin Dunn,SP,SEA,26,
684,Johan Rojas,OF,PHI,21,271
685,Matt Manning,SP,DET,24,
686,Jairo Pomares,OF,SFG,21,272
687,Joe Perez,3B,HOU,22,273
688,Sam Hilliard,OF,COL,28,
689,Juan Yepez,1B,STL,24,274
690,Luis Frias,SP,ARI,24,275
691,Kyle Finnegan,RP,WSN,30,
692,Christian Little,SP,Open,18,276
693,Chris Murphy,SP,BOS,24,277
694,Jake Burger,3B,CHW,26,278
695,Yoelqui Cespedes,OF,CHW,24,279
696,Ryan Vilade,OF,COL,23,280
697,Dax Fulton,SP,MIA,20,281
698,Hoy Park,2B,PIT,26,282
699,A.J. Vukovich,3B,ARI,20,283
700,Lawrence Butler,1B/OF,OAK,21,284
701,Richie Palacios,2B/OF,CLE,25,285
702,Zach DeLoach,OF,SEA,23,286
703,Cole Henry,SP,WSN,22,287
704,Colton Welker,3b,COL,24,288
705,Peyton Battenfield,SP,CLE,24,289
706,George Feliz,OF,SEA,19,290
707,Xavier Edwards,2B,TBR,22,291
708,Patrick Bailey,C,SFG,23,292
709,Deivi Garcia,SP,NYY,23,293
710,Roki Sasaki,SP,Open,20,294
711,Carter Kieboom,3B,WSN,24,
712,Bryce Bonnin,SP,CIN,23,295
713,Alec Marsh,SP,KCR,24,296
714,Dylan Smith,SP,DET,22,297
715,Joe Mack,C,MIA,19,298
716,Tony Kemp,2B/OF,OAK,30,
717,Jackson Chourio,OF,MIL,18,299
718,Brent Honeywell Jr.,SP,OAK,27,
719,Petey Halpin,OF,CLE,20,300
720,Bayron Lora,OF,TEX,19,301
721,Pedro Pineda,OF,OAK,18,302
722,Aaron Zavala,OF,TEX,22,303
723,Brainer Bonaci,SS,BOS,19,304
724,Hedbert Perez,OF,MIL,19,305
725,Joey Estes,SP,ATL,20,306
726,Joshua Mears,OF,SDP,21,307
727,Jay Groome,SP,BOS,23,308
728,Anthony Solometo,SP,PIT,19,309
729,Carlos Jorge,SS,CIN,18,310
730,Kyle Mannzardo,1B,TBR,21,311
731,Endy Rodriguez,C,PIT,22,312
732,JJ Goss,SP,TBR,21,313
733,Yohendrick Pinango,OF,CHC,20,314
734,Joshua Baez,OF,STL,19,315
735,Tekoah Roby,SP,TEX,20,316
736,Nick Allen,SS,OAK,23,317
737,Colt Keith,3B,DET,20,318
738,Lonnie White Jr.,OF,PIT,19,319
739,Andrew Kittredge,RP,TBR,32,
740,Arol Vera,SS,LAA,19,320
741,Emmanuel Rodriguez,OF,MIN,19,321
742,Chris Rodriguez,SP,LAA,23,322
743,Armando Cruz,SS,WSN,18,323
744,Anthony Garcia,1B/OF,NYY,21,324
745,Alberto Rodriguez,OF,SEA,21,325
746,J.T. Ginn,SP,NYM,23,326
747,Danny Duffy,SP,KCR,33,
748,Michael Pineda,SP,MIN,33,
749,Aaron Sabato,1B,MIN,23,327
750,Madison Bumgarner,SP,ARI,32,
751,Lazaro Montes,1B/OF,SEA,17,328
752,Corey Kluber,SP,NYY,36,
753,Joey Wendle,3B/SS,TBR,32,
754,Kwang Hyun Kim,SP,STL,33,
755,Korry Howell,OF/3B/SS,MIL,23,329
756,Lewin Diaz,1B,MIA,25,
757,Brayan Bello,SP,BOS,23,330
758,Yu Chang,1B/3B,CLE,26,
759,Tucupita Marcano,2B,PIT,22,331
760,Kameron Misner,OF,MIA,24,332
761,Rowan Wick,RP,CHC,29,
762,Michael McGreevy,SP,STL,21,333
763,Kaden Polcovich,2B/OF,SEA,23,334
764,Jahmai Jones,2B,BAL,24,
765,Jonathan Villar,3B/SS,NYM,31,
766,Maddux Bruns,SP,LAD,19,335
767,Reiver Sanmartin,SP,CIN,26,
768,Matt Thaiss,1B,LAA,27,
769,Logan Davidson,SS,OAK,24,336
770,Gage Workman,SS,DET,22,337
771,Bryse Wilson,SP,PIT,24,
772,Evan White,1B,SEA,26,
773,Yonny Hernandez,3B,TEX,24,
774,Jorbit Vivas,2B,LAD,21,338
775,Adam Macko,SP,SEA,21,339
776,Christopher Morel,3B,CHC,23,340
777,Rodolfo Castro,DH,PIT,23,341
778,Seth Johnson,SP,TBR,23,342
779,Sam Huff,1B,TEX,24,343
780,Samad Taylor,2B/OF,TOR,23,344
781,Ivan Herrera,C,STL,22,345
782,Edouard Julien,2B/3B/OF,MIN,23,346
783,Bryan Lavastida,C,CLE,23,347
784,Tyler Black,2B,MIL,21,348
785,Gabriel Gonzalez,OF,SEA,18,349
786,Malcom Nunez,3B,STL,21,350
787,Bo Naylor,C,CLE,22,351
788,Ethan Hankins,SP,CLE,22,352
789,Roberto Campos,OF,DET,19,353
790,Jonathan Bowlan,SP,KCR,25,354
791,Bubba Chandler,SP/SS,PIT,19,355
792,Lorenzo Cain,OF,MIL,36,
793,Miguel Cabrera,1B,DET,39,
794,Evan Longoria,3B,SFG,36,
795,Brayan Buelvas,OF,OAK,20,356
796,Tommy La Stella,2B,SFG,33,
797,Slade Cecconi,SP,ARI,23,357
798,Alika Williams,SS,TBR,23,358
799,Tyler Wells,RP,BAL,27,
800,Romy Gonzalez,OF,CHW,25,359
801,Miguel Amaya,C,CHC,23,360
802,Ricky Vanasco,SP,TEX,23,361
803,Hayden Wesneski,SP,NYY,24,362
804,Michael Massey,2B,KCR,24,363
805,Hunter Barco,SP,Open,21,364
806,Justin Crawford,OF,Open,18,365
807,Jose Rodriguez,SS,CHW,21,366
808,Manuel Sequera,SS,DET,19,367
809,Mitch White,SP,LAD,27,
810,Samuel Zavala,OF,SDP,17,368
811,Michael Burrows,SP,PIT,22,369
812,Masyn Winn,SS/SP,STL,20,370
813,Yadier Molina,C,STL,39,
814,Anthony Alford,OF,PIT,27,
815,Yerlin Confidan,OF,CIN,19,371
816,Pete Fairbanks,RP,TBR,28,
817,Ethan Small,SP,MIL,25,372
818,Hendry Mendez,OF,MIL,18,373
819,Brenton Doyle,OF,COL,24,374
820,Rodolfo Nolasco,OF,PIT,20,375
821,Ariel Almonte,OF,CIN,18,376
822,Ryan Bliss,SS/2B,ARI,22,377
823,Griff McGarry,SP,PHI,23,378
824,Casey Schmitt,3B,SFG,23,379
825,Victor Acosta,SS,SDP,18,380
826,Connor Scott,OF,MIA,22,381
827,A.J. Puk,SP,OAK,27,
828,Carmen Mlodzinski,SP,PIT,23,382
829,Jackson Merrill,SS,SDP,19,383
830,Roismar Quintana,OF,WSN,19,384
831,Jayden Murray,SP,TBR,25,385
832,Jhoan Duran,RP,MIN,24,386
833,Ezequiel Tovar,SS,COL,20,387
834,Alex Binelas,1B/3B,MIL,22,388
835,Graham Ashcraft,SP,CIN,24,389
836,Trevor Hauver,2B/OF,TEX,23,390
837,Jud Fabian,OF,Open,21,391
838,Ken Waldichuk,SP,NYY,24,392
839,Jordan Nwogu,OF,CHC,23,393
840,Kyle Teel,C/OF,Open,20,394
841,Caden Grice,LHP/1B,Open,20,395
842,Cole Sands,SP,MIN,24,396
843,Seth Brown,OF,OAK,29,
844,Alexeis Azuaje,2B,PHI,20,397
845,Lenyn Sosa,SS/2B,CHW,22,398
846,Ty Madden,SP,DET,22,399
847,Mason Martin,1B,PIT,23,400
848,Vince Velasquez,SP,SDP,30,
849,Vance Honeycutt,OF,Open,19,401
850,Luis Torrens,C,SEA,26,
851,Braden Shewmake,SS,ATL,24,402
852,Peter Heubeck,SP,LAD,19,403
853,Jeferson Espinal,OF,ARI,20,404
854,Mike Minor,SP,KCR,34,
855,Ian Lewis,2B,MIA,19,405
856,Connor Prielipp,SP,Open,21,406
857,Carson Tucker,SS,CLE,20,407
858,Miles Mikolas,SP,STL,33,
859,Tyler Anderson,SP,SEA,32,
860,Josh Winckowski,SP,BOS,24,408
861,Andry Lara,SP,WSN,19,409
862,Tyler Whitaker,OF,HOU,19,410
863,Jonathan Loaisiga,RP,NYY,27,
864,Adrian Martinez,RP,SDP,25,411
865,Logan O’Hoppe,C,PHI,22,412
866,David Hamilton,SS/2B,MIL,24,413
867,Josh Breaux,C,NYY,24,414
868,Kody Hoese,3B,LAD,24,415
869,Ji-Hwan Bae,2B/OF,PIT,22,416
870,Dominic Canzone,OF,ARI,24,417
871,Alexander Ramirez,OF,LAA,19,418
872,Tanner Morris,2B/3B/SS,TOR,24,419
873,Tommy Troy,SS,Open,21,420
874,Edwin Rios,1B,LAD,28,
875,Victor Reyes,OF,DET,27,
876,Hudson Haskin,OF,BAL,23,421
877,Carson Ragsdale,SP,SFG,24,422
878,Willi Castro,2B/SS,DET,25,
879,Jordyn Adams,OF,LAA,22,423
880,Drew Rom,SP,BAL,22,424
881,Zach Neto,SS,Open,21,425
882,Kyle Nicolas,SP,PIT,23,426
883,Sherten Apostel,1B,TEX,23,427
884,Dominic Hamel,SP,NYM,23,428
885,Max Schuemann,SS/2B,OAK,25,429
886,Daylen Lile,OF,WSN,19,430
887,Brayden Taylor,3B,Open,20,431
888,Jared Shuster,SP,ATL,23,432
889,Doug Nikhazy,SP,CLE,22,433
890,Kala’i Rosario,OF,MIN,19,434
891,Max Muncy,SS,OAK,19,435
892,Tucker Davidson,SP,ATL,26,436
893,Bryan Ramos,3B,CHW,20,437
894,Bryan Mata,SP,BOS,23,438
895,Erick Fedde,SP,WSN,29,
896,Terrin Vavra,SS,BAL,25,439
897,Danny Jansen,C,TOR,27,
898,JT Brubaker,SP,PIT,28,
899,Jakob Junis,SP,KCR,29,
900,Dean Kremer,SP,BAL,26,
901,Johan Oviedo,SP,STL,24,
902,Brock Jones,OF,Open,21,440
903,Andre Jackson,SP,LAD,26,441
904,Jose Alvarado,RP,PHI,27,
905,Pierce Johnson,RP,SDP,31,
906,Drew Waters,OF,ATL,23,442
907,Jonatan Clase,OF,SEA,20,443
908,Cooper Hjerpe,SP,Open,21,444
909,Brent Rooker,OF,MIN,27,
910,Angel Zerpa,SP,KCR,22,445
911,Joe Barlow,RP,TEX,26,
912,Braxton Garrett,SP,MIA,24,
913,Manuel Beltre,SS,TOR,18,446
914,Tyler Matzek,RP,ATL,31,
915,Jacob Amaya,SS,LAD,23,447
916,Nelson Velazquez,OF,CHC,23,448
917,Jackson Rutledge,SP,WSN,23,449
918,Travis Swaggerty,OF,PIT,24,450
919,Taylor Trammell,OF,SEA,24,
920,Spencer Turnbull,SP,DET,29,
921,Antonio Senzatela,SP,COL,27,
922,Bryce Miller,SP,SEA,23,451
923,James Outman,OF,LAD,25,452
924,Ford Proctor,SS,TBR,25,453
925,Jordan Viars,OF,PHI,18,454
926,Zach Davies,SP,CHC,29,
927,Jack Suwinski,OF,PIT,23,455
928,Jorge Alfaro,C/OF,MIA,29,
929,Canaan Smith-Njigba,OF,PIT,23,456
930,Wade Miley,SP,CIN,35,
931,Nick Plummer,OF,STL,25,457
932,Dallas Keuchel,SP,CHW,34,
933,Tommy Henry,SP,ARI,24,458
934,Allan Cerda,OF,CIN,22,459
935,Merrill Kelly,SP,ARI,33,
936,Alexander Canario,OF,SFG,22,460
937,Seth Lugo,RP,NYM,32,
938,Richard Rodriguez,RP,FA,32,
939,Kyle Freeland,SP,COL,29,
940,Will Benson,OF,CLE,24,461
941,Jake Odorizzi,SP,HOU,32,
942,Connor Thomas,SP,STL,24,462
943,Bryce Hubbart,SP,Open,21,463
944,Davis Daniel,SP,LAA,25,464
945,Carson Whisenhunt,SP,Open,21,465
946,Spencer Steer,SS,MIN,24,466
947,Keegan Akin,SP,BAL,27,
948,Kolby Allard,SP,TEX,24,
949,Jonathan Bermudez,SP,HOU,26,467
950,Freddy Zamora,SS,MIL,23,468
951,Carlos Estevez,RP,COL,29,
952,Eli Morgan,RP,CLE,26,
953,Amir Garrett,RP,CIN,30,
954,Zach Logue,RP,TOR,26,469
955,Caleb Smith,RP,ARI,30,
956,Peter Solomon,RP,HOU,25,470
957,Matt Barnes,RP,BOS,32,
958,Cole Tucker,SS,PIT,25,
959,Chris Stratton,RP,PIT,31,
960,Ben Kudrna,SP,KCR,19,471
961,Parker Messick,SP,Open,21,472
962,Ethan Wilson,OF,PHI,22,473
963,Robert Gasser,SP,SDP,23,474
964,Chad Green,RP,NYY,31,
965,Kutter Crawford,RP,BOS,26,
966,Jorge Lopez,RP,BAL,29,
967,Cole Sulser,RP,BAL,32,
968,Paul Sewald,RP,SEA,32,
969,Maikel Garcia,SS,KCR,22,475
970,Jake McGee,RP,SFG,35,
971,Paul Blackburn,RP,OAK,28,
972,Ryne Stanek,RP,HOU,30,
973,Tony Santillan,RP,CIN,25,
974,Tejay Antone,RP,CIN,28,
975,Michael Fulmer,RP,DET,29,
976,Hunter Harvey,RP,BAL,27,
977,Brandon Barriera,SP,Open,18,476
978,Maikol Hernandez,SS,BAL,18,477
979,Tyler McDonough,2B/OF,BOS,23,478
980,Spencer Horwitz,1B,TOR,24,479
981,Javier Osorio,SS,DET,17,480
982,Diego Benetiz,SS,DET,17,481
983,Brailyn Marquez,SP,CHC,23,482
984,Cody Morissette,2B,MIA,22,483
985,Stephen Ridings,RP,NYY,26,484
986,Ky Bush,SP,LAA,22,485
987,RJ Dabovich,RP,SFG,23,486
988,Norge Vera,SP,CHW,22,487
989,Carson Spiers,RP,CIN,24,488
990,Brock Porter,SP,Open,18,489
991,Hayden Dunhurst,C,Open,21,490
992,Daniel Cabrera,OF,DET,23,491
993,Wilderd Patino,OF,ARI,20,492
994,Drew Steckenrider,RP,SEA,31,
995,Thairo Estrada,SS,SFG,26,
996,Teddy McGraw,SP,Open,20,493
997,Travis Bazzana,OF,Open,19,494
998,CJ Van Eyk,SP,TOR,23,495
999,Clark Elliott,OF,Open,21,496
1000,Zane Mills,SP,STL,21,497
1001,Jaden Hill,SP,COL,22,498
1002,Sandy Gaston,SP,TBR,20,499
1003,Patrick Reilly,SP,Open,20,500
1004,Peyton Pallette,SP,Open,21,501
1005,Logan Tanner,C,Open,21,502
1006,Erik Miller,SP,PHI,24,503
1007,Jonathan Meija,SS,STL,17,504
1008,Jackson Ferris,SP,Open,18,505
1009,Stephen Scott,1B/C,BOS,25,506
1010,Brandon Walter,SP,BOS,25,507
1011,Tink Hence,SP,STL,19,508
1012,Wilkelman Gonzalez,SP,BOS,20,509
1013,Tanner Witt,SP,Open,19,510
1014,Cayden Wallace,OF,Open,20,511
1015,Jose Torres,SS,CIN,22,512
1016,Matthew Lugo,SS,BOS,21,513
1017,Ivan Johnson,2B,CIN,23,514
1018,Aaron Schunk,3B,COL,24,515
1019,Cade Doughty,3B,Open,21,516
1020,Tyler Callihan,2B,CIN,22,517
1021,Drew Bowser,3B,Open,20,518
1022,Ron Marinaccio,SP,NYY,26,519
1023,Zavier Warren,3B/C,MIL,23,520
1024,Andrew Abbott,SP,CIN,23,521
1025,Ricky Tiedemann,SP,TOR,19,522
1026,Brett Wisely,2B,TBR,23,523
1027,Russell Smith,SP,MIL,23,524
1028,Gilberto Jimenez,OF,BOS,21,525
1029,Hudson Head,OF,PIT,21,526
1030,Reed Trimble,OF,BAL,22,527
1031,Abrahan Gutierrez,C,PIT,22,528
1032,Carter Young,SS,Open,21,529
1033,AJ Smith-Shawver,SP,ATL,19,530
1034,Andre Pallante,SP,STL,23,531
1035,Justin Yurchak,1B,LAD,25,532
1036,Alex Santos,SP,HOU,20,533
1037,Christian McGowan,SP,PHI,22,534
1038,Jackson Baumeister,SP,Open,20,535
1039,Yendry Rojas,INF/OF,SDP,17,536
1040,Nick Nastrini,SP,LAD,22,537
1041,Sean Burke,SP,CHW,22,538
1042,Tanner Burns,SP,CLE,23,539
1043,Thomas Saggese,3B,TEX,20,540
1044,Trey Cabbage,OF,MIN,25,541
1045,Chandler Redmond,1B/OF,STL,25,542
1046,Ed Howard,SS,CHC,20,543
1047,Edwin Arroyo,SS,SEA,18,544
1048,Tyreque Reed,1B,BOS,25,545
1049,Niko Hulsizer,OF,TBR,25,546
1050,Brennon McNair,SS,KCR,19,547
1051,Danny De Andrade,SS,MIN,18,548
1052,Antonio Gomez,C,NYY,20,549
1053,Shay Whitcomb,SS,HOU,23,550
1054,Ryan Reckley,SS,SFG,17,551
1055,Alexander Vargas,SS,NYY,20,552
1056,Trevor May,RP,NYM,32,
1057,Elijah Dunham,OF,NYY,24,553
1058,Hunter Bishop,OF,SFG,24,554
1059,Emilio Pagan,RP,SDP,31,
1060,Santiago Espinal,3B,TOR,27,
1061,Daniel Hudson,RP,LAD,35,
1062,Chad Pinder,OF,OAK,30,
1063,Brendan Donovan,3B,STL,25,555
1064,Blade Tidwell,SP,Open,21,556
1065,Brendan Beck,SP,NYY,23,557
1066,William Bergolla Jr.,SS,PHI,17,558
1067,Nolan McLean,3B,Open,20,559
1068,Marco Raya,SP,MIN,20,560
1069,Christian Roa,SP,CIN,23,561
1070,Matheu Nelson,C,CIN,23,562
1071,Joey Ortiz,SS,BAL,23,563
1072,Carter Jensen,C,KCR,18,564
1073,Dauri Moreta,RP,CIN,26,565
1074,Yasser Mercedes,OF,MIN,17,566
1075,Bailey Falter,RP,PHI,25,567
1076,Stuart Fairchild,OF,ARI,26,568
1077,Kendall Graveman,RP,CHW,31,
1078,Joey Wentz,SP,DET,24,569
1079,Carlos Pacheco,OF,OAK,17,570
1080,Ryan Rolison,SP,COL,24,571
1081,Lucius Fox,SS,KCR,24,572
1082,Donovan Casey,OF,LAD,26,573
1083,Forrest Whitley,SP,HOU,24,574
1084,Michael Stefanic,SS,LAA,26,575
1085,Jhailyn Ortiz,OF,PHI,23,576
1086,Jonah Bride,3B,OAK,26,577
1087,Connor Seabold,SP,BOS,26,578
1088,Janson Junk,SP,LAA,26,579
1089,Luis Garcia,SS,PHI,21,580
1090,Wyatt Mills,RP,SEA,27,581
1091,Grae Kessinger,SS/3B,HOU,24,582
1092,Cooper Hummel,OF,ARI,27,583
1093,Genesis Cabrera,RP,STL,25,
1094,Jeremiah Jackson,SS/2B,LAA,22,584
1095,Aaron Bracho,2B,CLE,21,585
1096,Beau Brieske,SP,DET,24,586
1097,Cade Marlowe,OF,SEA,25,587
1098,Denzel Clarke,OF,OAK,22,588
1099,Cam Collier,3B,Open,17,589
1100,Brock Selvidge,SP,NYY,19,590
1101,Kevin Made,SS,CHC,19,591
1102,Orlando Martinez,OF,LAA,24,592
1103,Zach McCambley,SP,MIA,23,593
1104,Kyle Brnovich,SP,BAL,24,594
1105,Colin Peluse,SP,OAK,24,595
1106,Antoine Kelly,SP,MIL,22,596
1107,Drew Gray,SP,CHC,19,597
1108,Reggie Crawford,SP,Open,21,598
1109,Kevin Smith,SP,BAL,25,599
1110,Zack Thompson,SP,STL,24,600
1111,Blaine Crim,1B,TEX,25,601
1112,Baek-Ho Kang,1B,Open,22,602
1113,Carson Montgomery,SP,Open,19,603
1114,John Rhodes,OF,BAL,21,604
1115,Matthew Barefoot,OF,HOU,24,605
1116,Maikol Escotto,SS,PIT,20,606
1117,Maximo Acosta,SS,TEX,19,607
1118,Robert Puason,SS,OAK,19,608
1119,Yiddi Cappe,SS,MIA,19,609
1120,Adrian Del Castillo,C,ARI,22,610
1121,Nathan Hickey,C,BOS,22,611
1122,Milkar Perez,3B,SEA,20,612
1123,Matt Wallner,OF,MIN,24,613
1124,Jeremy De La Rosa,OF,WSN,20,614
1125,Chad Dallas,SP,TOR,22,615
1126,Ricardo Genoves,C,SFG,23,616
1127,Griffin Conine,OF,MIA,24,617
1128,Jordan Brewer,OF,HOU,24,618
1129,Misael Urbina,OF,MIN,20,619
1130,Victor Mesa Jr.,OF,MIA,20,620
1131,Oscar Colas,OF,CHW,23,621
1132,Noah Song,SP,BOS,25,622
1133,Tyler Mattison,SP,DET,22,623
1134,Dauri Lorenzo,SS,HOU,19,624
1135,Will Wilson,SS/2B,SFG,23,625
1136,Miguel Hiraldo,2B/3B,TOR,21,626
1137,Munetaka Murakami,3B,Open,22,627
1138,Jackson Cluff,SS,WSN,25,628
1139,Greg Weissert,SP,NYY,27,629
1140,J.P. Sears,SP,NYY,26,630
