pick,round,player,team,position
1,12,Gunnar Hoglund,TOR,SP
2,12,Asa Lacy,KC,SP
3,12,Ezequiel Duran,TEX,SS
4,12,Rece Hinds,CIN,3B
5,12,Connor Norby,BAL,2B
6,12,Landon Knack,LAD,SP
7,12,Hunter Bishop,SF,LF
8,12,Richie Palacios,CLE,SS
9,12,J.T. Ginn,NYM,P
10,12,Kristian Robinson,ARI,CF
11,12,Nelson Velazquez,CHC,LF
12,12,Austin Hendrick,CIN,OF
13,12,Joshua Baez,STL,CF
14,12,Seth Beer,ARI,1B
15,12,Wes Kath,CHW,3B
1,13,Zack Gelof,OAK,SS
2,13,Angel Martinez,CLE,SS
3,13,Jordan Westburg,BAL,SS
4,13,Jonathan Aranda,TB,2B
5,13,Masyn Winn,STL,SS
6,13,Elehuris Montero,COL,3B
7,13,Matt Canterino,MIN,SP
8,13,Gabriel Gonzalez,SEA,CF
9,13,Patrick Bailey,SF,C
10,13,Forrest Whitley,HOU,SP
11,13,Manuel Beltre,TOR,SS
12,13,Joe Perez,HOU,3B
13,13,Lonnie White,PIT,CF
14,13,Nolan Jones,CLE,3B
15,13,A.J. Vukovich,ARI,3B
1,14,Jordyn Adams,LAA,CF
2,14,Owen White,TEX,SP
3,14,Jackson Kowar,KC,SP
4,14,Brandon Williamson,SEA,SP
5,14,Cody Morris,CLE,SP
6,14,Cristian Santana,DET,SS
7,14,Isaiah Greene,CLE,CF
8,14,Cole Henry,WSH,SP
9,14,Gabriel Arias,CLE,SS
10,14,Jose Tena,CLE,SS
11,14,Michael Toglia,COL,1B
12,14,Junior Marin,KC,RF
13,14,Davidjohn Herz,CHC,P
14,14,Felix Valerio,MIL,2B
15,14,Sam Bachman,LAA,SP
1,15,Caleb Kilian,CHC,SP
2,15,Simeon Woods-Richardson,MIN,SP
3,15,Camilo Doval,SF,RP
4,15,Kyle Isbel,KC,RF
5,15,Will Bednar,SF,SP
6,15,Johan Rojas,PHI,CF
7,15,Alexander Canario,CHC,CF
8,15,Alex Binelas,BOS,3B
9,15,Luis Toribio,SF,3B
10,15,Jordan Balazovic,MIN,SP
11,15,Shea Langeliers,ATL,C
12,15,Adael Amador,COL,SS
13,15,Randy Vasquez,NYY,SP
14,15,Wes Clarke,MIL,1B
15,15,Maximo Acosta,TEX,SS
1,16,Yerlin Confidan,CIN,CF
2,16,Carlos Jorge,CIN,SS
3,16,Andrew Painter,PHI,SP
4,16,Cooper Kinney,TB,2B
5,16,Samuel Zavala,SD,RF
6,16,Graham Ashcraft,CIN,P
7,16,Jonatan Clase,SEA,CF
8,16,Matt Fraizer,PIT,CF
9,16,Josh Winder,MIN,SP
10,16,Cristian Pache,ATL,CF
11,16,Jackson Merrill,SD,SS
12,16,Diego Castillo,PIT,SS
13,16,Erick Pena,KC,CF
14,16,Tyler Black,MIL,2B
15,16,Arol Vera,LAA,SS
1,17,Brendon Davis,LAA,3B
2,17,Ed Howard,CHC,SS
3,17,Carson Williams,TB,SS
4,17,Ian Lewis,MIA,SS
5,17,Jeferson Quero,MIL,C
6,17,Yoelkis Cespedes,CHW,CF
7,17,Slade Cecconi,ARI,P
8,17,Zach DeLoach,SEA,CF
9,17,Brayan Bello,BOS,SP
10,17,Luis Medina,NYY,SP
11,17,Max Muncy,OAK,SS
12,17,Jordan Viars,PHI,1B
13,17,Aaron Sabato,MIN,1B
14,17,Brice Turang,MIL,SS
15,17,Bryce Jarvis,ARI,SP
1,18,Jay Groome,BOS,SP
2,18,Pedro Pineda,OAK,CF
3,18,Ty Madden,DET,SP
4,18,Willy Vasquez,TB,C
5,18,Nick Loftin,KC,SS
6,18,Jake Eder,MIA,SP
7,18,Chase Petty,MIN,SP
8,18,Ben Kudrna,KC,SP
9,18,Cole Wilcox,TB,SP
10,18,Gilberto Jimenez,BOS,CF
11,18,Petey Halpin,CLE,OF
12,18,Yanquiel Fernandez,COL,RF
13,18,Miguel Bleis,BOS,CF
14,18,Khalil Lee,NYM,RF
15,18,Austin Shenton,TB,3B
1,19,Ethan Small,MIL,SP
2,19,Nick Bitsko,TB,P
3,19,Robert Puason,OAK,SS
4,19,Michael McGreevy,STL,SP
5,19,Daniel Montesino,SD,RF
6,19,Alec Burleson,STL,1B
7,19,Ethan Hankins,CLE,SP
8,19,Xzavion Curry,CLE,P
9,19,Jhoan Duran,MIN,SP
10,19,Luis Campusano,SD,C
11,19,Ethan Wilson,PHI,LF
12,19,Milkar Perez,SEA,3B
