Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1","",,"Spencer Jones","1B/LHP","21.1","6' 7""","205","L","L","Vanderbilt","","45","","An intriguing two-way prospect and athlete, Jones had middling tools on both sides of the ball but had one of the biggest, most projectable frames in the draft. Teams hoped he'd emerge during his junior spring, but Jones fractured his elbow early in the season and was done for the year. He'll be a tough sign, but teams who think he could be a true two-way player may be motivated to pay him. He'll sit in the upper-80s on the mound and has a great curveball. Offensively, Jones already has considerable power and will likely grow into more. He's also a massive, athletic target at first base.","",
"2","",,"Brooks Lee","SS","21.3","6' 1""","180","S","R","Cal Poly","","40+","","Lee is a flashy shortstop defender with good bat speed. As is typical for switch-hitters this age, both swings are in need of polish. Projections on the bat vary. Lee is committed to Cal Poly, where his father coaches. He's rumored to be a target of Arizona, Los Angeles, and Tampa Bay in the late first and comp round.","",
"3","",,"Hunter Barco","LHP","21.5","6' 4""","208","L","L","Florida","","40+","","Barco was on the radar early and drawing comps to lower-slot elite lefties in the draft like Madison Bumgarner did when he was a prep underclassman. His velo was around 88-91 with a lower slot most of the showcase circuit, then he showed mostly 90-93, touching 96 mph this spring, sometimes flashing a consistently solid average breaker and at other times struggling to land it. His low-spin splitter is a true plus pitch if not closer to 70. He was shut down late in the season with a shoulder muscle strain but hit 96 mph in a private workout with Milwaukee, so the health scare looks to be behind him. Clubs that like the separator splitter, two-way athleticism, and deceptive velo will bet they can figure out the command/breaker, while others see a lefty with inconsistent stuff and arm slot who relies on a splitter.","",
"4","",,"Maurice Hampton","CF","20.8","6' 0""","195","R","R","LSU","","40+","","Hampton was a hot name over the summer for his loud, 105+ mph batted balls and his big time tools and model-friendly age at 17.9 on draft day. This spring, teams have continues to doubt his ability to hit, with a raw feel to hit that some think may never come all the way around, but power/speed/defense to still project as a low-end regular without a 50+ hit tool.","",
"5","",,"Ryan Clifford","RF","18.9","6' 2""","195","L","L","Leesville Road HS NC","None","40","","","",
"6","",,"Termarr Johnson","SS","18.0","5' 8""","140","L","R","Mays HS GA","None","40","","","",
"7","",,"Dylan Lesko","RHP","18.7","6' 3""","170","R","R","Buford HS GA","None","40","","","",
"8","",,"Jerrion Ealy","CF","21.8","5' 10""","192","R","R","Ole Miss","","40","","","",
"9","",,"Bryce Osmond","RHP","21.7","6' 3""","175","R","R","Oklahoma State","","40","","","",
"10","",,"Chris Newell","RF","21.1","6' 2""","190","L","L","Virginia","","40","","","",
"11","",,"Dylan Brewer","CF/LHP","21.7","6' 3""","175","L","L","Clemson","","40","","","",
"12","",,"Brennan Milone","3B","21.1","6' 1""","180","R","R","South Carolina","","40","","","",
"13","",,"Brett Thomas","RHP","21.7","6' 5""","220","R","R","South Carolina","","40","","","",
"14","",,"Josh Rivera","3B","21.7","6' 2""","205","R","R","Florida","","40","","","",
"15","",,"Trey Faltine","RHP/CF","21.4","6' 3""","185","R","R","Texas","","40","","","",
"16","",,"Calvert Clark","CF","19.2","6' 4""","175","R","R","Charlotte Christian HS NC","None","40","","","",
"17","",,"Matt McCormick","1B","21.8","6' 0""","195","L","R","West Virgina","","40","","","",
"18","",,"Brandon Sproat","RHP","18.7","6' 2""","165","R","R","Pace HS FL","Florida","40","","","",
"19","",,"Brandon Barreira","LHP","18.3","6' 0""","155","L","L","Westminster Academy HS FL","None","40","","","",
"20","",,"Elijah Green","CF","18.5","6' 1""","185","R","R","TNXL Academy HS FL","Miami","40","","","",
"21","",,"Hayden Dunhurst","C","21.7","5' 11""","208","S","R","Ole Miss","","40","","","",
"22","",,"Connor Walsh","SS","21.8","6' 2""","185","R","R","Ole Miss","","40","","","",
"23","",,"Alex McFarlane","RHP","21.0","6' 3""","170","R","R","Miami","","40","","","",
"24","",,"Nazier Mule","SS/RHP","17.6","6' 1""","180","R","R","Passaic County Tech HS NJ","None","40","","","",
"25","",,"Antoine Harris","RHP","20.9","6' 4""","170","R","R","New Orleans","","40","","","",
"HS-P-1","",,"Blaise Grove","LHP","18.6","6' 6""","225","R","L","Home School WV","South Carolina","35+","","","",
"HS-P-2","",,"Matthew Porchas","RHP","18.9","6' 3""","195","R","R","Santa Margarita Catholic HS CA","Texas","35+","","","",
"HS-P-4","",,"Trenton Shaw","LHP","18.4","6' 4""","220","L","L","DeSoto HS TX","None","35+","","","",
"HS-P-3","",,"Tristan Smith","LHP","18.4","6' 1""","180","R","L","Boiling Springs HS SC","None","35","","","",
"HS-P-5","",,"Jack O'Connor","RHP","18.4","6' 4""","215","R","R","St. John's College HS VA","Virginia","35","","","",
"HS-H-1","",,"Sal Stewart","3B","18.5","6' 2""","195","R","R","Westminster Christian HS FL","Vanderbilt","35+","","","",
"HS-H-2","",,"Nathan Fink","RF/RHP","18.5","6' 2""","170","R","R","Western Albemarle HS VA","Virginia","35+","","","",
"HS-H-3","",,"Ethan Anderson","C","18.7","6' 2""","205","S","R","Frank W. Cox HS VA","Virginia","35+","","","",
"HS-H-4","",,"Riley Stanford","RF/RHP","19.0","6' 4""","185","R","R","Buford HS GA","None","35+","","","",
"HS-H-5","",,"Andruw Jones","LF","18.5","6' 2""","175","R","R","Wesleyan HS GA","None","35+","","","",
"HS-H-6","",,"Lamar King","C","18.5","6' 3""","190","R","R","Calvert Hall College HS MD","None","35+","","","",
"HS-H-7","",,"Cole Young","SS","18.8","5' 11""","160","L","R","North Allegheny HS PA","Duke","35+","","","",
"HS-H-8","",,"Luke Davis","C/RHP","19.4","5' 11""","160","R","R","Cypress HS CA","USC","35+","","","",
"HS-H-9","",,"Jace LaViolette","LF","18.5","6' 3""","210","L","L","Tompkins HS LA","LSU","35","","","",
"HS-H-10","",,"Kaden Martin","RF","18.2","6' 1""","200","L","L","Knoxville Catholic HS TN","None","35","","","",
"HS-H-11","",,"Raymond Bermudez","RF","18.8","6' 2""","175","L","R","West Broward HS FL","Miami","35","","","",
"HS-H-12","",,"Chase Davis","RF/LHP","18.9","6' 3""","185","L","L","Montgomery HS TX","None","35","","","",
"HS-H-13","",,"Hunter Russell","1B","19.0","6' 3""","180","L","R","Episcopal HS FL","Miami","35","","","",
"COL-P-1","",,"William Rigney","RHP","21.8","6' 5""","205","R","R","Baylor","","35+","","","",
"COL-P-2","",,"Connor Phillips","RHP","21.1","6' 2""","185","R","R","LSU","","35+","","","",
"COL-P-3","",,"Sebastian Keane","RHP","21.6","6' 3""","165","R","R","Northeastern","","35+","","","",
"COL-P-4","",,"Zachary Maxwell","RHP","21.4","6' 6""","245","R","R","Georgia Tech","","35+","","","",
"COL-P-5","",,"Dave Falco","RHP","21.5","6' 4""","215","R","R","Maryland","","35+","","","",
"COL-P-6","",,"Tyler Nesbitt","RHP","20.9","6' 3""","185","R","R","Florida","","35+","","","",
"COL-P-7","",,"Michael Prosecky","LHP","21.3","6' 4""","200","L","L","Louisville","","35+","","","",
"COL-P-8","",,"Andrew McDaniel","RHP","21.8","6' 2""","170","R","R","Ole Miss","","35+","","","",
"COL-P-9","",,"Colin Czajkowski","LHP","21.7","6' 4""","195","L","L","Michigan","","35+","","","",
"COL-P-10","",,"Chris Villaman","LHP","21.2","6' 2""","185","L","L","North Carolina State","","35+","","","",
"19","",,"Reggie Crawford","LHP/1B","21.5","6' 4""","205","L","L","Connecticut","","35","","","",
"20","",,"Nate Stahl","RHP","21.7","6' 4""","195","R","R","Indiana","","35","","","",
"21","",,"Jared Southard","RHP","21.7","6' 2""","210","R","R","Texas","","35","","","",
"22","",,"Thomas Wilhite","RHP","21.4","6' 3""","200","R","R","LSU","","35","","","",
"23","",,"Hayden Mullins","LHP","21.7","6' 0""","180","L","L","Auburn","","35","","","",
"24","",,"Randon Hostert","RHP","20.7","6' 5""","190","R","R","Utah","","35","","","",
"25","",,"Derek Diamond","RHP","21.4","6' 2""","185","R","R","Ole Miss","","35","","","",
"26","",,"Jason Diaz","RHP","21.4","6' 2""","210","R","R","Miami","","35","","","",
"27","",,"Davis Rokose","LHP","21.1","6' 0""","180","L","L","Mississippi State","","35","","","",
"28","",,"Will Childers","RHP","21.6","6' 4""","205","L","R","Georgia","","35","","","",
"29","",,"Ryan Sleeper","LHP","20.8","6' 4""","200","L","L","North Carolina","","35","","","",
"30","",,"Bryce Hubbart","LHP","20.9","6' 0""","175","L","L","Florida State","","35","","","",
"31","",,"Joe Biancone","RHP","21.1","6' 3""","180","R","R","George Washington","","35","","","",
"32","",,"Evan Vanek","RHP","21.5","6' 3""","170","R","R","Texas A&M","","35","","","",
"33","",,"Dylan Eskew","RHP","21.3","6' 3""","185","R","R","Miami","","35","","","",
"34","",,"Landon Sims","RHP","21.4","6' 1""","205","R","R","Mississippi State","","35","","","",
"35","",,"Drew Gilbert","LHP","21.7","5' 10""","165","L","L","Oregon State","","35","","","",
"36","",,"Dawson Netz","RHP","21.8","6' 1""","185","R","R","Arizona","","35","","","",
"37","",,"Zachary Lee","RHP","21.5","6' 4""","180","L","R","Kentucky","","35","","","",
"38","",,"Carter Rustad","RHP","21.1","6' 5""","200","R","R","San Diego","","35","","","",
"39","",,"Nick Dean","RHP","21.4","6' 3""","175","R","R","Maryland","","35","","","",
"40","",,"Josh Hahn","LHP/1B","21.1","6' 2""","200","L","L","UCLA","","35","","","",
"41","",,"Jacob Meador","RHP","21.6","5' 11""","170","R","R","TCU","","35","","","",
"42","",,"Davis Heller","RHP","21.9","6' 8""","220","R","R","Oklahoma","","35","","","",
"43","",,"Logan Tanner","RHP/C","21.6","6' 2""","195","R","R","Mississippi State","","35","","","",
"44","",,"Andre Duplantier","RHP","21.9","6' 2""","195","R","R","Texas","","35","","","",
"45","",,"Trace Bright","RHP","21.6","6' 4""","195","R","R","Auburn","","35","","","",
"46","",,"Anthony Tomczak","RHP","21.8","6' 2""","192","R","R","Stetson","","35","","","",
"47","",,"Blake Mayfield","RHP","21.7","6' 1""","170","R","R","Texas A&M","","35","","","",
"48","",,"Mason Barnett","RHP","21.6","6' 1""","205","R","R","Auburn","","35","","","",
"49","",,"Nick Wallerstedt","RHP","21.6","6' 3""","185","R","R","Arizona State","","35","","","",
"50","",,"Ryan Ramsey","LHP","21.4","6' 0""","190","R","L","Maryland","","35","","","",
"51","",,"Trevor Hinkel","RHP","21.5","6' 2""","195","S","R","Pepperdine","","35","","","",
"52","",,"Brandon Walker","RHP","21.7","6' 1""","195","R","R","Florida State","","35","","","",
"53","",,"Caswell Smith","RHP","21.4","6' 3""","200","R","R","Charleston","","35","","","",
"COL-H-1","",,"Carter Young","SS","21.4","6' 0""","177","S","R","Vanderbilt","","35+","","","",
"COL-H-2","",,"Cade Doughty","SS","21.2","5' 11""","175","R","R","LSU","","35+","","","",
"COL-H-3","",,"Jason Hodges","LF","20.9","6' 3""","210","R","R","Arkansas","","35+","","","",
"COL-H-4","",,"Tyler McKenzie","SS","21.7","6' 1""","160","R","R","Vanderbilt","","35+","","","",
"COL-H-5","",,"Myles Austin","SS","21.3","6' 3""","177","R","R","Alabama","","35+","","","",
"COL-H-6","",,"Kody Huff","C","21.5","5' 10""","185","R","R","Stanford","","35+","","","",
