Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"90",,,"Tyler Black","2B","20.8611111","6' 2""","190","L","R","Wright State",,"35+",,,,
"91",,,"Jose Torres","SS","21.6888888","6' 0""","165","R","R","North Carolina State",,"35+",,,,
"92",,,"Isaiah Thomas","CF","21.15","6' 2""","190","R","R","Vanderbilt",,"35+",,,,
"93",,,"Owen Sharts","RHP","21.5361111","6' 1""","185","R","R","Nevada",,"35+",,,"RKAlOSqGIkI",
"94",,,"Austin Becker","RHP","21.7611111","6' 6""","185","R","R","Texas Tech",,"35+",,,"brVk4S7CP_Y",
"95",,,"Anthony Solometo","LHP","18.5111111","6' 3""","200","L","L","Gloucester Catholic HS NJ","North Carolina","35+",,,,
"96",,,"Joseph Charles","RHP","21.1694444","6' 3""","190","R","R","North Carolina",,"35+",,,,
"97",,,"Max DeBiec","RHP/1B","18.2666666","6' 6""","190","R","R","O'Dea HS WA","Washington","35+",,,,
"98",,,"Mason Marriott","RHP","18.8111111","6' 1""","170","L","R","Tomball HS TX","Baylor","35+",,,,
"99",,,"Brock Selvidge","LHP","18.7722222","6' 3""","185","R","L","Hamilton HS AZ","LSU","35+",,,,
"100",,,"Alonzo Tredwell","RHP","19.0777777","6' 5""","215","L","R","Mater Dei HS CA","UCLA","35+",,,,
"101",,,"Tanner Smith","C","18.6944444","6' 0""","200","R","R","Basha HS AZ","Oregon State","35+",,,,
"102",,,"Philip Abner","LHP","19.0861111","6' 0""","217","L","L","Covenant Day HS NC","Florida","35+",,,,
"103",,,"Luke Hayden","RHP","18.5027777","6' 1""","200","R","R","Edgewood HS IN","Indiana","35+",,,,
"104",,,"Brandon Dieter","SS/RHP","21.5361111","6' 0""","170","R","R","Stanford",,"35+",,,"6WYACquwOMI",
"HS-P-1",,,"Vincent Trapini","RHP","18.7388888","6' 1""","215","R","R","Memorial HS WI","Arkansas","35",,,,
"HS-P-2",,,"Brandon Neely","RHP","17.9111111","6' 2""","180","R","R","Spruce Creek HS FL","Florida","35",,,,
"HS-P-3",,,"Anthony Susac","RHP","18.85","6' 3""","210","R","R","Jesuit HS CA","Arizona","35",,,,
"HS-P-4",,,"Carter Holton","LHP","18.7555555","5' 11""","175","L","L","Benedictine Military HS GA","Vanderbilt","35",,,,
"HS-P-5",,,"Gage Jump","LHP","18.15","5' 11""","185","L","L","JSerra Catholic HS CA","UCLA","35",,,,
"HS-P-6",,,"Greysen Carter","RHP",,"6' 4""","205","S","R","Fairview HS CO","None","35",,,,
"HS-P-7",,,"Nate Leibold","RHP","17.8527777","6' 3""","195","R","R","Ballard HS WA","UCLA","35",,,,
"HS-P-8",,,"Chase Petty","RHP","18.1722222","6' 1""","175","R","R","Mainland HS NJ","Florida","35",,,,
"HS-P-9",,,"Shane Panzini","RHP","19.6","6' 2""","205","R","R","Red Bank Catholic HS NJ","Virginia","35",,,,
"HS-P-10",,,"Pico Kohn","LHP","18.6722222","6' 5""","205","L","L","Chilton County HS AL","Mississippi State","35",,,,
"HS-P-11",,,"Ethan Wood","RHP","18.9388888","6' 6""","220","R","R","Danville HS KY","Louisville","35",,,,
"HS-P-12",,,"Anthony Ursitti","RHP","18.25","6' 3""","185","R","R","Canterbury HS FL","Florida","35",,,,
"HS-P-13",,,"Christopher Cortez","RHP","18.6666666","6' 1""","185","R","R","Silverado HS NV","Arizona","35",,,,
"HS-P-14",,,"Jaylen Jones","LHP","18.8138888","6' 0""","205","L","L","Thomasville HS GA","Michigan","35",,,,
"HS-P-15",,,"Tyler Dietz","RHP","18.5638888","6' 2""","180","R","R","Calvary Christian HS FL","USF","35",,,,
"HS-P-16",,,"David Jeon","RHP","18.4722222","6' 0""","200","R","R","Coppell HS TX","Rice","35",,,,
"HS-P-17",,,"Devin Bennett","RHP","18.0583333","6' 2""","175","R","R","Benbrook HS TX","Dallas Baptist","35",,,,
"HS-P-18",,,"Miles Langhorne","RHP","18.1","6' 4""","185","R","R","Greenwich HS CT","Vanderbilt","35",,,,
"HS-P-19",,,"Chase Allsup","RHP","18.125","6' 3""","200","S","R","Dothan HS AL","Auburn","35",,,,
"HS-P-20",,,"Jackson Jobe","RHP/SS","18.85","6' 2""","180","R","R","Heritage Hill HS OK","Ole Miss","35",,,,
"HS-P-21",,,"Colby Frieda","RHP","18.8638888","6' 3""","195","R","R","Creekside HS FL","Florida State","35",,,,
"HS-P-22",,,"Cale Lansville","RHP","18.4166666","6' 0""","185","R","R","Thunder Ridge HS CO","LSU","35",,,,
"HS-P-23",,,"Garrett Horn","LHP","18.2027777","6' 1""","180","L","L","Glenn HS NC","Liberty","35",,,,
"HS-P-24",,,"Jaxon Weber","LHP","18.2666666","5' 10""","170","L","L","Hebron HS TX","TCU","35",,,,
"HS-H-1",,,"Maxwell Muncy","SS",,"6' 0""","170","R","R","Thousand Oaks HS CA","Arkansas","35",,,,
"HS-H-2",,,"Tommy White","3B","18.2611111","6' 1""","220","R","R","Calvary Christian HS FL","North Carolina State","35",,,,
"HS-H-3",,,"Drake Varnado","SS","18.5194444","6' 2""","175","R","R","IMG Academy HS FL","South Carolina","35",,,,
"HS-H-4",,,"Hector Mangual","SS","17.8138888","6' 3""","175","R","R","Hagerty HS FL","Missouri","35",,,,
"HS-H-5",,,"Aaron Downs","3B","19.2055555","5' 11""","205","R","R","Pella HS IA","Louisville","35",,,,
"HS-H-6",,,"Aries Samek","SS","18.5638888","6' 1""","185","R","R","Teaneck HS NJ","Notre Dame","35",,,,
"HS-H-7",,,"Daylen Lile","CF","18.5166666","6' 0""","200","L","R","Trinity HS KY","Louisville","35",,,,
"HS-H-8",,,"Joshua Baez","RF/RHP","17.9388888","6' 3""","210","R","R","Dexter Southfield HS MA","Vanderbilt","35",,,,
"HS-H-9",,,"Kurtis Reid","SS","19.0194444","6' 2""","180","R","R","Hamilton HS OH","Louisville","35",,,,
"HS-H-10",,,"Davis Diaz","SS","18.2611111","5' 11""","170","R","R","Acalanes HS CA","Vanderbilt","35",,,,
"HS-H-11",,,"Braden Montgomery","RF/RHP","18.1388888","6' 2""","190","S","R","Madison Central HS MS","Stanford","35",,,,
"HS-H-12",,,"Ryan Spikes","SS/RHP","18.2305555","5' 9""","190","R","R","Parkview HS GA","Tennessee","35",,,,
"HS-H-13",,,"Tommy Tavarez","SS","17.9777777","5' 11""","168","R","R","Citius Prep HS NY","Pittsburgh","35",,,,
"HS-H-14",,,"Kelly Crumpton","SS/RHP","19.0388888","6' 3""","190","R","R","Jackson Prep HS MS","Ole Miss","35",,,,
"HS-H-15",,,"Kristian Campbell","SS","18.9388888","6' 3""","185","R","R","Milton HS GA","Georgia Tech","35",,,,
"HS-H-16",,,"Austin Stracener","SS/RHP","18.5805555","6' 0""","165","L","R","Canyon HS TX","Texas A&M","35",,,,
"HS-H-17",,,"Charlie Saum","C","17.7","5' 11""","180","R","R","Thousand Oaks HS CA","Stanford","35",,,,
"HS-H-18",,,"Casey Cook","SS","18.6777777","6' 0""","170","L","R","Freedom HS VA","North Carolina","35",,,,
"HS-H-19",,,"Harry Ford","C","18.2916666","5' 10""","180","R","R","North Cobb HS GA","Georgia Tech","35",,,,
"HS-H-20",,,"Connor Simon","SS/RHP","18.7111111","6' 0""","170","R","R","St. Paul's HS LA","LSU","35",,,,
"HS-H-21",,,"Will Cook","3B","18.6694444","6' 5""","190","L","R","Miamisburg HS OH","Louisville","35",,,,
"HS-H-22",,,"Jabin Trosky","SS","18.8972222","5' 10""","160","S","R","Carmel HS CA","Oregon State","35",,,,
"HS-H-23",,,"Jordan McCants","SS","19.0416666","6' 0""","160","L","R","Catholic HS FL","Mississippi State","35",,,,
"HS-H-24",,,"Noah Miller","SS","18.5666666","6' 0""","175","L","R","Ozaukee HS WI","Alabama","35",,,,
"COL-P-1",,,"Sean Sullivan","RHP","20.6777777","6' 1""","170","S","R","Cal",,"35",,,,
"COL-P-2",,,"Steven Hajjar","LHP","20.8305555","6' 4""","205","R","L","Michigan",,"35",,,,
"COL-P-3",,,"Nick Nastrini","RHP","21.3","6' 3""","204","R","R","UCLA",,"35+",,,,
"COL-P-4",,,"Nick Pogue","RHP","21.7305555","6' 5""","225","R","R","Florida",,"35",,,,
"COL-P-5",,,"Kerry Wright","RHP","20.7444444","6' 5""","235","R","R","Louisville",,"35",,,,
"COL-P-6",,,"Chris Weber","LHP","21.6277777","6' 4""","210","L","L","Texas A&M",,"35",,,,
"COL-P-7",,,"Will Frisch","RHP","20.8944444","6' 1""","215","R","R","Oregon State",,"35",,,,
"COL-P-8",,,"Willie Weiss","RHP","21.2583333","6' 3""","205","R","R","Michigan",,"35",,,,
"COL-P-9",,,"Riley Cornelio","RHP","21","6' 3""","185","R","R","TCU",,"35",,,,
"COL-P-10",,,"Luke Bartnicki","LHP","21.4138888","6' 3""","210","L","L","Georgia Tech",,"35",,,,
"COL-P-11",,,"Kolby Kubichek","RHP","21.5222222","6' 0""","170","R","R","Texas",,"35",,,,
"COL-P-12",,,"Colby Gomes","RHP","21.7111111","6' 5""","225","R","R","Nebraska",,"35",,,,
"COL-P-13",,,"David Luethje","RHP","21.5694444","6' 5""","190","R","R","Florida",,"35",,,,
"COL-P-14",,,"Sam Bachman","RHP","21.6833333","6' 1""","225","R","R","Miami (OH)",,"35",,,,
