prospect_year,player_id,player_first_name,player_last_name,rank,position,preseason100,preseason20,team_file_code,thumb,thumb62x75,thumb124x150,photo180x218,photo360x436
2018,641703,Brent,Honeywell,28,RHP,12,1,TB,/assets/images/8/4/6/264415846/cuts/74x74/cut.jpg,/assets/images/8/4/6/264415846/cuts/62x75/cut.jpg,/assets/images/8/4/6/264415846/cuts/124x150/cut.jpg,/assets/images/8/4/6/264415846/cuts/180x218/cut.jpg,/assets/images/8/4/6/264415846/cuts/360x436/cut.jpg
2018,657140,Kyle,Wright,29,RHP,30,2,ATL,/assets/images/2/4/2/294980242/cuts/74x74/cut.jpg,/assets/images/2/4/2/294980242/cuts/62x75/cut.jpg,/assets/images/2/4/2/294980242/cuts/124x150/cut.jpg,/assets/images/2/4/2/294980242/cuts/180x218/cut.jpg,/assets/images/2/4/2/294980242/cuts/360x436/cut.jpg
2018,669374,Keston,Hiura,30,2B,56,1,MIL,/assets/images/1/7/2/285708172/cuts/74x74/cut.jpg,/assets/images/1/7/2/285708172/cuts/62x75/cut.jpg,/assets/images/1/7/2/285708172/cuts/124x150/cut.jpg,/assets/images/1/7/2/285708172/cuts/180x218/cut.jpg,/assets/images/1/7/2/285708172/cuts/360x436/cut.jpg
2018,656954,Justus,Sheffield,31,LHP,48,3,NYY,/assets/images/9/1/6/295401916/cuts/74x74/cut.jpg,/assets/images/9/1/6/295401916/cuts/62x75/cut.jpg,/assets/images/9/1/6/295401916/cuts/124x150/cut.jpg,/assets/images/9/1/6/295401916/cuts/180x218/cut.jpg,/assets/images/9/1/6/295401916/cuts/360x436/cut.jpg
2018,657077,Alex,Verdugo,32,OF,33,2,LA,/assets/images/8/9/2/287460892/cuts/74x74/cut.jpg,/assets/images/8/9/2/287460892/cuts/62x75/cut.jpg,/assets/images/8/9/2/287460892/cuts/124x150/cut.jpg,/assets/images/8/9/2/287460892/cuts/180x218/cut.jpg,/assets/images/8/9/2/287460892/cuts/360x436/cut.jpg
2018,660821,Jesus,Sanchez,33,OF,57,4,TB,/assets/images/2/6/6/295190266/cuts/74x74/cut.jpg,/assets/images/2/6/6/295190266/cuts/62x75/cut.jpg,/assets/images/2/6/6/295190266/cuts/124x150/cut.jpg,/assets/images/2/6/6/295190266/cuts/180x218/cut.jpg,/assets/images/2/6/6/295190266/cuts/360x436/cut.jpg
2018,666120,Ian,Anderson,34,RHP,51,5,ATL,/assets/images/2/6/4/292113264/cuts/74x74/cut.jpg,/assets/images/2/6/4/292113264/cuts/62x75/cut.jpg,/assets/images/2/6/4/292113264/cuts/124x150/cut.jpg,/assets/images/2/6/4/292113264/cuts/180x218/cut.jpg,/assets/images/2/6/4/292113264/cuts/360x436/cut.jpg
2018,663978,Chris,Paddack,35,RHP,,23,SD,/assets/images/4/5/6/295234456/cuts/74x74/cut.jpg,/assets/images/4/5/6/295234456/cuts/62x75/cut.jpg,/assets/images/4/5/6/295234456/cuts/124x150/cut.jpg,/assets/images/4/5/6/295234456/cuts/180x218/cut.jpg,/assets/images/4/5/6/295234456/cuts/360x436/cut.jpg
2018,621052,Alex,Reyes,36,RHP,18,1,STL,/assets/images/8/3/0/264700830/cuts/74x74/cut.jpg,/assets/images/8/3/0/264700830/cuts/62x75/cut.jpg,/assets/images/8/3/0/264700830/cuts/124x150/cut.jpg,/assets/images/8/3/0/264700830/cuts/180x218/cut.jpg,/assets/images/8/3/0/264700830/cuts/360x436/cut.jpg
2018,666198,Carter,Kieboom,37,SS,90,3,WAS,/assets/images/3/5/4/287606354/cuts/74x74/cut.jpg,/assets/images/3/5/4/287606354/cuts/62x75/cut.jpg,/assets/images/3/5/4/287606354/cuts/124x150/cut.jpg,/assets/images/3/5/4/287606354/cuts/180x218/cut.jpg,/assets/images/3/5/4/287606354/cuts/360x436/cut.jpg
2018,663474,Triston,McKenzie,38,RHP,24,2,CLE,/assets/images/5/1/2/280628512/cuts/74x74/cut.jpg,/assets/images/5/1/2/280628512/cuts/62x75/cut.jpg,/assets/images/5/1/2/280628512/cuts/124x150/cut.jpg,/assets/images/5/1/2/280628512/cuts/180x218/cut.jpg,/assets/images/5/1/2/280628512/cuts/360x436/cut.jpg
2018,660688,Keibert,Ruiz,39,C,52,3,LA,/assets/images/2/0/8/271466208/cuts/74x74/cut.jpg,/assets/images/2/0/8/271466208/cuts/62x75/cut.jpg,/assets/images/2/0/8/271466208/cuts/124x150/cut.jpg,/assets/images/2/0/8/271466208/cuts/180x218/cut.jpg,/assets/images/2/0/8/271466208/cuts/360x436/cut.jpg
2018,657053,Touki,Toussaint,40,RHP,,11,ATL,/assets/images/8/9/2/290159892/cuts/74x74/cut.jpg,/assets/images/8/9/2/290159892/cuts/62x75/cut.jpg,/assets/images/8/9/2/290159892/cuts/124x150/cut.jpg,/assets/images/8/9/2/290159892/cuts/180x218/cut.jpg,/assets/images/8/9/2/290159892/cuts/360x436/cut.jpg
2018,640462,A.J.,Puk,41,LHP,32,1,OAK,/assets/images/9/7/0/264385970/cuts/74x74/cut.jpg,/assets/images/9/7/0/264385970/cuts/62x75/cut.jpg,/assets/images/9/7/0/264385970/cuts/124x150/cut.jpg,/assets/images/9/7/0/264385970/cuts/180x218/cut.jpg,/assets/images/9/7/0/264385970/cuts/360x436/cut.jpg
2018,670541,Yordan,Alvarez,42,OF,,4,HOU,/assets/images/8/0/6/295404806/cuts/74x74/cut.jpg,/assets/images/8/0/6/295404806/cuts/62x75/cut.jpg,/assets/images/8/0/6/295404806/cuts/124x150/cut.jpg,/assets/images/8/0/6/295404806/cuts/180x218/cut.jpg,/assets/images/8/0/6/295404806/cuts/360x436/cut.jpg
