level,pos,G,H,R,-1,2B,3B,AB,BB,CS,HR,PA,SB,SO,AVG,BsR,Def,Fld,HBP,OBP,OPS,Off,RBI,SLG,WAR,Name,Team,wOBA,wRC+,playerid
B,C,38,31,15,,6,1,135,12,1,2,150,2,29,.233,0.1,3.1,0.0,1,.301,.642,-3.4,14,.341,0.5,Garrett Stubbs,Astros,.283,80,sa827172
B,,15,11,6,,2,0,51,6,0,2,58,0,16,.222,0.0,-1.4,0.0,0,.301,.673,-0.8,6,.373,0.0,Joey Curletta,Mariners,.293,88,sa658025
B,,15,13,5,,2,0,57,3,0,1,61,0,10,.223,0.0,1.2,-0.1,1,.270,.595,-3.0,5,.325,0.0,Jhonatan Solano,,.261,61,7515
