level,pos,G,H,R,-1,2B,3B,AB,BB,CS,HR,PA,SB,SO,AVG,BsR,Def,Fld,HBP,OBP,OPS,Off,RBI,SLG,WAR,Name,Team,wOBA,wRC+,playerid
B,C,3,3,1,,1,0,11,1,0,0,12,0,3,.244,0.0,0.3,0.0,0,.294,.653,-0.3,1,.360,0.0,Meibrys Viloria,Royals,.286,77,17109
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.235,0.0,0.0,0.0,0,.287,.608,0.0,0,.321,0.0,Zach Vincej,,.269,66,13269
B,IF,13,9,5,,2,0,45,6,0,2,52,0,19,.202,0.0,-0.4,0.0,1,.294,.655,-1.3,5,.361,0.0,Mitch Walding,Phillies,.289,80,13006
B,IF-OF,31,26,11,,5,0,111,8,1,2,122,2,30,.234,0.0,0.2,-0.3,1,.290,.621,-4.4,10,.331,0.0,Steve Wilkerson,Orioles,.274,70,16041
A,C,30,21,10,,4,0,104,8,0,2,114,1,30,.206,-0.3,2.5,0.0,1,.263,.582,-6.1,11,.318,0.0,Bobby Wilson,,.256,57,6564
B,OF,6,5,3,,1,0,22,3,0,1,25,0,7,.225,0.0,-0.3,0.0,0,.328,.678,-0.4,2,.350,0.0,Mark Zagunis,Cubs,.303,88,16565
A,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.228,0.0,0.0,0.0,0,.289,.629,0.0,0,.341,0.0,Chase d'Arnaud,,.276,71,6652
V,IF,138,100,63,,17,1,496,62,1,26,571,2,204,.202,-0.2,-11.8,0.0,6,.297,.694,-8.1,69,.397,-0.1,Chris Davis,Orioles,.302,88,9272
B,IF-OF,17,14,6,,3,0,59,4,0,1,65,1,13,.229,0.0,-0.8,-0.2,1,.284,.629,-1.9,6,.346,-0.1,Phillip Evans,Mets,.276,76,12950
V,OF,49,42,22,,9,0,178,21,0,6,203,1,51,.236,-0.9,-5.9,-3.5,2,.321,.718,-1.9,23,.397,-0.1,Matt Holliday,,.314,96,1873
B,OF,16,14,6,,2,0,58,4,1,1,64,2,15,.246,0.1,-0.7,0.2,0,.301,.641,-2.0,6,.340,-0.1,Andrew Stevenson,Nationals,.283,73,17932
A,C,49,41,21,,9,1,176,16,1,4,195,3,50,.235,0.3,-1.6,-0.2,1,.299,.653,-5.7,20,.353,-0.1,Blake Swihart,Red Sox,.287,74,13176
B,IF-OF,21,19,8,,4,0,79,4,1,1,84,2,14,.243,0.0,0.0,-0.8,0,.283,.616,-3.4,7,.334,-0.1,Ramon Torres,Royals,.270,66,14113
B,IF-OF,10,8,3,,1,0,36,2,0,0,39,1,8,.223,0.0,0.1,-0.1,0,.275,.562,-2.2,3,.287,-0.1,Engelb Vielma,Orioles,.251,54,15481
B,IF,23,18,9,,4,0,82,7,0,3,91,1,29,.218,0.1,-1.3,0.0,1,.281,.658,-2.2,10,.377,-0.1,Patrick Wisdom,Cardinals,.286,79,13602
V,OF,49,38,20,,8,1,172,17,1,6,194,2,49,.223,0.0,-4.8,-2.4,2,.300,.695,-2.7,22,.394,-0.1,Chris Young,,.303,89,3882
A,OF,40,33,15,,6,1,143,11,2,2,159,5,36,.231,0.4,-1.2,-1.9,2,.292,.626,-5.2,14,.334,-0.1,Eric Young Jr.,,.277,71,7158
B,IF-OF,28,24,11,,5,0,103,7,1,3,112,2,35,.229,0.1,-1.7,0.1,1,.279,.663,-3.3,12,.384,-0.2,Brandon Dixon,Reds,.287,75,15214
A,IF-OF,34,26,13,,5,1,127,9,1,3,140,2,43,.206,0.0,-0.2,-1.0,2,.265,.581,-6.2,12,.316,-0.2,Kristopher Negron,Mariners,.257,63,5306
B,OF,51,42,18,,8,1,186,12,3,4,203,7,54,.225,0.3,-2.1,0.6,2,.276,.618,-6.8,18,.342,-0.3,Isaac Galloway,Marlins,.271,71,5238
B,OF,83,83,34,,14,3,304,16,2,6,327,6,62,.275,0.1,-5.1,-0.4,3,.315,.720,-8.7,36,.405,-0.4,Noel Cuevas,Rockies,.310,78,11894
B,IF-OF,25,18,7,,3,0,90,7,1,1,99,1,29,.200,0.0,-1.0,-0.3,1,.260,.539,-6.1,7,.280,-0.4,Yadiel Rivera,Marlins,.237,49,11863
A,IF-OF,50,41,21,,7,1,180,14,1,6,199,4,64,.225,0.2,-4.1,0.2,2,.285,.657,-6.7,21,.372,-0.4,Ryan Rua,Rangers,.286,71,12409
B,IF-OF,49,45,17,,9,1,183,9,2,2,196,4,36,.247,0.3,-1.9,-0.6,2,.285,.627,-7.9,18,.342,-0.4,Adrian Sanchez,Nationals,.273,66,11338
A,IF-OF,93,80,34,,16,2,338,22,2,8,368,5,88,.236,0.4,-5.2,-1.5,3,.286,.647,-13.0,36,.361,-0.7,Charlie Culberson,Braves,.278,70,3298
B,IF-OF,105,76,42,,16,1,390,34,1,18,432,1,155,.196,-0.1,-7.9,0.6,3,.264,.643,-12.8,49,.379,-0.7,Peter O'Brien,Marlins,.277,76,13288
