level,pos,G,H,R,-1,2B,3B,AB,BB,CS,HR,PA,SB,SO,AVG,BsR,Def,Fld,HBP,OBP,OPS,Off,RBI,SLG,WAR,Name,Team,wOBA,wRC+,playerid
B,IF-OF,41,31,17,,6,1,140,20,1,4,164,2,45,.220,0.1,-0.3,-0.1,1,.320,.675,-2.3,15,.354,0.3,Max Moroff,Pirates,.299,88,14556
B,IF-OF,143,121,64,,25,2,514,54,1,22,579,2,158,.234,-0.3,-13.5,-1.4,3,.309,.729,-2.7,69,.420,0.3,Ryan O'Hearn,Royals,.315,97,16442
A,OF,105,96,45,,20,1,388,35,3,8,433,7,92,.246,1.0,-5.2,-1.0,4,.313,.682,-6.2,40,.369,0.3,Joey Rickard,Orioles,.298,86,13277
B,C,38,28,14,,6,1,131,15,0,2,149,1,40,.212,0.0,3.3,0.1,1,.297,.601,-5.5,12,.304,0.3,Beau Taylor,Athletics,.269,69,12384
B,C,15,12,6,,3,0,52,4,0,1,58,0,12,.237,0.0,1.2,-0.1,1,.296,.648,-1.3,5,.352,0.2,David Freitas,Mariners,.284,82,10619
A,OF,40,38,16,,8,1,151,12,2,2,166,4,32,.253,0.2,0.0,0.6,1,.310,.668,-3.5,15,.358,0.2,Rosell Herrera,Royals,.293,81,11611
A,C,15,12,6,,3,0,53,5,0,1,60,0,14,.234,-0.1,1.3,0.0,1,.308,.667,-1.3,6,.359,0.2,Ryan Lavarnway,,.294,83,8879
A,IF-OF,45,43,19,,10,1,163,11,1,5,177,2,33,.267,0.0,-4.0,-0.2,1,.314,.741,0.1,21,.427,0.2,Jose Osuna,Pirates,.319,101,12937
A,C,18,15,7,,3,0,63,5,0,2,70,1,14,.244,0.0,2.0,0.5,1,.301,.676,-2.0,7,.375,0.2,Carlos Perez,Rangers,.295,77,10642
B,OF,25,25,11,,5,1,95,7,1,2,105,3,19,.261,0.1,-1.1,0.2,1,.317,.714,-0.6,11,.398,0.2,Pablo Reyes,Pirates,.310,95,16357
B,IF,28,25,10,,4,1,97,8,1,1,107,2,12,.260,0.0,0.0,-0.9,1,.317,.674,-1.9,10,.357,0.2,Breyvic Valera,Orioles,.297,85,12758
B,IF-OF,21,19,8,,3,1,78,4,1,1,84,2,17,.241,0.1,0.4,0.1,1,.286,.645,-2.3,8,.360,0.1,Abiatal Avelino,Giants,.280,76,15496
V,IF,16,14,7,,3,0,59,5,0,1,65,1,12,.238,-0.1,-0.1,-0.4,1,.306,.668,-1.5,6,.361,0.1,Gordon Beckham,,.294,83,9015
B,IF,26,23,11,,4,1,95,8,1,3,105,1,26,.246,0.1,-1.2,-0.4,1,.309,.717,-0.9,12,.407,0.1,David Bote,Cubs,.309,93,14593
B,C,15,12,6,,2,0,54,3,0,2,58,1,14,.220,0.0,1.4,0.2,0,.262,.624,-2.1,6,.362,0.1,Jose Briceno,Angels,.270,71,13151
A,C,30,23,11,,5,0,105,8,0,3,116,1,29,.218,-0.1,2.1,-0.4,1,.279,.622,-4.5,11,.343,0.1,Drew Butera,,.273,69,3411
B,IF-OF,49,45,18,,10,1,178,14,0,5,196,1,42,.254,0.0,-4.3,0.4,2,.312,.706,-1.1,20,.394,0.1,Garrett Cooper,Marlins,.306,95,15279
