Rank,Top 100,Draft,Name,Pos,Age,Ht,Wt,Bats,Thr,School,College Commit,Athl,Frame,Perf,FV,Risk,Report,Video
"54","",,"Dilan Rosario","SS","18.0","6' 2""","170","R","R","Leadership Christian HS PR","USC",0,0,0,"40","","",""
"55","",,"Jaden Brown","SS","17.6","6' 1""","186","R","R","St. Marcellinus HS CAN","Kentucky",0,0,0,"40","","",""
"56","",,"Quinn Priester","RHP","18.7","6' 3""","190","R","R","Cary-Grove HS IL","TCU",0,0,0,"40","","",""
"57","",,"Hunter Barco","LHP","18.5","6' 4""","208","L","L","Bolles HS FL","Florida",0,0,0,"40","","",""
"58","",,"Kendall Williams","RHP","18.8","6' 6""","190","R","R","IMG Academy HS FL","Vanderbilt",0,0,0,"40","","",""
"59","",,"Jack Kochanowicz","RHP","18.5","6' 6""","207","R","R","Harriton HS PA","Virginia",0,0,0,"40","","",""
"60","",,"Kenyon Yovan","RHP","21.5","6' 1""","215","R","R","Oregon","",0,0,0,"40","","",""
"61","",,"Jonathan French","C","18.7","5' 11""","210","R","R","Parkview HS GA","Clemson",0,0,0,"40","","",""
"62","",,"Matt Canterino","RHP","21.5","6' 2""","205","R","R","Rice","",0,0,0,"40","","",""
"63","",,"Tyler Dyson","RHP","21.5","6' 3""","225","R","R","Florida","",0,0,0,"40","","",""
"64","",,"Adam Laskey","LHP","21.3","6' 3""","205","R","L","Duke","",0,0,0,"40","","",""
"65","",,"Levi Stoudt","RHP","21.5","6' 1""","175","L","R","Lehigh","",0,0,0,"40","","",""
"66","",,"Jake Agnos","LHP","21.0","5' 11""","206","L","L","East Carolina","",0,0,0,"40","","",""
"67","",,"Ricky DeVito","RHP","20.8","6' 2""","166","S","R","Seton Hall","",0,0,0,"40","","",""
"68","",,"William Rigney","RHP","18.9","6' 5""","205","R","R","Midway HS TX","Baylor",0,0,0,"40","","",""
"69","",,"Kyren Paris","SS","17.6","6' 0""","170","R","R","Freedom HS CA","California",0,0,0,"40","","",""
"","",,"Tyler McKenzie","SS","18.7","6' 1""","160","R","R","Benjamin HS FL","Vanderbilt",0,0,0,"40","","",""
"","",,"Ethan Hearn","C","18.8","5' 11""","200","L","R","Mobile Christian HS AL","Mississippi State",0,0,0,"40","","",""
"","",,"Jason Hodges","LF","18.0","6' 3""","210","R","R","Marist HS IL","Arkansas",0,0,0,"40","","",""
"","",,"John Rhys Plumlee","CF","18.4","6' 0""","185","R","R","Oak Grove HS MS","Georgia",0,0,0,"40","","",""
"","",,"Chris Newell","RF","18.1","6' 2""","190","L","L","Malvern Prep HS PA","Virginia",0,0,0,"40","","",""
"","",,"Landon Sims","RHP","18.4","6' 2""","205","R","R","South Forsyth HS GA","Mississippi State",0,0,0,"40","","",""
"","",,"Hayden Mullins","LHP","18.7","6' 0""","180","L","L","Hendersonville HS TN","Auburn",0,0,0,"40","","",""
"","",,"Alex McFarlane","RHP","18.0","6' 3""","170","R","R","Habersham Central HS GA","Miami",0,0,0,"40","","",""
