"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Derek Norris","- - -","610","2195","63","242","247","26","8.9 %","24.6 %",".150",".284",".230",".304",".380",".300","91","0.6","-25.5","45.1","9.6","6867"
"Luis Alicea","- - -","1341","4614","47","551","422","81","10.8 %","13.5 %",".110",".294",".260",".346",".369",".322","90","-4.9","-61.1","3.2","9.6","584"
"Adam Everett","- - -","880","3070","40","334","283","67","5.7 %","14.8 %",".103",".275",".242",".294",".346",".282","65","22.5","-113.5","108.5","9.6","1430"
"Wil Myers","- - -","785","3145","114","403","377","93","10.0 %","26.6 %",".185",".316",".251",".327",".436",".328","107","12.8","38.4","-46.4","9.5","10047"
"Jeffrey Leonard","- - -","1396","5438","144","611","717","163","6.3 %","18.3 %",".145",".302",".265",".312",".410",".319","101","7.6","11.2","-98.1","9.5","1007535"
"Jason LaRue","- - -","922","3103","96","307","348","14","7.6 %","24.5 %",".166",".283",".231",".315",".396",".310","82","-12.7","-83.2","77.3","9.5","337"
"Kevin Kouzmanoff","- - -","685","2730","87","273","371","6","4.6 %","18.3 %",".166",".286",".257",".302",".424",".315","95","-7.7","-24.7","29.4","9.5","5995"
"Randal Grichuk","- - -","679","2476","122","314","323","20","5.8 %","28.3 %",".239",".295",".244",".293",".483",".327","105","1.5","14.2","-3.0","9.5","10243"
"Yorvit Torrealba","- - -","907","3183","56","306","339","19","7.0 %","17.1 %",".123",".297",".256",".315",".379",".305","79","-16.1","-96.6","87.7","9.5","1135"
"Ken Phelps","- - -","761","2288","123","308","313","10","17.0 %","19.7 %",".241",".246",".239",".373",".480",".376","131","-1.6","84.7","-68.1","9.5","1010277"
"Andre Thornton","Indians","949","3962","153","476","574","32","13.2 %","13.4 %",".183",".254",".251",".349",".434",".348","113","-2.5","58.2","-95.9","9.5","1013037"
"Todd Walker","- - -","1288","5055","107","647","545","66","8.3 %","11.3 %",".146",".308",".289",".348",".435",".340","99","-3.5","-14.2","-59.8","9.5","359"
"Scott Podsednik","- - -","1079","4346","42","563","312","309","7.7 %","14.5 %",".099",".324",".281",".339",".379",".319","89","37.0","-21.2","-31.0","9.4","1095"
"Adam Lind","- - -","1344","5029","200","588","723","7","7.8 %","18.8 %",".193",".302",".272",".330",".465",".341","111","-20.4","44.2","-121.9","9.4","8027"
"Scott Hatteberg","- - -","1314","4877","106","538","527","3","11.5 %","10.3 %",".137",".287",".273",".362",".410",".342","104","-6.3","19.4","-88.1","9.4","916"
"Manny Trillo","- - -","1126","4082","39","394","325","35","6.3 %","11.2 %",".086",".294",".267",".316",".353",".302","86","-6.2","-70.8","27.8","9.4","1013184"
"Jonathan Schoop","- - -","802","3104","133","383","392","8","3.8 %","23.0 %",".191",".296",".257",".295",".449",".317","97","-8.7","-18.6","7.2","9.4","11265"
"David Murphy","- - -","1110","3847","104","440","472","54","8.2 %","14.9 %",".158",".299",".274",".333",".432",".333","102","-3.7","6.7","-44.1","9.4","6035"
"Gerardo Parra","- - -","1466","5183","88","620","522","96","6.0 %","17.2 %",".129",".320",".276",".323",".404",".314","88","-11.2","-86.5","13.7","9.4","8553"
"Jack Howell","- - -","941","2982","108","345","337","14","10.1 %","21.0 %",".184",".273",".239",".318",".423",".327","102","-4.2","4.1","-12.0","9.4","1006099"
"Addison Russell","Cubs","615","2212","60","256","253","17","8.4 %","24.1 %",".150",".299",".242",".312",".392",".304","87","6.6","-28.8","50.2","9.4","14106"
"Matt Olson","Athletics","359","1451","89","194","220","2","10.3 %","25.2 %",".258",".285",".254",".343",".512",".359","130","-4.5","49.3","-4.9","9.4","14344"
"Max Muncy","- - -","374","1315","75","203","194","7","15.1 %","25.5 %",".257",".278",".244",".364",".501",".366","132","6.5","60.5","-9.1","9.4","13301"
"Nick Esasky","- - -","810","3064","122","336","427","18","10.2 %","23.2 %",".195",".293",".250",".329",".446",".342","111","-2.9","37.3","-49.1","9.3","1003818"
"Ronald Acuna Jr.","Braves","267","1202","67","205","165","53","10.1 %","25.9 %",".246",".343",".285",".365",".532",".376","133","10.8","61.6","-6.4","9.3","18401"
"Reggie Smith","- - -","307","1074","44","144","151","18","11.6 %","15.5 %",".185",".307",".291",".371",".476",".372","137","-0.8","44.1","10.6","9.3","1012201"
"Joe Panik","- - -","682","2701","38","305","233","20","8.1 %","9.4 %",".113",".287",".271",".334",".384",".312","97","-1.8","-15.0","18.5","9.3","11936"
"Ryan Freel","- - -","594","2274","22","306","122","143","9.8 %","15.4 %",".101",".316",".268",".354",".369",".326","92","14.7","-9.3","28.4","9.3","1207"
"Alex Gonzalez","- - -","1609","6248","157","667","690","30","4.8 %","18.7 %",".150",".281",".245",".290",".395",".296","76","-10.1","-198.2","87.0","9.2","520"
"Erubiel Durazo","- - -","624","2291","94","333","330","7","13.4 %","18.7 %",".206",".314",".281",".381",".487",".373","124","0.3","72.3","-54.4","9.2","1413"
"Reed Johnson","- - -","1320","3992","65","518","408","41","4.5 %","18.2 %",".126",".332",".279",".335",".405",".326","96","-0.8","-20.6","-16.6","9.2","1702"
"Preston Wilson","- - -","1108","4436","189","573","668","124","7.9 %","24.5 %",".205",".314",".264",".329",".468",".343","102","-5.9","6.6","-56.1","9.2","545"
"Hank Blalock","- - -","936","3928","153","507","542","14","8.0 %","18.3 %",".194",".296",".269",".329",".463",".340","100","-17.7","-16.7","-24.5","9.2","1419"
"Craig Grebeck","- - -","752","2299","19","239","187","4","9.9 %","11.9 %",".095",".292",".261",".340",".356",".318","90","-3.8","-31.7","46.3","9.2","1004982"
"Oddibe McDowell","- - -","830","3172","74","458","266","169","9.3 %","17.3 %",".142",".288",".253",".323",".395",".321","95","11.8","-7.3","-9.4","9.2","1008474"
"Chad Kreuter","- - -","944","2932","54","289","274","5","12.3 %","20.2 %",".120",".287",".237",".335",".357",".314","87","-1.8","-51.8","45.9","9.1","661"
"Marwin Gonzalez","- - -","909","3169","91","355","347","38","6.6 %","20.2 %",".155",".310",".264",".319",".418",".318","101","-11.7","-6.0","-9.7","9.1","5497"
"Travis Shaw","- - -","592","2241","99","273","310","20","10.5 %","23.4 %",".207",".280",".243",".327",".451",".331","103","-1.8","5.9","9.6","9.1","11982"
"Kyle Schwarber","Cubs","492","1884","110","265","255","10","13.0 %","27.9 %",".254",".273",".235",".339",".490",".347","115","0.7","36.9","-7.2","9.1","16478"
"Chris Stewart","- - -","457","1334","9","106","90","6","7.4 %","14.3 %",".062",".265",".230",".297",".291",".264","63","0.2","-59.5","101.1","9.1","3878"
"Jason Michaels","- - -","1031","2629","59","332","299","22","9.2 %","18.9 %",".145",".308",".263",".335",".407",".326","96","2.7","-9.9","14.9","9.1","1399"
"Tom Brookens","- - -","1336","4258","71","477","431","86","6.6 %","14.2 %",".121",".272",".246",".296",".367",".297","82","-7.4","-97.7","47.8","9.1","1001476"
"Gregor Blanco","- - -","1060","3349","26","394","235","122","10.8 %","19.7 %",".094",".319",".255",".338",".348",".307","93","19.6","-11.4","-7.9","9.0","3123"
"Andrew Benintendi","Red Sox","471","2052","51","275","259","52","10.2 %","18.7 %",".165",".323",".277",".354",".442",".341","109","9.3","31.9","-12.7","9.0","17901"
"Christian Vazquez","Red Sox","429","1520","33","169","152","15","6.1 %","18.3 %",".127",".297",".256",".305",".384",".296","79","-11.1","-49.3","86.5","9.0","9774"
"Dante Bichette","- - -","1704","6856","274","934","1141","152","5.2 %","15.7 %",".200",".320",".299",".336",".499",".359","104","-1.2","34.7","-165.5","8.9","1000946"
"Brandon Moss","- - -","1016","3521","160","419","473","11","9.3 %","27.5 %",".215",".287",".237",".314",".452",".330","107","-3.0","23.1","-53.5","8.9","4467"
"Peter Bourjos","- - -","875","2334","43","284","170","68","5.7 %","24.1 %",".139",".302",".237",".293",".376",".292","84","14.9","-31.5","39.2","8.9","2578"
"Mickey Morandini","- - -","1298","5135","32","597","351","123","8.5 %","13.9 %",".091",".310",".268",".338",".359",".315","87","4.8","-80.0","1.4","8.9","1009151"
"Yoan Moncada","- - -","343","1460","50","190","163","25","9.4 %","31.3 %",".192",".369",".265",".338",".458",".339","114","7.8","34.8","5.1","8.9","17232"
"Evan Gattis","- - -","706","2662","139","299","410","3","6.3 %","21.6 %",".228",".266",".248",".300",".476",".329","110","-12.2","18.7","-20.8","8.9","11003"
"Kevin Millar","- - -","1427","5382","170","648","699","7","10.5 %","15.6 %",".178",".299",".274",".358",".452",".353","112","-34.1","51.1","-142.2","8.9","529"
"Ken Landreaux","- - -","1148","4140","86","479","451","137","6.6 %","9.3 %",".134",".280",".271",".320",".405",".322","101","5.0","9.1","-63.1","8.8","1007303"
"Bill Hall","- - -","1054","3674","125","450","440","62","7.8 %","26.4 %",".188",".310",".248",".308",".436",".321","92","1.2","-36.3","6.1","8.8","1605"
"Scott Spiezio","- - -","1274","4413","119","517","549","33","9.3 %","13.5 %",".163",".272",".255",".329",".419",".325","95","-5.8","-36.8","-25.8","8.8","37"
"Jedd Gyorko","- - -","804","2848","112","298","353","14","8.2 %","22.2 %",".176",".279",".245",".309",".421",".316","100","-10.3","-8.3","3.8","8.7","10816"
"Doug Mientkiewicz","- - -","1087","3844","66","422","405","14","11.4 %","12.3 %",".133",".296",".271",".360",".405",".337","102","-13.5","-7.3","-36.0","8.7","741"
"Joey Gallo","Rangers","416","1559","110","239","236","18","14.2 %","38.0 %",".304",".275",".212",".331",".516",".355","115","12.1","41.4","-6.9","8.7","14128"
"Kevin Mench","- - -","729","2597","89","311","331","12","7.0 %","12.9 %",".188",".277",".268",".324",".456",".335","98","12.0","3.8","-3.6","8.7","1261"
