"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","- - -","2986","12606","762","2227","1996","514","20.3 %","12.2 %",".309",".285",".298",".444",".607",".435","173","30.4","1173.8","67.6","164.4","1109"
"Alex Rodriguez","- - -","2784","12207","696","2021","2086","329","11.0 %","18.7 %",".255",".314",".295",".380",".550",".395","141","35.4","665.1","69.0","113.7","1274"
"Rickey Henderson","- - -","3081","13346","297","2295","1115","1406","16.4 %","12.7 %",".140",".305",".279",".401",".419",".372","132","144.4","650.9","-56.1","106.3","194"
"Cal Ripken","Orioles","3001","12883","431","1647","1695","36","8.8 %","10.1 %",".172",".277",".276",".340",".447",".346","112","-11.0","165.4","310.1","92.5","1010978"
"Wade Boggs","- - -","2440","10740","118","1513","1013","24","13.1 %","6.9 %",".115",".344",".328",".415",".443",".381","132","-12.2","399.0","105.8","88.3","1001124"
"Albert Pujols","- - -","2823","12231","656","1828","2075","114","10.8 %","10.5 %",".249",".287",".300",".379",".549",".388","144","-40.7","624.7","-148.1","87.7","1177"
"Chipper Jones","Braves","2499","10614","468","1619","1623","150","14.2 %","13.3 %",".226",".313",".303",".401",".529",".397","141","-3.7","559.1","-35.3","84.6","97"
"Adrian Beltre","- - -","2933","12130","477","1524","1707","121","7.0 %","14.3 %",".194",".300",".286",".339",".480",".350","115","-11.1","204.7","218.4","84.1","639"
"Jeff Bagwell","Astros","2150","9431","449","1517","1529","202","14.9 %","16.5 %",".244",".317",".297",".408",".540",".405","149","6.5","594.6","-82.1","80.2","547"
"Ken Griffey Jr.","- - -","2671","11304","630","1662","1836","184","11.6 %","15.7 %",".254",".287",".284",".370",".538",".384","131","-7.3","444.1","-39.6","77.7","327"
"Mike Trout","Angels","1199","5273","285","903","752","200","15.2 %","21.2 %",".276",".348",".305",".419",".581",".419","172","59.3","511.2","19.9","73.4","10155"
"Derek Jeter","Yankees","2747","12602","260","1923","1311","358","8.6 %","14.6 %",".130",".350",".310",".377",".440",".360","119","24.0","332.7","-19.8","73.1","826"
"Frank Thomas","- - -","2322","10075","521","1494","1704","32","16.5 %","13.9 %",".254",".304",".301",".419",".555",".416","154","-38.2","653.0","-267.4","72.1","255"
"Miguel Cabrera","- - -","2400","10236","477","1429","1694","38","11.1 %","17.2 %",".228",".344",".315",".392",".543",".395","146","-69.1","497.6","-155.4","70.6","1744"
"Rafael Palmeiro","- - -","2831","12046","569","1663","1835","97","11.2 %","11.2 %",".226",".283",".288",".371",".515",".380","130","-11.2","442.8","-145.4","70.0","1266"
"Scott Rolen","- - -","2038","8518","316","1211","1287","118","10.6 %","16.6 %",".210",".305",".281",".364",".490",".368","122","10.5","252.4","180.3","69.9","970"
"Ivan Rodriguez","- - -","2543","10270","311","1354","1332","127","5.0 %","14.4 %",".168",".321",".296",".334",".464",".344","104","-24.9","37.0","320.0","69.2","1275"
"Jim Thome","- - -","2543","10313","612","1583","1699","19","16.9 %","24.7 %",".278",".322",".276",".402",".554",".406","145","-35.3","554.5","-200.0","69.1","409"
"Larry Walker","- - -","1988","8030","383","1355","1311","230","11.4 %","15.3 %",".252",".332",".313",".400",".565",".412","140","21.5","427.9","3.5","68.7","455"
"Carlos Beltran","- - -","2586","11031","435","1582","1587","312","9.8 %","16.3 %",".207",".299",".279",".350",".486",".358","118","67.5","312.4","4.3","67.9","589"
"Barry Larkin","Reds","2180","9057","198","1329","960","379","10.4 %","9.0 %",".150",".306",".295",".371",".444",".360","118","43.4","240.8","132.5","67.0","335"
"Andruw Jones","- - -","2196","8664","434","1204","1289","152","10.3 %","20.2 %",".231",".273",".254",".337",".486",".352","111","-5.3","116.3","278.8","67.0","96"
"Manny Ramirez","- - -","2302","9774","555","1544","1831","38","13.6 %","18.5 %",".273",".338",".312",".411",".585",".418","153","-35.0","624.8","-276.6","66.4","210"
"Tim Raines","- - -","2502","10359","170","1571","980","807","12.8 %","9.3 %",".131",".312",".294",".385",".425",".361","125","100.4","408.2","-109.6","66.4","1406"
"Mark McGwire","- - -","1874","7660","583","1167","1414","12","17.2 %","20.8 %",".325",".255",".263",".394",".588",".415","157","-2.5","555.0","-138.5","66.3","1008559"
"Craig Biggio","Astros","2850","12504","291","1844","1175","414","9.3 %","14.0 %",".152",".311",".281",".363",".433",".352","115","38.3","276.9","-23.0","65.8","549"
"Edgar Martinez","Mariners","2055","8678","309","1219","1262","49","14.8 %","13.9 %",".204",".335",".312",".418",".515",".405","147","-21.0","500.5","-133.5","65.5","1086"
"Paul Molitor","- - -","2558","11611","228","1709","1262","474","9.3 %","10.2 %",".144",".328",".308",".372",".452",".364","123","45.1","372.0","-123.2","65.5","1009040"
"Lou Whitaker","Tigers","2240","9363","241","1310","1024","134","12.1 %","11.0 %",".155",".289",".276",".363",".431",".354","119","-1.2","205.6","117.0","65.0","1013846"
"Tony Gwynn","Padres","2440","10232","135","1383","1138","319","7.7 %","4.2 %",".120",".341",".338",".388",".459",".370","132","11.3","401.5","-92.2","65.0","1005166"
"Ozzie Smith","- - -","2414","10110","27","1188","747","540","10.1 %","5.4 %",".067",".275",".262",".339",".329",".306","90","51.7","-61.1","363.2","64.9","1012186"
"Eddie Murray","- - -","2705","11461","450","1461","1734","104","10.6 %","11.5 %",".189",".290",".287",".361",".476",".365","127","4.0","363.9","-124.9","64.6","1009386"
"Jim Edmonds","- - -","2011","7980","393","1251","1199","67","12.5 %","21.7 %",".243",".324",".284",".376",".527",".385","132","-8.0","317.7","73.3","64.5","1153"
"Mike Schmidt","Phillies","1480","6231","358","941","1043","66","15.1 %","16.7 %",".268",".276",".275",".385",".543",".399","151","-4.7","361.9","48.0","64.1","1011586"
"Mike Piazza","- - -","1912","7745","427","1048","1335","17","9.8 %","14.4 %",".237",".314",".308",".377",".545",".390","140","-31.6","370.1","32.7","63.7","893"
"Roberto Alomar","- - -","2379","10400","210","1508","1134","474","9.9 %","11.0 %",".143",".321",".300",".371",".443",".359","118","41.6","272.5","15.8","63.6","860"
"Chase Utley","- - -","1937","7863","259","1103","1025","154","9.2 %","15.2 %",".190",".297",".275",".358",".465",".356","118","76.2","256.6","117.2","62.9","1679"
"Kenny Lofton","- - -","2103","9235","130","1528","781","622","10.2 %","11.0 %",".124",".326",".299",".372",".423",".352","109","68.5","181.3","139.4","62.4","246"
"Gary Sheffield","- - -","2576","10947","509","1636","1676","253","13.5 %","10.7 %",".222",".285",".292",".393",".514",".391","141","9.7","575.7","-300.9","62.1","114"
"Alan Trammell","Tigers","2135","8824","183","1176","969","233","9.1 %","9.1 %",".134",".299",".287",".353",".421",".345","113","2.0","133.8","173.3","61.7","1013157"
"Ryne Sandberg","- - -","2164","9282","282","1318","1061","344","8.2 %","13.6 %",".167",".304",".285",".344",".452",".351","115","23.9","178.6","103.9","60.9","1011411"
"Sammy Sosa","- - -","2354","9896","609","1475","1667","234","9.4 %","23.3 %",".261",".301",".273",".344",".534",".370","124","-7.9","300.4","-8.1","60.1","302"
"George Brett","Royals","1976","8511","266","1170","1242","122","10.4 %","8.5 %",".195",".305",".305",".376",".500",".379","135","2.2","354.6","-58.5","59.9","1001400"
"Bobby Abreu","- - -","2425","10081","288","1453","1363","400","14.6 %","18.3 %",".183",".339",".291",".395",".475",".378","129","34.9","416.6","-141.3","59.8","945"
"Ichiro Suzuki","- - -","2651","10728","117","1420","780","509","6.0 %","10.1 %",".091",".338",".311",".355",".402",".328","104","96.0","158.6","59.9","57.9","1101"
"Robin Yount","Brewers","2160","9380","225","1326","1154","204","8.7 %","11.1 %",".161",".306",".290",".352",".451",".355","121","10.6","239.6","4.3","57.7","1014396"
"John Olerud","- - -","2234","9063","255","1139","1230","11","14.1 %","11.2 %",".170",".309",".295",".398",".465",".377","130","-19.6","322.1","-45.3","57.3","1093"
"Robinson Cano","- - -","2185","9264","324","1234","1272","51","6.6 %","12.6 %",".188",".318",".302",".352",".490",".360","125","-33.4","241.4","-0.6","57.3","3269"
"Fred McGriff","- - -","2460","10174","493","1349","1550","72","12.8 %","18.5 %",".225",".309",".284",".377",".509",".383","134","-8.6","409.1","-186.3","56.9","293"
"Robin Ventura","- - -","2079","8271","294","1006","1182","24","13.0 %","14.3 %",".177",".281",".267",".362",".444",".351","113","-14.2","124.9","169.6","56.7","854"
"Joey Votto","Reds","1717","7372","284","1009","944","79","16.0 %","17.8 %",".213",".349",".307",".421",".519",".402","151","-31.0","417.1","-103.7","56.2","4314"
"Jeff Kent","- - -","2298","9537","377","1320","1518","94","8.4 %","16.0 %",".210",".311",".290",".356",".500",".367","123","-19.8","259.7","1.2","56.0","1119"
"Lance Berkman","- - -","1879","7814","366","1146","1234","86","15.4 %","16.6 %",".243",".315",".293",".406",".537",".400","144","-11.6","421.7","-110.0","55.9","548"
"Luis Gonzalez","- - -","2591","10531","354","1412","1439","128","11.0 %","11.6 %",".196",".291",".283",".367",".479",".364","118","-19.4","229.0","-13.8","55.2","55"
"Russell Martin","- - -","1693","6648","191","803","771","101","11.9 %","18.2 %",".148",".283",".248",".349",".397",".330","104","-21.5","13.6","306.6","55.2","4616"
"Todd Helton","Rockies","2247","9453","369","1401","1406","37","14.1 %","12.4 %",".223",".330",".316",".414",".539",".405","132","-35.3","354.3","-97.7","54.9","432"
"Brian Giles","- - -","1847","7836","287","1121","1078","109","15.1 %","10.7 %",".212",".294",".291",".400",".502",".388","136","17.9","384.8","-80.8","54.8","990"
"Vladimir Guerrero","- - -","2147","9059","449","1328","1496","181","8.1 %","10.9 %",".235",".316",".318",".379",".553",".390","136","-49.8","370.2","-115.0","54.5","778"
"Brian McCann","- - -","1755","6850","282","742","1018","25","9.3 %","15.4 %",".190",".273",".262",".337",".452",".340","110","-60.8","24.2","288.3","54.5","4810"
"Gary Carter","- - -","1740","6851","249","769","957","17","9.1 %","10.2 %",".178",".258",".262",".333",".441",".341","117","-8.2","120.1","177.6","54.2","1002015"
"Yadier Molina","Cardinals","1983","7655","156","701","916","66","6.6 %","10.2 %",".124",".296",".282",".333",".405",".321","99","-75.8","-87.0","366.7","54.0","7007"
"Buster Posey","Giants","1258","5153","140","595","673","23","9.4 %","12.3 %",".155",".322",".302",".370",".456",".356","128","-28.7","140.0","203.4","52.7","9166"
"Andre Dawson","- - -","2307","9450","394","1216","1447","264","5.5 %","13.5 %",".206",".288",".282",".325",".487",".352","119","16.2","217.8","-24.4","52.5","1003091"
"Joe Mauer","Twins","1858","7960","143","1018","923","52","11.8 %","13.0 %",".132",".341",".306",".388",".439",".358","123","-5.0","214.9","32.4","52.5","1857"
"David Wright","Mets","1585","6872","242","949","970","196","11.1 %","18.8 %",".195",".339",".296",".376",".491",".373","133","17.8","297.6","-1.0","52.0","3787"
"Will Clark","- - -","1976","8283","284","1186","1205","67","11.3 %","14.4 %",".193",".326",".303",".384",".497",".381","136","-8.1","347.7","-115.9","52.0","1002318"
"Evan Longoria","- - -","1689","7171","297","890","1015","57","8.8 %","20.0 %",".207",".297",".267",".335",".474",".345","119","3.7","163.7","90.9","51.1","9368"
"David Ortiz","- - -","2408","10091","541","1419","1768","17","13.1 %","17.3 %",".265",".300",".286",".380",".552",".392","140","-76.6","408.0","-247.7","51.0","745"
"Mike Cameron","- - -","1955","7884","278","1064","968","297","11.0 %","24.1 %",".195",".301",".249",".338",".444",".341","107","51.9","120.2","130.4","50.6","1070"
"Keith Hernandez","- - -","1561","6599","126","867","848","74","12.7 %","11.7 %",".139",".329",".303",".391",".441",".370","135","-5.2","257.8","9.2","49.9","1005706"
"Andrew McCutchen","- - -","1560","6773","233","942","819","187","12.2 %","18.3 %",".194",".325",".286",".378",".480",".370","135","16.4","293.6","-28.1","49.9","9847"
"Jason Giambi","- - -","2260","8908","440","1227","1441","20","15.3 %","17.6 %",".240",".294",".277",".399",".516",".394","140","-22.3","431.3","-223.6","49.8","818"
"Matt Holliday","- - -","1903","7981","316","1157","1220","108","10.0 %","17.1 %",".211",".331",".299",".379",".510",".383","135","-0.6","334.6","-101.0","49.7","1873"
"Jimmy Rollins","- - -","2275","10240","231","1421","936","470","7.9 %","12.3 %",".154",".283",".264",".324",".418",".323","95","82.7","26.2","137.0","49.4","971"
"Willie Randolph","- - -","1766","7672","46","993","562","184","13.5 %","6.9 %",".074",".294",".277",".377",".351",".336","110","7.9","102.5","116.1","48.4","1010694"
"Dwight Evans","- - -","1842","7785","296","1126","1059","48","14.2 %","15.7 %",".205",".298",".277",".382",".482",".383","134","-7.0","308.3","-101.2","48.3","1003865"
"Ian Kinsler","- - -","1888","8299","257","1243","909","243","8.4 %","12.6 %",".171",".282",".269",".337",".440",".338","107","48.4","117.8","64.6","47.7","6195"
"Moises Alou","- - -","1942","7913","332","1109","1287","106","9.3 %","11.3 %",".212",".306",".303",".369",".516",".378","129","-11.9","280.0","-51.5","47.7","261"
"Curtis Granderson","- - -","2057","8306","344","1217","937","153","11.1 %","23.1 %",".217",".290",".249",".337",".465",".347","115","45.9","194.8","-4.6","47.6","4747"
"Dustin Pedroia","Red Sox","1512","6777","140","922","725","138","9.2 %","9.7 %",".140",".314",".299",".365",".439",".352","115","-7.3","113.9","107.3","46.6","8370"
"Tony Phillips","- - -","2161","9110","160","1300","819","177","14.5 %","16.5 %",".123",".309",".266",".374",".389",".347","112","-13.1","125.0","32.7","46.6","1010300"
"J.D. Drew","- - -","1566","6153","242","944","795","87","14.0 %","18.5 %",".212",".311",".278",".384",".489",".378","127","18.4","235.9","25.2","46.0","1152"
"Mark Grace","- - -","2245","9290","173","1179","1146","70","11.6 %","6.9 %",".139",".309",".303",".383",".442",".364","120","-12.5","214.4","-62.7","45.5","56"
"Dale Murphy","- - -","1992","8310","373","1123","1164","150","11.3 %","19.1 %",".207",".293",".268",".351",".475",".361","122","4.7","219.6","-57.7","45.1","1009355"
"Kirby Puckett","Twins","1783","7831","207","1071","1085","134","5.7 %","12.3 %",".159",".342",".318",".360",".477",".366","122","-5.7","204.9","-28.4","44.9","1010557"
"Matt Williams","- - -","1866","7595","378","997","1218","53","6.2 %","17.9 %",".220",".282",".268",".317",".489",".345","110","-6.6","88.6","109.9","44.8","77"
"Mark Teixeira","- - -","1862","8029","409","1099","1298","26","11.4 %","17.9 %",".241",".282",".268",".360",".509",".371","127","-6.7","256.8","-84.4","44.7","1281"
"Ellis Burks","- - -","2000","8177","352","1253","1206","181","9.7 %","16.4 %",".219",".313",".291",".363",".510",".379","125","1.0","262.1","-79.2","44.7","372"
"Johnny Damon","- - -","2490","10917","235","1668","1139","408","9.2 %","11.5 %",".148",".305",".284",".352",".433",".344","105","75.0","145.9","-73.0","44.4","185"
"Ben Zobrist","- - -","1651","6836","167","884","768","116","12.2 %","14.5 %",".160",".292",".266",".357",".426",".342","116","15.9","141.0","58.1","44.4","7435"
"Carlos Delgado","- - -","2035","8657","473","1241","1512","14","12.8 %","20.2 %",".266",".303",".280",".383",".546",".391","135","-22.8","368.6","-209.1","44.1","1297"
"Bernie Williams","Yankees","2076","9053","287","1366","1257","147","11.8 %","13.4 %",".180",".318",".297",".381",".477",".373","126","-16.1","286.3","-143.0","43.9","857"
"Jose Reyes","- - -","1877","8240","145","1180","719","517","7.1 %","11.1 %",".144",".305",".283",".334",".427",".330","103","75.5","106.2","62.0","43.8","1736"
"Ryan Braun","Brewers","1727","7199","344","1066","1128","215","8.0 %","18.6 %",".235",".327",".298",".360",".533",".380","136","18.9","329.9","-129.4","43.7","3410"
"Tony Fernandez","- - -","2158","8793","94","1057","844","246","7.8 %","8.9 %",".111",".308",".288",".347",".399",".333","102","-9.1","19.3","116.9","43.5","1004002"
"Omar Vizquel","- - -","2908","11850","80","1432","944","401","8.6 %","9.0 %",".081",".295",".272",".337",".353",".311","84","17.5","-220.6","262.1","43.4","411"
"Torii Hunter","- - -","2372","9692","353","1296","1391","195","6.8 %","18.0 %",".185",".307",".277",".331",".461",".342","110","-8.5","102.6","-7.9","43.0","731"
"Chet Lemon","- - -","1592","6295","179","775","723","31","10.0 %","13.0 %",".173",".292",".274",".359",".446",".359","124","-15.9","159.8","48.1","42.8","1007518"
"Brett Butler","- - -","2213","9545","54","1359","578","558","11.8 %","9.5 %",".086",".319",".290",".377",".376",".344","115","6.1","169.7","-76.5","42.2","1001772"
"Lance Parrish","- - -","1891","7442","307","809","1022","28","8.0 %","19.4 %",".187",".278",".254",".315",".441",".334","106","-10.3","41.0","122.3","42.2","1010021"
"Dave Winfield","- - -","2177","9175","365","1256","1412","128","10.0 %","13.7 %",".201",".295",".284",".354",".484",".367","130","-0.6","314.6","-215.9","42.1","1014127"
"Jose Canseco","- - -","1887","8129","462","1186","1407","200","11.1 %","23.9 %",".249",".299",".266",".353",".515",".375","130","2.7","303.5","-165.4","42.1","1001918"
"Jack Clark","- - -","1668","6971","300","947","1019","43","16.6 %","18.3 %",".212",".288",".265",".386",".476",".380","140","-10.6","315.3","-142.8","42.0","1002288"
"Andy Van Slyke","- - -","1658","6495","164","835","792","245","10.3 %","16.4 %",".169",".308",".274",".349",".443",".350","120","23.8","168.7","19.3","41.9","1013363"
"Devon White","- - -","1941","8080","208","1125","846","346","6.7 %","18.9 %",".156",".305",".263",".319",".419",".326","98","27.3","4.2","150.6","41.8","1013862"
"Darryl Strawberry","- - -","1583","6326","335","898","1000","221","12.9 %","21.4 %",".247",".282",".259",".357",".505",".372","137","2.6","272.0","-81.2","41.5","1012606"
"Hanley Ramirez","- - -","1668","7127","271","1049","917","281","9.3 %","17.3 %",".197",".320",".289",".360",".486",".364","125","18.8","234.7","-55.5","41.5","8001"
"Carl Crawford","- - -","1716","7178","136","998","766","480","5.3 %","14.9 %",".145",".326",".290",".330",".435",".332","104","86.9","124.2","45.4","41.5","1201"
"Nomar Garciaparra","- - -","1434","6116","229","927","936","95","6.6 %","9.1 %",".208",".312",".313",".361",".521",".376","124","4.8","199.9","18.8","41.5","190"
"Josh Donaldson","- - -","1038","4476","219","652","645","38","12.4 %","19.8 %",".236",".300",".273",".369",".509",".376","139","3.3","211.3","39.2","41.4","5038"
"Albert Belle","- - -","1539","6676","381","974","1239","88","10.2 %","14.4 %",".269",".293",".295",".369",".564",".396","139","-0.3","339.6","-145.5","41.0","1000802"
"Paul O'Neill","- - -","2053","8329","281","1041","1269","141","10.7 %","14.0 %",".183",".306",".288",".363",".470",".362","120","-3.1","210.2","-78.7","41.0","1009818"
"Don Mattingly","Yankees","1785","7722","222","1007","1099","14","7.6 %","5.7 %",".164",".300",".307",".358",".471",".361","124","-2.7","218.4","-75.9","40.7","1008261"
"Buddy Bell","- - -","1418","5920","137","689","720","31","9.1 %","7.5 %",".140",".286",".284",".349",".423",".343","112","-6.9","78.6","122.0","40.5","1000799"
"Julio Franco","- - -","2144","8820","155","1196","1053","265","9.4 %","13.0 %",".118",".332",".300",".366",".418",".349","113","7.8","151.6","-52.3","40.4","87"
"David Justice","- - -","1610","6602","305","929","1017","53","13.7 %","15.1 %",".221",".289",".279",".378",".500",".380","130","-11.2","234.5","-52.8","40.4","923"
"Jorge Posada","Yankees","1828","7150","275","900","1065","20","13.1 %","20.3 %",".201",".315",".273",".374",".474",".367","123","-54.5","156.2","12.9","40.4","841"
"Steve Finley","- - -","2583","10460","304","1443","1167","320","8.1 %","12.4 %",".171",".285",".271",".332",".442",".336","104","26.9","76.1","-8.0","40.4","54"
"Lenny Dykstra","- - -","1278","5282","81","802","404","285","12.1 %","9.5 %",".134",".304",".285",".375",".419",".355","122","26.5","163.8","55.0","40.3","1003619"
"Ray Lankford","- - -","1701","6675","238","968","874","258","12.4 %","23.2 %",".205",".330",".272",".364",".477",".365","123","-0.2","189.8","-5.0","39.8","1044"
"Chuck Knoblauch","- - -","1632","7387","98","1132","615","407","10.9 %","9.9 %",".117",".311",".289",".378",".406",".352","109","31.4","124.9","29.3","39.8","609"
"Reggie Sanders","- - -","1777","7043","305","1037","983","304","9.6 %","22.9 %",".220",".312",".267",".343",".487",".357","115","17.7","155.0","15.1","39.7","1129"
"Miguel Tejada","- - -","2171","9205","307","1230","1302","85","6.0 %","11.7 %",".170",".295",".285",".336",".456",".341","106","-26.2","50.1","43.9","39.7","941"
"Giancarlo Stanton","- - -","1162","4897","308","686","785","41","11.6 %","28.1 %",".279",".320",".268",".358",".547",".381","142","-3.4","242.6","-19.7","39.3","4949"
"Paul Goldschmidt","- - -","1253","5390","243","806","807","127","13.6 %","22.7 %",".232",".348",".292",".391",".524",".387","141","25.4","288.7","-79.8","39.2","9218"
"Gary Gaetti","- - -","2507","9817","360","1130","1341","96","6.5 %","16.3 %",".179",".271",".255",".308",".434",".325","95","-8.9","-68.1","135.9","39.0","1004422"
"Jesse Barfield","- - -","1428","5394","241","715","716","66","10.2 %","22.9 %",".210",".295",".256",".335",".466",".353","117","-6.9","101.0","104.3","39.0","1000537"
"Alfonso Soriano","- - -","1975","8395","412","1152","1159","289","5.9 %","21.5 %",".230",".301",".270",".319",".500",".348","111","33.4","147.3","-31.0","38.9","847"
"Harold Baines","- - -","2830","11092","384","1299","1628","34","9.6 %","13.0 %",".175",".303",".289",".356",".465",".358","119","-8.8","243.5","-235.7","38.5","1000434"
"Aramis Ramirez","- - -","2194","8986","386","1098","1417","29","7.0 %","13.8 %",".209",".290",".283",".341",".492",".357","115","-67.4","103.2","-8.2","38.4","1002"
"Placido Polanco","- - -","1927","7887","104","1009","723","81","5.4 %","6.8 %",".100",".307",".297",".343",".397",".327","97","-4.2","-37.1","161.8","38.4","1176"
"Troy Tulowitzki","- - -","1291","5415","225","762","780","57","9.4 %","16.6 %",".205",".313",".290",".361",".495",".368","119","-18.7","98.8","97.3","38.2","3531"
"Ryan Zimmerman","Nationals","1689","7129","270","936","1015","43","8.8 %","18.3 %",".196",".310",".279",".343",".475",".351","116","3.4","144.3","6.9","38.2","4220"
"Brian Downing","- - -","1758","7303","242","976","889","26","12.8 %","11.5 %",".174",".281",".273",".376",".448",".369","130","-9.2","254.8","-128.6","38.0","1003451"
"Chili Davis","- - -","2436","9997","350","1240","1372","142","11.9 %","17.0 %",".177",".302",".274",".360",".451",".354","118","-12.9","210.7","-172.0","37.9","1003041"
"Jay Bell","- - -","2063","8525","195","1123","860","91","10.0 %","16.9 %",".150",".304",".265",".343",".416",".337","103","-7.3","23.7","74.5","37.9","48"
"Tim Wallach","- - -","2212","8908","260","908","1125","51","7.3 %","14.7 %",".159",".276",".257",".316",".416",".322","102","-17.7","0.6","74.0","37.6","1013554"
"Kent Hrbek","Twins","1747","7137","293","903","1086","37","11.7 %","11.2 %",".198",".282",".282",".367",".481",".371","126","-4.6","217.0","-87.1","37.6","1006117"
"Nelson Cruz","- - -","1689","6939","401","919","1119","76","8.7 %","22.6 %",".250",".308",".277",".346",".527",".370","132","-29.9","232.4","-102.2","37.5","2434"
"Mookie Betts","Red Sox","794","3629","139","613","470","126","10.2 %","12.8 %",".218",".314",".301",".374",".519",".377","135","42.8","195.4","47.2","37.2","13611"
"Jason Kendall","- - -","2085","8702","75","1030","744","189","8.3 %","7.9 %",".090",".306",".288",".366",".378",".334","99","0.7","-6.8","104.4","37.1","993"
"Jonathan Lucroy","- - -","1202","4568","108","481","545","30","8.0 %","14.4 %",".143",".300",".274",".335",".416",".327","102","-26.8","-17.7","222.3","37.0","7870"
"Brett Gardner","Yankees","1499","5995","124","876","524","267","10.2 %","18.5 %",".141",".306",".260",".342",".401",".327","104","70.9","95.7","60.7","37.0","9927"
"Willie Wilson","- - -","2002","8051","41","1115","568","614","5.1 %","13.7 %",".091",".331",".287",".328",".378",".317","95","74.6","22.2","72.7","36.9","1014113"
"Justin Upton","- - -","1697","7064","298","989","937","147","10.3 %","25.5 %",".210",".325",".266",".347",".476",".354","120","35.6","202.2","-73.2","36.8","5222"
"Magglio Ordonez","- - -","1848","7745","294","1076","1236","94","8.4 %","11.0 %",".193",".316",".309",".369",".502",".375","126","-28.6","229.2","-121.1","36.7","248"
"Adrian Gonzalez","- - -","1929","8046","317","997","1202","6","9.7 %","17.4 %",".198",".315",".287",".358",".485",".359","127","-54.7","202.4","-105.8","36.4","1908"
"Wally Joyner","- - -","2033","8115","204","973","1106","60","10.3 %","10.2 %",".151",".300",".289",".362",".440",".352","116","-5.8","154.9","-60.9","36.2","1006637"
"Pedro Guerrero","- - -","1531","6107","215","727","897","97","10.0 %","14.1 %",".180",".319",".300",".370",".479",".371","137","-0.8","259.4","-117.2","36.1","1005120"
"Jayson Werth","- - -","1583","6366","229","883","799","132","12.0 %","22.8 %",".188",".321",".267",".360",".455",".356","120","42.2","190.7","-38.9","36.1","1327"
"Ken Caminiti","- - -","1760","7127","239","894","983","88","10.2 %","16.3 %",".175",".297",".272",".347",".447",".345","114","0.3","130.4","3.4","36.0","1001863"
"Kirk Gibson","- - -","1635","6656","255","985","870","284","10.8 %","19.3 %",".195",".301",".268",".352",".463",".358","123","24.1","205.6","-77.7","35.9","1004669"
"Juan Gonzalez","- - -","1689","7155","434","1061","1404","26","6.4 %","17.8 %",".265",".305",".295",".343",".561",".383","129","-7.5","256.8","-138.5","35.8","1251"
"Eric Chavez","- - -","1615","6228","260","816","902","50","10.3 %","17.3 %",".208",".287",".268",".342",".475",".349","113","1.9","100.0","49.5","35.7","906"
"Jose Bautista","- - -","1798","7244","344","1022","975","70","14.2 %","19.2 %",".228",".264",".247",".361",".475",".362","126","-15.7","196.3","-102.4","35.6","1887"
"Tim Salmon","Angels","1672","7039","299","986","1016","48","13.8 %","19.3 %",".216",".317",".282",".385",".498",".383","130","-8.5","262.7","-139.9","35.4","32"
"Shin-Soo Choo","- - -","1619","7030","213","948","767","151","12.2 %","22.0 %",".173",".336",".275",".377",".448",".361","124","20.8","219.5","-112.6","35.4","3174"
"Edgar Renteria","- - -","2152","9066","140","1200","923","294","7.9 %","13.0 %",".112",".317",".286",".343",".398",".327","95","15.5","-36.7","99.7","35.1","1178"
"Bryce Harper","- - -","1084","4639","219","708","635","90","14.7 %","21.8 %",".236",".317",".276",".385",".512",".379","138","10.4","221.1","-27.1","35.1","11579"
"Jose Altuve","Astros","1243","5458","128","734","538","254","6.6 %","11.4 %",".148",".337",".315",".364",".463",".355","127","5.5","182.1","-20.9","35.0","5417"
"Carlton Fisk","- - -","1618","6312","241","769","862","81","8.0 %","14.1 %",".181",".270",".261",".330",".443",".341","109","0.7","66.2","60.8","34.9","1004101"
"Eric Davis","- - -","1626","6147","282","938","934","349","12.0 %","22.7 %",".214",".311",".269",".359",".482",".368","126","41.1","234.5","-96.2","34.9","1003048"
"Lonnie Smith","- - -","1596","5944","98","903","533","366","10.4 %","14.2 %",".132",".326",".288",".371",".420",".357","123","16.9","168.0","-31.0","34.9","1012176"
"Freddie Freeman","Braves","1346","5703","227","798","805","43","11.3 %","20.5 %",".211",".340",".293",".379",".504",".376","137","-2.3","250.9","-93.6","34.6","5361"
"Derrek Lee","- - -","1942","7963","331","1081","1078","104","11.0 %","20.4 %",".213",".321",".281",".365",".495",".369","123","-15.8","217.2","-128.8","34.4","525"
"Troy Glaus","- - -","1537","6355","320","889","950","56","13.4 %","21.7 %",".235",".281",".254",".358",".489",".365","120","-2.4","157.7","-20.4","34.3","15"
"Edwin Encarnacion","- - -","1916","7945","414","1080","1242","61","11.2 %","17.3 %",".236",".270",".263",".352",".499",".365","126","-12.6","229.7","-165.8","34.0","2151"
"Christian Yelich","- - -","920","4043","139","587","500","124","11.1 %","20.6 %",".190",".358",".301",".383",".492",".374","137","32.6","216.0","-14.0","33.6","11477"
"Manny Machado","- - -","1082","4735","207","603","598","58","7.6 %","16.8 %",".205",".298",".279",".335",".483",".347","118","-7.5","94.4","69.2","33.2","11493"
