"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Roger Clemens","- - -","354","184","0","709","707","4916.2","8.55","2.89","0.66",".284","74.6 %","46.8 %","8.9 %","3.12","3.09","3.50","133.7","815"
"Greg Maddux","- - -","355","227","0","744","740","5008.1","6.06","1.80","0.63",".281","72.3 %","51.5 %","12.0 %","3.16","3.26","3.73","116.7","104"
"Randy Johnson","- - -","295","160","2","596","586","4039.1","10.67","3.27","0.87",".291","74.8 %","43.0 %","11.5 %","3.26","3.15","3.19","110.1","60"
"Pedro Martinez","- - -","219","100","3","476","409","2827.1","10.04","2.42","0.76",".279","75.9 %","38.8 %","8.9 %","2.93","2.91","3.44","84.4","200"
"Mike Mussina","- - -","270","153","0","537","536","3562.2","7.11","1.98","0.95",".292","72.7 %","43.2 %","10.1 %","3.68","3.57","3.68","81.2","837"
"Curt Schilling","- - -","216","146","22","569","436","3261.0","8.60","1.96","0.96",".293","74.6 %","39.6 %","10.5 %","3.46","3.23","3.17","79.8","73"
"John Smoltz","- - -","213","155","154","723","481","3473.0","7.99","2.62","0.75",".283","73.6 %","45.7 %","8.9 %","3.33","3.24","3.28","79.5","115"
"Kevin Brown","- - -","211","144","0","486","476","3256.0","6.63","2.49","0.57",".290","72.2 %","53.7 %","10.2 %","3.28","3.33","3.54","76.5","642"
"Justin Verlander","- - -","225","129","0","453","453","2982.0","9.07","2.57","0.93",".281","75.1 %","38.0 %","9.1 %","3.33","3.41","3.72","72.0","8700"
"Andy Pettitte","- - -","256","153","0","531","521","3316.0","6.64","2.80","0.78",".308","71.7 %","48.5 %","9.9 %","3.85","3.74","3.70","68.2","840"
"Tom Glavine","- - -","305","203","0","682","682","4413.1","5.32","3.06","0.73",".280","73.9 %","45.2 %","9.4 %","3.54","3.95","4.57","66.7","90"
"CC Sabathia","- - -","251","161","0","561","560","3577.1","7.78","2.76","0.96",".294","73.4 %","45.6 %","10.7 %","3.74","3.78","3.78","66.5","404"
"Roy Halladay","- - -","203","105","1","416","390","2749.1","6.93","1.94","0.77",".292","73.1 %","54.1 %","10.3 %","3.38","3.39","3.23","65.4","1303"
"Clayton Kershaw","Dodgers","169","74","0","347","344","2274.2","9.75","2.28","0.68",".270","79.4 %","46.4 %","9.0 %","2.44","2.74","2.98","64.5","2036"
"Zack Greinke","- - -","205","123","1","488","447","2872.0","8.22","2.09","0.92",".293","75.2 %","44.1 %","10.2 %","3.35","3.38","3.51","60.5","1943"
"Nolan Ryan","- - -","163","133","0","405","405","2693.2","9.44","3.86","0.58",".266","71.9 %","","","3.18","2.86","","58.8","1011348"
"Max Scherzer","- - -","170","89","0","365","356","2290.0","10.58","2.43","1.00",".289","76.7 %","37.5 %","10.3 %","3.20","3.13","3.28","58.8","3137"
"David Wells","- - -","239","157","13","660","489","3439.0","5.76","1.88","1.07",".293","70.7 %","45.3 %","10.1 %","4.13","3.99","4.12","58.3","855"
"Chuck Finley","- - -","200","173","0","524","467","3197.2","7.35","3.75","0.86",".297","73.1 %","49.8 %","8.3 %","3.84","3.91","3.51","56.9","384"
"Dwight Gooden","- - -","194","112","3","430","410","2800.2","7.37","3.07","0.67",".288","72.6 %","","","3.51","3.33","","56.7","1004852"
"David Cone","- - -","194","126","1","450","419","2898.2","8.28","3.53","0.80",".280","74.6 %","43.1 %","19.0 %","3.46","3.57","5.46","56.0","1680"
"Bret Saberhagen","- - -","167","117","1","399","371","2562.2","6.02","1.65","0.77",".281","72.7 %","","","3.34","3.27","","55.3","1011355"
"Jack Morris","- - -","250","180","0","514","514","3672.1","5.89","3.23","0.92",".269","71.6 %","","","3.89","3.93","","55.0","1009211"
"Felix Hernandez","Mariners","169","136","0","419","418","2729.2","8.32","2.65","0.87",".293","74.0 %","53.3 %","12.1 %","3.42","3.52","3.40","54.0","4772"
"Javier Vazquez","- - -","165","160","0","450","443","2840.0","8.04","2.42","1.18",".295","70.8 %","38.6 %","11.1 %","4.22","3.91","3.74","53.7","801"
"Roy Oswalt","- - -","163","102","0","365","341","2245.1","7.42","2.08","0.79",".301","75.4 %","47.1 %","9.1 %","3.36","3.37","3.56","52.6","571"
"Mark Buehrle","- - -","214","160","0","518","493","3283.1","5.13","2.01","0.99",".292","72.6 %","45.3 %","9.7 %","3.81","4.11","4.21","52.3","225"
"Cole Hamels","- - -","163","121","0","422","421","2694.2","8.54","2.56","1.04",".287","76.7 %","44.9 %","11.8 %","3.42","3.69","3.59","51.6","4972"
"Kevin Appier","- - -","169","137","0","414","402","2595.1","6.91","3.24","0.80",".284","72.9 %","34.8 %","9.8 %","3.74","3.81","5.06","50.8","3"
"Bartolo Colon","- - -","240","176","0","537","528","3315.1","6.66","2.51","1.10",".296","72.6 %","41.7 %","10.5 %","4.04","4.09","4.16","50.5","375"
"Mark Langston","- - -","179","158","0","457","428","2963.0","7.48","3.92","0.94",".285","72.3 %","","","3.97","3.93","","49.2","1007323"
"Tim Hudson","- - -","222","133","0","482","479","3126.2","5.99","2.64","0.71",".281","73.4 %","58.0 %","10.4 %","3.49","3.78","3.78","48.9","921"
"Cliff Lee","- - -","143","91","0","328","324","2156.2","7.61","1.94","0.93",".298","73.7 %","40.7 %","8.8 %","3.52","3.45","3.68","48.2","1636"
"Orel Hershiser","- - -","204","150","5","510","466","3130.1","5.79","2.90","0.68",".277","72.2 %","","","3.48","3.69","","48.0","1005741"
"Kevin Millwood","- - -","169","152","0","451","443","2720.1","6.89","2.79","0.98",".297","71.2 %","42.6 %","9.7 %","4.11","3.99","4.15","46.5","106"
"Jon Lester","- - -","190","108","0","412","411","2537.2","8.35","2.91","0.92",".301","74.9 %","46.0 %","10.7 %","3.56","3.65","3.72","46.1","4930"
"Dennis Eckersley","- - -","137","131","387","933","239","2384.0","6.40","1.68","0.97",".278","72.1 %","","","3.63","3.39","","45.8","1003660"
"Johan Santana","- - -","139","78","1","360","284","2025.2","8.83","2.52","0.98",".276","77.0 %","37.1 %","9.3 %","3.20","3.44","3.49","45.6","755"
"Jimmy Key","- - -","186","117","10","470","389","2591.2","5.34","2.32","0.88",".275","73.9 %","","","3.51","3.80","","45.0","1006885"
"Jamie Moyer","- - -","230","178","0","604","551","3550.1","5.39","2.57","1.13",".283","71.9 %","38.6 %","10.4 %","4.21","4.42","4.70","44.5","1091"
"Chris Sale","- - -","109","73","12","312","232","1629.2","11.08","2.07","0.95",".293","77.4 %","43.1 %","11.9 %","3.03","2.90","2.91","44.5","10603"
"John Burkett","- - -","166","136","1","445","423","2648.1","6.00","2.38","0.87",".307","69.2 %","40.8 %","10.9 %","4.31","3.85","4.31","44.3","179"
"Bert Blyleven","- - -","151","127","0","376","372","2582.2","6.24","2.45","0.92",".286","72.6 %","","","3.78","3.63","","44.2","1001098"
"Dave Stieb","- - -","176","137","3","443","412","2895.1","5.19","3.21","0.70",".260","73.4 %","","","3.44","3.82","","43.8","1012532"
"Jake Peavy","- - -","152","126","0","388","377","2377.0","8.36","2.68","0.98",".285","74.7 %","39.7 %","9.5 %","3.63","3.65","3.81","43.7","1051"
"John Lackey","- - -","188","147","0","448","446","2840.1","7.27","2.58","1.01",".300","73.2 %","43.5 %","10.4 %","3.92","3.94","3.99","43.2","1507"
"Frank Viola","- - -","176","150","0","421","420","2836.1","5.85","2.74","0.93",".285","73.2 %","","","3.73","3.81","","42.8","1013435"
"Kenny Rogers","- - -","219","156","28","762","474","3302.2","5.36","3.20","0.92",".292","70.5 %","45.9 %","10.0 %","4.27","4.38","4.60","42.5","1277"
"A.J. Burnett","- - -","164","157","0","435","430","2731.1","8.28","3.62","0.87",".295","71.7 %","50.6 %","11.2 %","3.99","3.86","3.67","42.5","512"
"Dennis Martinez","- - -","214","173","4","606","509","3529.0","4.80","2.55","0.87",".272","72.1 %","","","3.70","3.97","","42.5","1008161"
"David Price","- - -","150","80","0","321","311","2029.2","8.78","2.34","0.92",".290","74.9 %","43.5 %","10.2 %","3.31","3.35","3.47","41.7","3184"
"Fernando Valenzuela","- - -","173","153","2","453","424","2930.0","6.37","3.54","0.69",".279","72.4 %","","","3.54","3.61","","40.9","1013327"
"Dan Haren","- - -","153","131","1","391","380","2419.2","7.49","1.86","1.13",".288","72.9 %","41.6 %","10.9 %","3.75","3.78","3.69","40.4","1757"
"Adam Wainwright","Cardinals","162","95","3","383","316","2103.2","7.60","2.46","0.71",".300","74.5 %","48.3 %","9.0 %","3.39","3.38","3.62","40.2","2233"
"Derek Lowe","- - -","176","157","86","681","377","2671.1","5.80","2.68","0.73",".297","69.1 %","62.3 %","12.4 %","4.03","3.83","3.72","39.4","199"
"Mariano Rivera","Yankees","82","60","652","1115","10","1283.2","8.22","2.01","0.50",".263","80.5 %","52.4 %","6.5 %","2.21","2.76","2.99","39.1","844"
"Tom Candiotti","- - -","151","164","0","451","410","2725.0","5.73","2.92","0.83",".280","71.1 %","","","3.73","3.91","","38.9","1001911"
"Jose Rijo","- - -","116","91","3","376","269","1880.0","7.69","3.17","0.70",".288","74.2 %","44.0 %","12.6 %","3.24","3.28","4.65","38.8","349"
"Brad Radke","Twins","148","139","0","378","377","2451.0","5.39","1.63","1.20",".292","71.2 %","41.2 %","10.7 %","4.22","4.24","4.19","38.7","748"
"Mark Gubicza","- - -","132","136","2","384","329","2223.0","5.55","3.18","0.63",".293","70.5 %","","","3.96","3.68","","38.6","1005115"
"Steve Carlton","- - -","122","95","1","289","275","1983.1","7.56","3.27","0.73",".287","71.5 %","","","3.50","3.22","","38.3","1001964"
"Chris Carpenter","- - -","144","94","0","350","332","2219.1","6.88","2.54","0.89",".297","72.7 %","51.2 %","9.8 %","3.76","3.80","3.41","37.9","1292"
"Jason Schmidt","- - -","130","96","0","323","314","1996.1","7.93","3.57","0.83",".289","71.2 %","38.2 %","7.6 %","3.96","3.79","3.84","37.5","1131"
"Kevin Tapani","- - -","143","125","0","361","354","2265.0","5.89","2.20","1.03",".296","69.7 %","","","4.35","4.01","","37.4","1012824"
"Jon Lieber","- - -","131","124","2","401","327","2198.0","6.36","1.73","1.17",".301","69.2 %","44.7 %","12.0 %","4.27","4.02","3.88","36.9","287"
"Stephen Strasburg","Nationals","112","58","0","239","239","1438.2","10.60","2.36","0.89",".293","74.8 %","46.0 %","12.0 %","3.17","2.96","2.95","36.7","10131"
"Al Leiter","- - -","162","132","2","419","382","2391.0","7.43","4.38","0.75",".284","73.9 %","41.4 %","8.4 %","3.80","4.10","4.83","36.5","883"
"Bob Welch","- - -","204","142","5","483","449","2981.0","5.75","3.04","0.79",".274","74.0 %","","","3.52","3.74","","36.5","1013750"
"Josh Beckett","- - -","138","106","0","335","332","2051.0","8.34","2.76","1.04",".289","72.5 %","43.8 %","11.2 %","3.88","3.78","3.66","36.3","510"
"Andy Benes","- - -","155","139","1","403","387","2505.1","7.18","3.27","1.04",".282","72.7 %","34.9 %","7.6 %","3.97","4.08","5.24","36.2","1144"
"Mike Witt","- - -","117","116","6","341","299","2108.1","5.86","3.04","0.78",".285","70.7 %","","","3.83","3.68","","35.9","1014174"
"Bruce Hurst","- - -","145","113","0","379","359","2417.1","6.29","2.76","0.96",".294","72.8 %","","","3.92","3.73","","35.8","1006222"
"Danny Darwin","- - -","170","182","32","712","370","3008.0","5.79","2.61","0.96",".277","71.6 %","","","3.84","3.91","","35.5","1002996"
"Mike Moore","- - -","161","176","2","450","440","2831.2","5.30","3.67","0.92",".284","69.7 %","","","4.39","4.27","","34.7","1009122"
"Tom Gordon","- - -","138","126","158","890","203","2108.0","8.23","4.17","0.75",".288","71.0 %","45.8 %","9.7 %","3.96","3.71","3.52","34.7","282"
"Corey Kluber","Indians","98","58","0","208","203","1341.2","9.80","1.96","0.89",".298","74.7 %","44.7 %","11.2 %","3.16","2.99","3.07","34.6","2429"
"Ron Guidry","Yankees","129","80","3","285","262","1876.0","6.37","2.32","0.96",".280","74.1 %","","","3.55","3.50","","34.2","1005124"
"Livan Hernandez","- - -","178","177","1","519","474","3189.0","5.58","3.01","1.02",".306","71.7 %","41.6 %","9.7 %","4.44","4.40","4.51","34.0","1116"
"Jack McDowell","- - -","127","87","0","277","275","1889.0","6.25","2.89","0.82",".288","72.1 %","","","3.85","3.80","","33.6","1008473"
"Doug Drabek","- - -","155","134","0","398","387","2535.0","5.66","2.50","0.87",".278","72.2 %","","","3.73","3.82","","33.4","1003473"
"Charlie Leibrandt","- - -","140","119","2","394","346","2308.0","4.37","2.56","0.67",".285","70.9 %","","","3.71","3.69","","33.1","1007492"
"Rick Sutcliffe","- - -","171","139","6","454","391","2691.0","5.61","3.61","0.79",".285","71.2 %","","","4.09","3.94","","33.0","1012734"
"Rick Reuschel","- - -","118","102","2","309","291","1953.0","4.69","2.31","0.56",".287","73.1 %","","","3.35","3.37","","33.0","1010852"
"Frank Tanana","- - -","156","175","1","463","446","2867.1","5.33","2.83","1.03",".280","71.4 %","","","4.03","4.12","","33.0","1012818"
"Ben Sheets","- - -","94","96","0","250","250","1596.2","7.47","2.08","1.04",".295","72.2 %","41.9 %","9.9 %","3.78","3.66","3.62","33.0","710"
"Shane Reynolds","- - -","114","96","0","305","278","1791.2","7.05","2.10","0.96",".314","70.5 %","46.0 %","12.8 %","4.09","3.69","4.55","32.6","574"
"Freddy Garcia","- - -","156","108","0","376","357","2264.0","6.44","2.81","1.13",".283","73.2 %","42.0 %","11.9 %","4.15","4.30","4.17","32.3","1077"
"Gio Gonzalez","- - -","130","99","0","332","324","1901.1","8.64","3.77","0.78",".293","73.8 %","47.1 %","9.5 %","3.68","3.65","3.86","32.3","7448"
"James Shields","- - -","145","139","0","407","405","2616.0","7.69","2.57","1.24",".294","73.9 %","43.3 %","12.6 %","4.01","4.17","3.91","32.3","7059"
"Aaron Harang","- - -","128","143","0","387","381","2322.0","7.14","2.76","1.16",".304","72.9 %","38.0 %","10.2 %","4.26","4.18","4.21","32.1","1451"
"Jacob deGrom","Mets","66","49","0","171","171","1101.2","10.25","2.17","0.78",".291","79.3 %","45.2 %","10.4 %","2.62","2.78","3.04","31.5","10954"
"Anibal Sanchez","- - -","108","108","0","339","316","1895.1","7.99","3.02","1.02",".296","72.4 %","42.8 %","10.4 %","3.98","3.90","4.04","31.3","3284"
"Greg Swindell","- - -","123","122","7","664","269","2233.1","6.21","2.02","1.06",".294","72.2 %","27.2 %","14.8 %","3.86","3.77","4.58","31.3","76"
"Scott Sanderson","- - -","159","141","5","462","398","2500.2","5.62","2.17","1.06",".282","72.0 %","","","3.87","3.86","","31.3","1011422"
"Madison Bumgarner","Giants","119","92","0","289","286","1846.0","8.75","2.09","0.94",".284","76.4 %","43.2 %","10.2 %","3.13","3.32","3.52","31.3","5524"
"Bob Tewksbury","- - -","110","102","1","302","277","1807.0","4.04","1.45","0.71",".300","68.5 %","","","3.92","3.65","","31.3","1012941"
"Erik Hanson","- - -","89","84","0","245","238","1555.1","6.80","2.92","0.80",".306","70.1 %","","","4.15","3.63","","31.2","1005333"
"Mike Boddicker","- - -","134","116","3","342","309","2123.2","5.64","3.06","0.80",".284","72.3 %","","","3.80","3.83","","31.0","1001111"
"Charles Nagy","- - -","129","105","0","318","297","1954.2","5.72","2.70","1.00",".310","70.0 %","46.3 %","14.5 %","4.51","4.19","4.49","30.9","397"
"Carlos Zambrano","- - -","132","91","0","354","302","1959.0","7.52","4.13","0.74",".277","73.7 %","48.4 %","8.9 %","3.66","4.01","4.17","30.9","305"
"John Candelaria","- - -","121","93","27","487","245","1765.1","6.18","2.02","0.87",".287","72.6 %","","","3.53","3.36","","30.8","1001909"
"Danny Jackson","- - -","112","131","1","353","323","2072.2","5.32","3.54","0.58",".292","68.6 %","","","4.01","3.77","","30.6","1006295"
"Jeff Fassero","- - -","121","124","25","720","242","2033.1","7.27","3.20","0.95",".302","70.8 %","48.6 %","13.1 %","4.11","3.95","4.34","30.6","279"
"Jered Weaver","- - -","150","98","0","331","331","2067.1","7.06","2.40","1.14",".273","76.2 %","33.1 %","8.9 %","3.63","4.07","4.36","30.4","4235"
"Tim Belcher","- - -","146","140","5","394","373","2442.2","5.60","3.17","0.97",".280","70.3 %","","","4.16","4.27","","30.3","1000789"
"Barry Zito","- - -","165","143","0","433","421","2576.2","6.58","3.72","0.98",".274","72.7 %","38.0 %","9.0 %","4.04","4.39","4.74","30.2","944"
"Zane Smith","- - -","100","115","3","360","291","1919.1","4.74","2.73","0.57",".294","68.6 %","","","3.74","3.60","","30.2","1012218"
"Scott Erickson","- - -","142","136","0","389","364","2360.2","4.77","3.30","0.87",".301","69.5 %","55.5 %","15.4 %","4.59","4.46","5.11","29.7","137"
"Brandon Webb","Diamondbacks","87","62","0","199","198","1319.2","7.26","2.97","0.63",".286","72.5 %","64.3 %","13.5 %","3.27","3.50","3.30","29.6","1692"
"John Smiley","- - -","126","103","4","361","280","1908.0","6.06","2.34","0.87",".281","70.3 %","","","3.80","3.69","","29.3","1012084"
"Esteban Loaiza","- - -","126","114","1","377","333","2099.0","5.93","2.59","1.11",".308","69.7 %","42.2 %","10.1 %","4.65","4.34","4.17","29.3","1310"
"Floyd Bannister","- - -","123","125","0","379","324","2135.0","6.39","3.01","1.13",".275","71.9 %","","","4.03","4.01","","29.2","1000516"
"Aaron Sele","- - -","148","112","0","404","352","2153.0","5.88","3.34","0.94",".313","70.3 %","41.4 %","9.7 %","4.61","4.41","5.19","29.1","34"
"Ubaldo Jimenez","- - -","114","117","1","329","315","1870.0","8.28","4.08","0.90",".299","70.8 %","47.1 %","10.5 %","4.34","4.05","4.08","29.0","3374"
"Matt Morris","- - -","121","92","4","307","276","1806.0","6.05","2.54","0.87",".297","70.8 %","48.2 %","11.2 %","3.98","3.97","4.16","28.9","1172"
"Sid Fernandez","- - -","114","96","1","307","300","1866.2","8.40","3.45","0.92",".247","74.8 %","","","3.36","3.52","","28.9","1004001"
"Bill Gullickson","- - -","162","136","0","398","390","2560.0","4.50","2.19","0.99",".279","71.5 %","","","3.93","4.00","","28.9","1005136"
"Gerrit Cole","- - -","94","52","0","192","192","1195.0","10.06","2.37","0.87",".303","75.6 %","44.7 %","11.2 %","3.22","3.06","3.22","28.8","13125"
"Todd Stottlemyre","- - -","138","121","1","372","339","2191.2","6.52","3.35","1.01",".291","71.4 %","47.2 %","21.1 %","4.28","4.24","4.11","28.7","75"
"Don Sutton","- - -","119","101","2","305","302","1991.2","5.40","2.19","0.95",".262","72.6 %","","","3.57","3.68","","28.7","1012745"
"Rick Rhoden","- - -","109","101","1","295","289","1923.1","5.12","2.80","0.65",".292","72.2 %","","","3.66","3.53","","28.6","1010887"
"Mike Scott","- - -","124","108","3","347","319","2068.2","6.39","2.73","0.75",".269","70.7 %","","","3.54","3.38","","28.6","1011691"
"Alex Fernandez","- - -","107","87","0","263","261","1760.1","6.40","2.82","0.97",".281","73.3 %","","","3.74","4.01","","28.5","1003993"
"Mike Morgan","- - -","141","183","8","594","408","2760.0","4.57","3.03","0.88",".291","70.7 %","47.7 %","17.5 %","4.22","4.26","4.89","28.4","67"
"Jose Quintana","- - -","83","77","0","250","246","1485.0","7.87","2.54","0.93",".304","73.7 %","44.2 %","10.3 %","3.72","3.65","3.87","28.4","11423"
"Matt Cain","Giants","104","118","0","342","331","2085.2","7.31","3.07","0.91",".272","73.6 %","38.0 %","8.3 %","3.68","3.92","4.27","28.1","4732"
"Rick Porcello","- - -","149","118","0","343","339","2037.1","6.66","2.09","1.13",".306","69.8 %","47.5 %","12.2 %","4.36","4.09","4.03","27.9","2717"
"Kelvim Escobar","- - -","101","91","59","411","202","1507.0","7.82","3.65","0.82",".302","70.8 %","45.0 %","8.0 %","4.15","3.86","4.00","27.9","1298"
"Johnny Cueto","- - -","126","87","0","296","296","1856.1","7.54","2.57","0.94",".280","76.7 %","45.1 %","10.4 %","3.35","3.81","3.87","27.9","6893"
"Ryan Dempster","- - -","132","133","87","579","351","2387.0","7.82","4.04","1.01",".301","72.1 %","45.8 %","10.9 %","4.35","4.25","4.00","27.9","517"
"Ervin Santana","- - -","149","127","0","387","384","2421.1","7.16","2.80","1.20",".282","73.1 %","40.1 %","11.0 %","4.09","4.31","4.28","27.9","3200"
"Bobby Witt","- - -","142","157","0","430","397","2465.0","7.14","5.02","0.92",".304","69.2 %","","","4.83","4.42","","27.8","1014170"
"Mike Hampton","- - -","148","115","1","419","355","2268.1","5.50","3.57","0.79",".298","71.2 %","50.9 %","11.1 %","4.06","4.27","4.54","27.8","430"
"Chris Bosio","- - -","94","93","9","309","246","1710.0","5.57","2.53","0.85",".288","70.1 %","","","3.96","3.80","","27.6","1001212"
"Tim Lincecum","- - -","110","89","1","278","270","1682.0","9.29","3.58","0.79",".300","73.2 %","46.4 %","9.9 %","3.74","3.45","3.48","27.5","5705"
"Mike Flanagan","- - -","130","112","3","428","320","2159.0","4.64","2.89","0.85",".282","72.1 %","","","3.90","3.97","","27.5","1004133"
"Dave Stewart","- - -","168","129","19","522","348","2627.2","5.96","3.54","0.90",".274","72.4 %","","","3.95","4.06","","27.3","1012519"
"Tim Wakefield","- - -","200","180","22","627","463","3226.1","6.01","3.36","1.17",".274","69.5 %","39.6 %","9.4 %","4.41","4.72","4.76","27.3","219"
"Hideo Nomo","- - -","123","109","0","323","318","1976.1","8.73","4.13","1.14",".284","72.8 %","35.2 %","11.3 %","4.24","4.23","4.66","27.3","666"
"Randy Wolf","- - -","133","125","1","390","379","2328.1","7.01","3.21","1.14",".290","73.2 %","39.2 %","10.6 %","4.24","4.38","4.34","27.2","976"
"Pedro Astacio","- - -","129","124","0","392","343","2196.2","6.82","2.97","1.19",".300","70.4 %","39.5 %","12.2 %","4.67","4.43","4.71","27.1","862"
"Darryl Kile","- - -","133","119","0","359","331","2165.1","6.93","3.82","0.89",".295","72.2 %","42.2 %","9.0 %","4.12","4.24","4.69","27.1","1163"
"Tommy John","- - -","106","83","0","265","248","1664.1","2.89","2.13","0.60",".289","70.2 %","","","3.72","3.74","","27.1","1006515"
"Kevin Gross","- - -","142","158","5","474","368","2487.2","6.25","3.57","0.83",".295","71.7 %","","","4.11","3.96","","26.9","1005088"
"Jerry Reuss","- - -","112","97","8","343","280","1856.0","4.10","2.14","0.62",".281","69.6 %","","","3.49","3.48","","26.9","1010853"
"Brad Penny","- - -","121","101","0","349","319","1925.0","5.95","2.89","0.91",".302","70.4 %","46.3 %","9.5 %","4.29","4.12","4.28","26.7","535"
"Teddy Higuera","Brewers","94","64","0","213","205","1380.0","7.05","2.89","0.85",".278","72.5 %","","","3.61","3.49","","26.7","1005799"
"Lee Smith","- - -","71","92","478","1021","6","1289.1","8.73","3.39","0.62",".294","76.7 %","","","3.03","2.93","","26.6","1012175"
"Ted Lilly","- - -","130","113","0","356","331","1982.2","7.63","3.00","1.33",".270","73.7 %","34.1 %","10.8 %","4.14","4.41","4.27","26.5","833"
"Juan Guzman","- - -","91","79","0","240","240","1483.1","7.54","4.05","0.90",".283","70.8 %","","","4.08","4.09","","26.3","1005162"
"Jose DeLeon","- - -","86","119","6","415","264","1897.1","7.56","3.99","0.73",".263","70.5 %","","","3.76","3.61","","26.3","1003168"
"Ricky Nolasco","- - -","114","118","0","330","312","1887.2","7.21","2.19","1.14",".312","69.1 %","41.7 %","11.0 %","4.56","3.97","3.94","26.1","3830"
"Doyle Alexander","- - -","117","105","0","323","307","2117.2","4.59","2.43","0.96",".278","72.5 %","","","3.88","3.97","","26.0","1000122"
"Trevor Hoffman","- - -","61","75","601","1034","0","1089.1","9.36","2.54","0.83",".263","76.7 %","34.2 %","6.4 %","2.87","3.08","3.79","25.9","1035"
"Bryn Smith","- - -","108","94","6","365","255","1791.1","5.16","2.17","0.70",".274","69.5 %","","","3.53","3.45","","25.4","1012104"
"Jordan Zimmermann","- - -","95","91","0","274","273","1602.2","7.10","1.92","1.09",".301","71.6 %","41.1 %","10.7 %","4.04","3.86","3.99","25.4","4505"
"Scott Kazmir","- - -","108","96","0","298","297","1689.2","8.57","3.63","1.01",".299","73.3 %","40.2 %","9.7 %","4.01","4.01","4.11","25.2","4897"
"Jim Clancy","- - -","126","146","10","428","338","2247.0","5.09","3.24","0.91",".277","69.4 %","","","4.21","4.06","","25.1","1002255"
"John Tudor","- - -","117","72","1","281","263","1797.0","4.95","2.38","0.78",".266","75.5 %","","","3.12","3.62","","25.1","1013215"
"Mario Soto","Reds","97","86","4","280","213","1651.2","7.59","3.37","0.87",".252","73.2 %","","","3.41","3.46","","24.4","1012289"
"Mike Krukow","- - -","107","100","1","306","302","1876.0","6.19","3.12","0.81",".288","71.0 %","","","3.85","3.64","","24.3","1007185"
"Denny Neagle","- - -","124","92","3","392","286","1890.1","6.74","2.83","1.19",".286","72.6 %","38.4 %","14.7 %","4.24","4.33","4.76","24.2","441"
"Carl Pavano","- - -","108","107","0","302","284","1788.2","5.49","2.14","1.01",".303","69.3 %","46.4 %","10.2 %","4.39","4.15","4.12","24.2","790"
"Kyle Lohse","- - -","147","143","2","457","418","2531.2","5.74","2.47","1.12",".295","71.0 %","41.2 %","10.0 %","4.40","4.35","4.39","24.0","739"
"Charlie Hough","- - -","163","153","2","463","384","2867.1","5.45","3.80","0.94",".251","71.8 %","","","3.79","4.30","","24.0","1006050"
"Billy Wagner","- - -","47","40","422","853","0","903.0","11.92","2.99","0.82",".261","82.0 %","42.4 %","9.6 %","2.31","2.73","2.76","24.0","578"
"Kerry Wood","- - -","86","75","63","446","178","1380.0","10.32","4.34","0.97",".278","76.1 %","38.9 %","10.9 %","3.67","3.83","3.79","23.9","304"
"Francisco Liriano","- - -","112","114","1","419","300","1813.2","9.01","4.05","0.91",".299","71.2 %","49.1 %","11.9 %","4.15","3.88","3.80","23.9","3201"
"Dave Righetti","- - -","82","79","252","718","89","1403.2","7.13","3.79","0.61",".286","73.4 %","","","3.46","3.38","","23.9","1010958"
"Ken Hill","- - -","117","109","0","332","315","1973.0","5.39","3.89","0.74",".283","71.3 %","","","4.06","4.24","","23.8","1005827"
"Jake Arrieta","- - -","106","75","0","252","246","1469.1","8.07","3.13","0.92",".275","71.7 %","48.9 %","12.0 %","3.72","3.83","3.80","23.8","4153"
"Carlos Carrasco","Indians","85","69","2","230","183","1174.1","9.37","2.25","1.05",".309","73.3 %","48.5 %","13.5 %","3.82","3.41","3.23","23.8","6632"
"Len Barker","- - -","68","70","0","202","189","1209.0","6.58","3.38","0.66",".293","66.0 %","","","4.41","3.39","","23.7","1000546"
"Lance Lynn","- - -","98","68","1","247","223","1342.2","8.89","3.38","0.81",".305","75.3 %","44.4 %","9.5 %","3.59","3.58","3.90","23.7","2520"
"Terry Mulholland","- - -","124","142","5","685","332","2576.0","4.63","2.38","1.02",".292","68.9 %","47.6 %","13.8 %","4.41","4.32","4.79","23.7","665"
"Pat Hentgen","- - -","131","112","1","344","306","2075.1","5.59","3.36","1.17",".282","72.7 %","37.6 %","13.4 %","4.32","4.73","5.21","23.7","145"
"Bob Ojeda","- - -","115","98","1","351","291","1884.1","5.39","3.23","0.69",".281","72.0 %","","","3.65","3.69","","23.5","1009756"
"Erik Bedard","- - -","71","82","1","241","230","1303.2","8.60","3.68","0.90",".303","71.9 %","41.9 %","9.3 %","3.99","3.82","3.98","23.4","126"
"Steve Rogers","Expos","85","70","0","206","202","1447.2","4.87","2.77","0.47",".274","72.8 %","","","3.20","3.29","","23.4","1011138"
"Ed Whitson","- - -","120","117","4","404","331","2150.1","4.99","2.73","0.86",".279","71.8 %","","","3.81","3.85","","23.3","1013911"
"Jeff Weaver","- - -","104","119","2","356","274","1838.0","5.94","2.53","1.11",".301","69.6 %","40.1 %","9.8 %","4.71","4.41","4.51","23.1","503"
"Doug Jones","- - -","69","79","303","846","4","1128.1","7.25","1.97","0.69",".308","73.9 %","","","3.30","3.11","","23.1","1006552"
