"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Dane de la Rosa","- - -","6","1","2","90","0","87.0","8.07","3.72","0.62",".293","66.9 %","50.6 %","9.1 %","4.24","3.43","3.57","0.9","10095"
"Adam Liberatore","Dodgers","6","5","0","118","0","88.2","9.44","3.65","0.61",".293","74.3 %","43.9 %","7.6 %","3.55","3.25","3.79","0.9","10637"
"Scott Aldred","- - -","20","39","1","229","67","499.2","5.62","4.14","1.40",".309","65.8 %","","","6.02","5.33","","0.9","1000115"
"Dale Mohorcic","- - -","16","21","33","254","0","363.2","4.31","2.45","0.92",".283","75.1 %","","","3.49","4.17","","0.9","1009034"
"Brett Martin","Rangers","2","3","0","51","2","62.1","8.95","2.60","1.01",".340","65.7 %","53.8 %","15.2 %","4.76","3.65","3.66","0.9","17369"
"Ryne Harper","Twins","4","2","1","61","0","54.1","8.28","1.66","1.16",".299","72.5 %","38.5 %","11.7 %","3.81","3.66","4.18","0.9","12680"
"Jorge Julio","- - -","17","34","99","453","0","467.0","8.63","4.49","1.25",".286","71.9 %","43.4 %","12.9 %","4.43","4.59","4.31","0.9","148"
"Pete Walker","- - -","20","14","4","144","31","339.1","5.07","3.53","1.27",".287","73.8 %","43.9 %","12.0 %","4.48","4.97","4.75","0.8","1325"
"Tom Gorman","- - -","12","10","0","126","7","213.2","6.07","2.78","0.76",".289","67.5 %","","","4.34","3.44","","0.8","1004887"
"Alec Mills","- - -","1","1","1","19","6","57.1","10.83","3.61","0.94",".287","76.9 %","49.3 %","12.2 %","3.77","3.77","3.99","0.8","13834"
"Ryan Speier","Rockies","7","3","0","90","0","99.1","5.26","3.81","0.36",".313","72.6 %","49.7 %","4.3 %","3.99","3.96","4.69","0.8","3808"
"Matt Guerrier","- - -","27","35","6","555","3","623.0","5.94","2.98","1.00",".267","76.5 %","44.5 %","9.4 %","3.52","4.31","4.42","0.8","2061"
"Roger Salkeld","- - -","10","10","0","45","34","189.1","6.70","4.90","1.19",".305","69.5 %","","","5.61","5.13","","0.8","1011384"
"Hector Fajardo","- - -","5","9","0","30","17","124.1","5.65","3.04","1.38",".313","56.4 %","","","6.95","4.91","","0.8","1003908"
