year,name,reason,player_id,player_name,lg,tm,first,last,use,b_p,c,1b,2b,3b,ss,lf,cf,rf
2025,Chase DeLauter,No MLB PlayerStatSeason found for 2025,23731,Chase DeLauter,,CI,Chase,DeLauter,ADD,B,,,,,,,4,4
2025,Wenceel Perez,No player found,,,,DT,Wenceel,Perez,REG,B,,,,,,3,4,2
2025,Jake Meyers,No MLB PlayerStatSeason found for 2025,26814,Jake Meyer,,HA,Jake,Meyers,REG,B,,,,,,,1,
2025,Jeremy Pena,No MLB PlayerStatSeason found for 2025,38536,Jeremy Pena,,HA,Jeremy,Pena,REG,B,,,,,1,,,
2025,Michael Massey,No MLB PlayerStatSeason found for 2025,39297,Michael Massey,,KR,Michael,Massey,REG,B,,,3(B2),,,4,,
2025,M.J. Melendez,No player found,,,,KR,M.J.,Melendez,ADD,B,,,,,,4,,4
2025,D.J. LeMahieu,No player found,,,,NY,D.J.,LeMahieu,ADD,B,,,3(B2),,,,,
2025,C.J. Alexander,No player found,,,,OA,C.J.,Alexander,COMP,B,,4,,4,,4,,4
2025,Jacob Wilson,No MLB PlayerStatSeason found for 2025,24405,Jacob Wilson,,OA,Jacob,Wilson,REG,B,,,,,3,,,
2025,Julio Rodriguez,No MLB PlayerStatSeason found for 2025,30383,Julio Rodriguez,,SM,Julio,Rodriguez,REG,B,,,,,,,1,
2025,Richie Palacios,No player found,,,,TB,Richie,Palacios,COMP,B,,5,2,,,3,,3
2025,Josh Smith,No MLB PlayerStatSeason found for 2025,28660,Josh Smith,,TE,Josh,Smith,REG,B,,3,4,3(B2),3,4,4,4
2025,Isiah Kiner,No player found,,,,TO,Isiah,Kiner-Falefa,COMP,B,,,2,2,3,,,
2025,Nacho Alvarez,No player found,,,,AT,Nacho,Alvarez,REG,B,,,,3,,,,
2025,Pete Crow,No player found,,,,CC,Pete,Crow-Armstrong,REG,B,,,,,,,1,
2025,C. Encarnacion,No player found,,,,CN,C.,Encarnacion,ADD,B,,4,,4,,,,
2025,T.J. Friedl,No player found,,,,CN,T.J.,Friedl,REG,B,,,,,,,2,
2025,Will Smith,No MLB PlayerStatSeason found for 2025,2426,Will Smith,,LD,Will,Smith,REG,B,3,,,,,,,
2025,Victor Mesa,No MLB PlayerStatSeason found for 2025,28859,Victor Mesa,,MI,Victor,Mesa,COMP,B,,,,,,3,3,3
2025,Nick Castellanos,No player found,,,,PH,Nick,Castellanos,REG,B,,,,,,,,4(B3)
2025,Isiah Kiner,No player found,,,,PI,Isiah,Kiner-Falefa,MIX,B,,,,2,3,,,
2025,Cesar Prieto,No player found,,,,SC,Cesar,Prieto,COMP,B,,,4,,,,,
2025,Michael Siani,No player found,,,,SC,Michael,Siani,COMP,B,,,,,,,2,
2025,Bryson Eldridge,No player found,,,,SF,Bryson,Eldridge,COMP,B,,5,,,,,,
2025,C.J. Abrams,No player found,,,,WN,C.J.,Abrams,REG,B,,,,,3,,,
2025,Andres Chaparro,No player found,,,,WN,Andres,Chaparro,REG,B,,3,,,,,,
2025,Nasim Nunez,No player found,,,,WN,Nasim,Nunez,ADD,B,,,2,,2,,4,
