"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Justin Verlander","- - -","262","147","0","526","526","3415.2","9.00","2.51","0.94",".278","75.2%","37.6%","9.0%","94.8","3.30","","3.42","3.77","82.0","8700","434378"
"Clayton Kershaw","LAD","212","94","0","432","429","2742.2","9.74","2.22","0.74",".270","79.3%","46.6%","9.8%","93.1","2.50","","2.83","3.01","76.4","2036","477132"
"Max Scherzer","- - -","216","112","0","466","457","2878.0","10.65","2.36","1.05",".287","77.6%","36.5%","10.6%","94.3","3.16","","3.18","3.33","73.2","3137","453286"
"Zack Greinke","- - -","225","156","1","586","541","3389.1","7.91","2.02","0.97",".293","74.6%","43.8%","10.7%","91.9","3.49","","3.52","3.62","66.7","1943","425844"
"CC Sabathia","- - -","251","161","0","561","560","3577.1","7.78","2.76","0.96",".294","73.4%","45.6%","10.7%","93.8","3.74","","3.78","3.79","66.5","404","282332"
"Roy Halladay","- - -","194","98","0","378","370","2586.0","7.04","1.78","0.75",".293","72.8%","54.1%","10.3%","88.7","3.36","","3.28","3.23","64.5","1303","136880"
"Felix Hernandez","SEA","169","136","0","419","418","2729.2","8.32","2.65","0.87",".293","74.0%","53.3%","12.1%","93.5","3.42","","3.52","3.40","54.0","4772","433587"
"Chris Sale","- - -","138","83","12","372","292","1958.1","11.09","2.09","0.93",".296","77.2%","43.1%","11.6%","94.6","3.04","","2.89","2.94","54.0","10603","519242"
"Randy Johnson","- - -","143","78","0","287","281","1885.1","10.42","2.31","1.01",".298","73.9%","43.2%","12.0%","91.2","3.34","","3.13","3.23","52.9","60","116615"
"Roy Oswalt","- - -","163","102","0","365","341","2245.1","7.42","2.08","0.79",".301","75.4%","47.1%","9.1%","93.1","3.36","","3.37","3.57","52.6","571","400061"
"Mark Buehrle","- - -","214","160","0","518","493","3283.1","5.13","2.01","0.99",".292","72.6%","45.3%","9.7%","85.8","3.81","","4.11","4.21","52.3","225","279824"
"Cole Hamels","- - -","163","122","0","423","422","2698.0","8.54","2.56","1.03",".287","76.6%","44.9%","11.8%","92.2","3.43","","3.68","3.59","51.6","4972","430935"
"Javier Vazquez","- - -","151","137","0","391","385","2513.0","8.18","2.30","1.15",".294","71.8%","38.6%","11.1%","91.7","4.04","","3.78","3.75","51.0","801","134320"
"Cliff Lee","- - -","143","91","0","328","324","2156.2","7.61","1.94","0.93",".298","73.6%","40.7%","8.8%","91.3","3.52","","3.45","3.69","48.2","1636","424324"
"Adam Wainwright","STL","200","128","3","478","411","2668.1","7.43","2.48","0.79",".298","74.2%","47.4%","9.5%","90.2","3.53","","3.54","3.77","47.6","2233","425794"
"Andy Pettitte","- - -","175","107","0","366","363","2271.2","6.89","2.60","0.80",".309","71.3%","48.5%","9.9%","89.5","3.82","","3.64","3.70","47.3","840","120485"
"Jon Lester","- - -","200","117","0","452","451","2740.0","8.17","2.93","0.97",".300","74.7%","45.9%","11.1%","92.6","3.66","","3.78","3.82","46.2","4930","452657"
"Gerrit Cole","- - -","153","80","0","317","317","1954.0","10.37","2.30","1.00",".292","76.8%","43.2%","12.0%","96.8","3.18","","3.16","3.23","46.0","13125","543037"
"Johan Santana","- - -","139","78","1","360","284","2025.2","8.83","2.52","0.98",".276","77.0%","37.1%","9.3%","90.9","3.20","","3.44","3.50","45.6","755","276371"
"Tim Hudson","- - -","211","131","0","461","458","2990.1","5.86","2.57","0.72",".280","73.3%","58.0%","10.4%","90.4","3.50","","3.80","3.78","45.2","921","218596"
"Pedro Martinez","- - -","112","50","0","227","227","1468.0","9.93","2.15","0.81",".279","75.7%","38.8%","8.9%","88.9","3.01","","2.92","3.45","45.0","200","118377"
"Jake Peavy","- - -","152","126","0","388","377","2377.0","8.36","2.68","0.98",".285","74.6%","39.7%","9.5%","91.5","3.63","","3.65","3.81","43.7","1051","408241"
"John Lackey","- - -","188","147","0","448","446","2840.1","7.27","2.58","1.01",".300","73.2%","43.5%","10.4%","92.0","3.92","","3.94","3.99","43.2","1507","407793"
"Jacob deGrom","- - -","84","57","0","218","218","1367.0","10.97","2.03","0.79",".286","79.2%","44.6%","10.6%","96.5","2.52","","2.59","2.82","43.0","10954","594798"
"David Price","- - -","157","82","3","400","322","2143.2","8.72","2.36","0.93",".290","75.3%","44.0%","10.3%","94.7","3.32","","3.39","3.50","42.5","3184","456034"
"Bartolo Colon","- - -","211","167","0","483","472","2958.2","6.54","2.28","1.18",".296","72.5%","41.7%","11.0%","91.7","4.11","","4.15","4.19","42.1","375","112526"
"A.J. Burnett","- - -","160","155","0","428","423","2690.0","8.30","3.60","0.87",".295","71.8%","50.6%","11.2%","94.2","3.99","","3.86","3.67","41.9","512","150359"
"Curt Schilling","- - -","117","63","9","243","221","1569.1","8.86","1.47","1.11",".304","76.4%","39.6%","10.5%","88.7","3.54","","3.24","3.18","41.8","73","121811"
"Mike Mussina","- - -","134","87","0","283","282","1790.2","7.48","1.83","0.98",".304","71.2%","43.2%","10.1%","86.4","3.87","","3.51","3.69","41.0","837","119608"
"Dan Haren","- - -","153","131","1","391","380","2419.2","7.49","1.86","1.13",".288","72.8%","41.6%","10.9%","90.1","3.75","","3.78","3.69","40.4","1757","429717"
"Corey Kluber","- - -","116","77","1","271","260","1641.2","9.46","2.02","0.97",".301","73.9%","43.0%","11.3%","92.9","3.44","","3.23","3.31","38.3","2429","446372"
"Greg Maddux","- - -","134","101","0","308","308","1939.2","5.62","1.43","0.91",".286","70.7%","51.5%","12.0%","81.0","3.70","","3.71","3.73","37.5","104","118120"
"Zack Wheeler","- - -","103","70","0","259","259","1578.2","9.26","2.61","0.84",".290","74.6%","46.2%","10.5%","96.2","3.34","","3.32","3.55","37.2","10310","554430"
"Aaron Nola","PHI","104","79","0","268","268","1621.1","9.88","2.34","1.10",".293","73.7%","46.8%","13.9%","92.8","3.70","","3.45","3.34","37.0","16149","605400"
"Stephen Strasburg","WSN","113","62","0","247","247","1470.0","10.55","2.41","0.91",".293","74.3%","45.8%","12.2%","95.7","3.24","","3.02","3.00","36.6","10131","544931"
"Kevin Millwood","- - -","129","134","0","375","373","2266.2","6.64","2.81","1.00",".301","70.9%","42.6%","9.7%","89.1","4.26","","4.08","4.15","36.4","106","119154"
"Josh Beckett","- - -","138","106","0","335","332","2051.0","8.34","2.76","1.04",".289","72.5%","43.8%","11.2%","94.0","3.88","","3.78","3.66","36.3","510","277417"
"Yu Darvish","- - -","110","88","0","282","282","1706.0","10.59","2.87","1.14",".283","76.1%","40.6%","13.1%","94.2","3.58","","3.54","3.44","35.6","13074","506433"
"Jose Quintana","- - -","102","103","0","359","333","1969.2","7.89","2.70","0.92",".303","73.6%","44.6%","10.3%","91.8","3.74","","3.70","3.92","35.3","11423","500779"
"Roger Clemens","- - -","107","50","0","229","228","1454.1","8.39","2.96","0.80",".283","74.2%","46.8%","8.9%","91.4","3.34","","3.43","3.51","34.8","815","112388"
"Sonny Gray","- - -","111","94","0","307","298","1737.1","8.93","3.02","0.87",".283","73.1%","50.4%","11.8%","93.4","3.51","","3.53","3.59","34.4","12768","543243"
"Derek Lowe","- - -","165","139","67","524","358","2370.0","5.75","2.67","0.74",".299","69.3%","62.3%","12.4%","88.1","4.03","","3.84","3.72","34.3","199","117955"
"Kevin Gausman","- - -","102","102","0","329","290","1718.0","9.25","2.54","1.11",".311","74.2%","42.0%","12.0%","94.9","3.84","","3.62","3.69","33.4","14107","592332"
"Lance Lynn","- - -","143","99","1","364","340","2006.1","9.04","3.16","1.04",".296","74.5%","42.1%","11.2%","93.5","3.74","","3.82","3.97","33.0","2520","458681"
"Ben Sheets","- - -","94","96","0","250","250","1596.2","7.47","2.08","1.04",".295","72.2%","41.9%","9.9%","93.1","3.78","","3.66","3.63","33.0","710","282656"
"James Shields","- - -","145","139","0","407","405","2616.0","7.69","2.57","1.24",".294","73.9%","43.3%","12.6%","91.8","4.01","","4.17","3.91","32.3","7059","448306"
"Madison Bumgarner","- - -","134","124","0","358","355","2209.1","8.43","2.22","1.05",".285","74.9%","41.6%","10.8%","91.8","3.47","","3.63","3.78","32.2","5524","518516"
"Gio Gonzalez","- - -","131","101","0","344","328","1933.0","8.66","3.79","0.80",".294","73.9%","47.0%","9.7%","92.4","3.70","","3.68","3.87","32.2","7448","461829"
"Aaron Harang","- - -","128","143","0","387","381","2322.0","7.14","2.76","1.16",".304","72.9%","38.0%","10.2%","90.4","4.26","","4.18","4.21","32.1","1451","421685"
"Johnny Cueto","- - -","144","113","0","370","365","2256.1","7.41","2.54","1.01",".283","75.9%","44.1%","10.9%","93.1","3.52","","3.94","3.99","31.5","6893","456501"
"Anibal Sanchez","- - -","116","119","0","364","341","2017.2","7.91","3.06","1.06",".294","72.4%","42.5%","10.7%","92.0","4.06","","4.00","4.12","31.2","3284","434671"
"Chris Carpenter","- - -","120","72","0","279","271","1813.0","6.95","2.39","0.89",".290","73.8%","51.2%","9.8%","93.3","3.59","","3.73","3.42","31.1","1292","112020"
"Carlos Zambrano","- - -","132","91","0","354","302","1959.0","7.52","4.13","0.74",".277","73.7%","48.4%","8.9%","91.9","3.66","","4.01","4.18","30.9","305","407296"
"Jered Weaver","- - -","150","98","0","331","331","2067.1","7.06","2.40","1.14",".273","76.2%","33.1%","8.9%","88.7","3.63","","4.07","4.36","30.4","4235","450308"
"Charlie Morton","- - -","138","123","0","383","382","2125.2","8.67","3.33","0.86",".304","71.6%","50.5%","12.1%","94.6","4.01","","3.83","3.81","30.3","4676","450203"
"Barry Zito","- - -","165","143","0","433","421","2576.2","6.58","3.72","0.98",".274","72.7%","38.0%","9.0%","85.6","4.04","","4.39","4.75","30.2","944","217096"
"Brandon Webb","ARI","87","62","0","199","198","1319.2","7.26","2.97","0.63",".286","72.5%","64.3%","13.5%","80.3","3.27","","3.50","3.30","29.6","1692","425630"
"Rick Porcello","- - -","150","125","0","355","351","2096.1","6.70","2.10","1.12",".308","69.4%","47.2%","12.0%","92.0","4.40","","4.06","4.04","29.6","2717","519144"
"Mariano Rivera","NYY","56","47","523","849","0","907.0","8.30","1.66","0.49",".263","81.0%","52.4%","6.5%","93.5","2.05","","2.62","3.00","29.2","844","121250"
"Ubaldo Jimenez","- - -","114","117","1","329","315","1870.0","8.28","4.08","0.90",".299","70.8%","47.1%","10.5%","94.1","4.34","","4.05","4.08","29.0","3374","434622"
"Livan Hernandez","- - -","151","150","1","438","394","2655.2","5.41","2.87","1.01",".306","71.3%","41.6%","9.7%","84.7","4.45","","4.36","4.52","28.8","1116","115817"
"Freddy Garcia","- - -","139","100","0","343","324","2062.2","6.33","2.70","1.16",".280","73.0%","42.0%","11.9%","88.2","4.16","","4.32","4.18","28.5","1077","150119"
"Jason Schmidt","- - -","89","54","0","197","197","1260.1","8.73","3.49","0.77",".280","72.2%","38.2%","7.6%","87.2","3.63","","3.47","3.85","28.3","1131","121834"
"Matt Cain","SFG","104","118","0","342","331","2085.2","7.31","3.07","0.91",".272","73.6%","38.0%","8.3%","92.3","3.68","","3.92","4.27","28.1","4732","430912"
"Ervin Santana","- - -","151","129","0","425","386","2486.2","7.16","2.81","1.20",".282","73.0%","40.0%","11.0%","93.3","4.11","","4.31","4.29","28.0","3200","429722"
"Carlos Carrasco","- - -","110","103","2","324","277","1641.2","9.11","2.47","1.16",".313","72.5%","47.5%","14.3%","94.2","4.14","","3.71","3.45","27.6","6632","471911"
"Ryan Dempster","- - -","124","120","87","540","315","2185.1","7.88","3.87","0.99",".300","71.9%","45.8%","10.9%","91.0","4.26","","4.14","4.01","27.5","517","133225"
"Tim Lincecum","- - -","110","89","1","278","270","1682.0","9.29","3.58","0.79",".300","73.2%","46.4%","9.9%","92.2","3.74","","3.45","3.48","27.5","5705","453311"
"John Smoltz","- - -","56","42","154","367","125","1058.2","8.38","2.01","0.79",".297","75.2%","45.7%","8.9%","92.2","3.28","","3.10","3.28","27.2","115","122477"
"Brad Penny","- - -","121","101","0","349","319","1925.0","5.95","2.89","0.91",".302","70.4%","46.3%","9.5%","94.0","4.29","","4.12","4.28","26.7","535","207267"
"Ted Lilly","- - -","130","112","0","347","328","1959.0","7.59","3.00","1.31",".268","73.7%","34.1%","10.8%","88.0","4.10","","4.39","4.28","26.6","833","150404"
"Randy Wolf","- - -","127","116","1","368","358","2206.2","6.93","3.12","1.13",".290","73.4%","39.2%","10.6%","89.2","4.17","","4.33","4.35","26.4","976","150116"
"Ricky Nolasco","- - -","114","118","0","330","312","1887.2","7.21","2.19","1.14",".312","69.1%","41.7%","11.0%","91.6","4.56","","3.97","3.94","26.1","3830","445060"
"Jordan Zimmermann","- - -","95","91","0","279","275","1614.0","7.09","1.93","1.09",".302","71.4%","41.2%","10.7%","93.5","4.07","","3.87","4.00","25.4","4505","519455"
"Kyle Hendricks","CHC","97","81","0","276","270","1580.1","7.17","2.07","1.05",".283","73.8%","45.9%","11.9%","87.7","3.68","","3.90","4.02","25.4","12049","543294"
"Scott Kazmir","- - -","108","97","0","303","301","1701.0","8.56","3.63","1.02",".299","73.3%","40.3%","9.8%","92.3","4.02","","4.02","4.11","25.1","4897","431148"
"Patrick Corbin","- - -","103","131","2","342","324","1892.1","8.22","2.75","1.25",".318","71.2%","47.4%","15.0%","92.1","4.51","","4.13","3.84","24.9","9323","571578"
"Marcus Stroman","- - -","87","85","2","261","252","1458.1","7.43","2.69","0.86",".300","72.0%","55.9%","13.1%","93.6","3.72","","3.73","3.69","24.9","13431","573186"
"Kenley Jansen","- - -","49","36","447","871","0","868.1","12.66","2.73","0.83",".266","79.6%","32.8%","8.9%","93.2","2.57","","2.54","2.97","24.8","3096","445276"
"Nathan Eovaldi","- - -","91","81","0","294","275","1572.1","7.77","2.55","1.02",".303","72.3%","46.8%","11.5%","96.6","4.07","","3.83","3.88","24.8","9132","543135"
"Blake Snell","- - -","76","58","0","211","211","1096.2","11.23","4.06","0.89",".286","77.6%","41.7%","11.1%","95.4","3.19","","3.35","3.57","24.5","13543","605483"
"David Wells","- - -","98","58","0","216","215","1362.0","5.23","1.40","1.04",".307","70.5%","45.3%","10.1%","81.7","4.25","","3.96","4.13","24.3","855","124071"
"Kyle Lohse","- - -","147","143","2","457","418","2531.2","5.74","2.47","1.12",".295","71.0%","41.2%","10.0%","90.6","4.40","","4.35","4.40","24.0","739","346798"
"Luis Castillo","- - -","73","76","0","211","211","1230.0","9.74","2.98","1.10",".282","74.9%","48.5%","14.2%","96.5","3.56","","3.71","3.56","23.9","15689","622491"
"Francisco Liriano","- - -","112","114","1","419","300","1813.2","9.01","4.05","0.91",".299","71.2%","49.1%","11.9%","93.2","4.15","","3.88","3.80","23.9","3201","434538"
"Jake Arrieta","- - -","115","93","0","285","279","1612.1","8.00","3.19","1.01",".282","70.9%","48.5%","13.0%","94.0","3.98","","4.00","3.88","23.6","4153","453562"
"Erik Bedard","- - -","71","82","1","241","230","1303.2","8.60","3.68","0.90",".303","71.9%","41.9%","9.3%","90.7","3.99","","3.82","3.98","23.4","126","407853"
"Kelvim Escobar","- - -","77","75","45","329","162","1222.1","7.90","3.50","0.82",".298","71.5%","45.0%","8.0%","94.3","3.99","","3.79","4.01","23.0","1298","113898"
"Aroldis Chapman","- - -","55","45","335","796","0","760.0","14.76","4.65","0.60",".285","78.2%","42.9%","9.8%","99.3","2.63","","2.41","2.61","23.0","10233","547973"
"Matt Garza","- - -","93","106","1","290","284","1710.2","7.26","3.06","1.04",".291","70.6%","42.6%","10.3%","93.9","4.09","","4.11","4.14","22.6","3340","490063"
"Jon Lieber","- - -","83","66","0","219","192","1312.0","5.89","1.50","1.19",".293","70.1%","44.7%","12.0%","87.5","4.25","","4.06","3.89","22.5","287","117758"
"Doug Davis","- - -","92","108","0","304","286","1713.0","6.70","4.11","0.93",".307","72.1%","44.6%","9.9%","85.2","4.39","","4.39","4.45","22.4","1244","150277"
"Hiroki Kuroda","- - -","79","79","0","212","211","1319.0","6.73","1.99","0.88",".281","72.7%","48.6%","10.1%","92.4","3.45","","3.61","3.61","22.4","3283","493133"
"Brad Radke","MIN","82","71","0","214","214","1366.0","5.29","1.36","1.15",".297","71.3%","41.2%","10.7%","","4.16","","4.09","4.20","22.3","748","120878"
"Matt Morris","- - -","102","78","4","257","226","1475.1","6.01","2.43","0.95",".299","69.7%","48.2%","11.2%","82.0","4.21","","4.04","4.17","22.2","1172","119403"
"Jamie Moyer","- - -","151","108","0","350","344","2145.2","5.36","2.47","1.26",".277","72.7%","39.9%","10.8%","81.4","4.30","","4.66","4.66","22.1","1091","119469"
"Kyle Gibson","- - -","112","108","0","330","324","1865.2","7.28","3.17","1.09",".304","70.6%","50.1%","13.9%","92.7","4.52","","4.29","4.11","22.0","10123","502043"
"Esteban Loaiza","- - -","87","75","1","237","217","1386.0","6.22","2.48","1.12",".309","70.5%","42.2%","10.1%","85.8","4.59","","4.23","4.19","22.0","1310","117842"
"Josh Johnson","- - -","58","45","0","170","160","998.0","8.25","3.05","0.67",".302","74.2%","47.1%","8.2%","94.8","3.40","","3.32","3.57","21.8","4567","435178"
"Trevor Bauer","- - -","83","69","1","222","212","1297.2","9.82","3.41","1.11",".289","74.7%","41.0%","12.3%","94.2","3.79","","3.87","3.93","21.7","12703","545333"
"J.A. Happ","- - -","133","100","0","354","328","1893.2","7.89","3.17","1.24",".288","74.4%","39.8%","11.7%","91.8","4.13","","4.29","4.30","21.7","7410","457918"
"Jon Garland","- - -","136","125","1","365","342","2151.1","4.84","3.02","1.10",".286","70.8%","45.3%","10.8%","90.3","4.37","","4.69","4.57","21.6","232","279782"
"Bronson Arroyo","- - -","148","137","1","419","383","2435.2","5.80","2.44","1.28",".282","72.2%","40.8%","11.3%","88.2","4.28","","4.60","4.41","21.6","978","276520"
"Jeff Weaver","- - -","95","107","2","326","245","1674.1","5.91","2.47","1.08",".301","69.7%","40.1%","9.8%","89.1","4.62","","4.33","4.52","21.5","503","213711"
"Corbin Burnes","- - -","60","36","2","199","138","903.2","10.47","2.53","0.97",".276","75.0%","46.9%","12.8%","95.4","3.19","","3.21","3.18","21.5","19361","669203"
"Shane Bieber","CLE","62","32","0","136","134","843.0","10.23","2.01","1.00",".305","76.8%","46.3%","13.1%","92.7","3.22","","3.09","3.11","21.5","19427","669456"
"Craig Kimbrel","- - -","56","47","440","837","0","809.2","14.06","3.77","0.81",".266","79.3%","37.9%","11.1%","97.0","2.59","","2.58","2.68","21.5","6655","518886"
"Jon Gray","- - -","74","70","0","228","223","1216.2","8.96","2.97","1.15",".309","70.3%","45.0%","13.6%","95.5","4.45","","3.95","3.87","21.2","14916","592351"
"Carl Pavano","- - -","96","90","0","259","243","1550.0","5.45","2.01","1.01",".305","69.7%","46.4%","10.2%","90.1","4.33","","4.11","4.12","21.1","790","134321"
"Yovani Gallardo","- - -","121","101","1","319","307","1816.2","7.85","3.52","1.02",".297","73.3%","46.1%","11.6%","92.4","4.06","","4.04","3.95","21.1","8173","451596"
"Rich Hill","- - -","90","74","0","386","248","1409.0","9.12","3.47","1.12",".283","73.4%","38.1%","11.1%","89.5","4.01","","4.08","4.20","20.9","4806","448179"
"Chris Archer","- - -","63","89","0","243","240","1357.0","9.64","3.16","1.09",".297","72.1%","44.4%","12.8%","95.2","3.93","","3.72","3.64","20.9","6345","502042"
"Doug Fister","- - -","83","92","1","242","226","1422.1","6.14","2.10","0.89",".295","72.4%","48.5%","9.9%","89.0","3.72","","3.86","3.98","20.8","9425","450729"
"Joe Blanton","- - -","101","97","2","427","252","1767.2","6.54","2.38","1.14",".303","71.2%","43.7%","11.0%","90.3","4.38","","4.16","4.10","20.8","4849","430599"
"Tom Glavine","- - -","118","87","0","283","283","1753.2","4.87","3.08","0.91",".280","74.8%","45.2%","9.4%","83.5","3.77","","4.40","4.58","20.7","90","114849"
"Dallas Keuchel","- - -","103","92","0","282","267","1642.1","6.87","2.82","0.96",".299","72.1%","57.6%","15.1%","89.7","4.04","","4.01","3.75","20.7","9434","572971"
"Noah Syndergaard","- - -","59","47","0","164","162","941.1","8.87","2.07","0.96",".308","72.5%","46.7%","11.6%","97.4","3.71","","3.37","3.52","20.5","11762","592789"
"Kevin Brown","- - -","54","36","0","137","129","825.2","7.59","2.38","0.74",".290","73.2%","53.7%","10.2%","","3.30","","3.35","3.55","20.2","642","111554"
"Wade Miley","- - -","108","99","0","317","310","1745.1","7.02","3.12","1.01",".299","73.3%","49.0%","12.4%","91.5","4.07","","4.15","4.12","20.1","8779","489119"
"Jason Hammel","- - -","96","114","4","377","298","1810.1","7.10","2.82","1.15",".305","70.3%","42.5%","11.3%","93.1","4.62","","4.26","4.22","20.1","4538","434628"
"Jarrod Washburn","- - -","97","101","1","281","279","1728.0","5.29","2.69","1.16",".273","74.3%","36.2%","8.8%","87.9","4.03","","4.59","4.86","20.0","40","132220"
"Hyun-Jin Ryu","- - -","78","48","1","186","185","1055.1","7.97","2.01","0.99",".295","77.0%","48.0%","12.2%","90.6","3.27","","3.53","3.57","20.0","14444","547943"
"Kenny Rogers","- - -","105","78","0","260","257","1601.1","4.80","2.95","0.97",".299","70.1%","45.9%","10.0%","87.9","4.51","","4.53","4.61","20.0","1277","121386"
"Joel Pineiro","- - -","104","93","2","335","263","1754.1","5.43","2.50","0.99",".298","70.1%","49.2%","11.0%","90.2","4.41","","4.21","4.17","19.9","1094","334492"
"Wandy Rodriguez","- - -","97","98","0","275","263","1557.1","7.40","3.09","1.07",".298","71.6%","44.6%","11.3%","90.2","4.10","","4.13","3.99","19.9","2586","434643"
"Carlos Rodon","- - -","75","63","0","198","193","1086.2","9.99","3.35","1.13",".293","74.8%","39.1%","11.5%","94.7","3.85","","3.85","3.98","19.8","16137","607074"
"Joe Nathan","- - -","57","30","376","768","15","833.0","9.96","3.22","0.72",".261","78.6%","38.0%","7.1%","94.0","2.72","","3.08","3.23","19.8","1122","150274"
"Jeff Samardzija","- - -","80","106","1","364","241","1645.1","7.93","2.69","1.12",".288","70.8%","42.7%","11.7%","94.7","4.15","","3.99","4.03","19.7","3254","502188"
"Mat Latos","- - -","71","59","0","197","189","1153.1","7.89","2.75","0.91",".282","72.9%","43.4%","9.3%","93.4","3.64","","3.61","3.78","19.6","3815","502009"
"Jose Berrios","- - -","99","77","0","244","243","1405.2","8.60","2.67","1.24",".290","73.7%","41.4%","12.8%","93.9","4.07","","4.14","4.17","19.5","14168","621244"
"Alex Cobb","- - -","79","76","0","233","233","1327.2","7.51","2.60","0.95",".299","72.5%","54.6%","13.8%","91.8","3.84","","3.81","3.64","19.5","6562","502171"
"Kerry Wood","- - -","73","69","63","420","152","1213.1","10.01","4.31","0.99",".276","76.3%","38.9%","10.9%","95.5","3.71","","3.92","3.80","19.5","304","134268"
"Michael Wacha","- - -","101","62","0","278","257","1454.2","7.98","2.83","1.11",".294","74.5%","42.8%","12.0%","94.1","3.89","","4.01","4.06","19.4","14078","608379"
"Jonathan Papelbon","- - -","41","36","368","689","3","725.2","10.02","2.29","0.71",".278","79.4%","39.0%","7.2%","94.2","2.44","","2.81","3.27","19.3","5975","449097"
"Chad Billingsley","- - -","83","64","0","226","197","1212.1","7.81","3.70","0.68",".304","73.6%","46.3%","7.7%","92.4","3.72","","3.70","4.02","19.3","5842","451532"
"James Paxton","- - -","73","41","0","177","177","951.0","9.51","2.97","1.05",".300","73.0%","43.6%","11.8%","95.5","3.77","","3.60","3.75","19.2","11828","572020"
"C.J. Wilson","- - -","94","70","52","444","192","1430.1","7.92","3.79","0.74",".290","71.8%","48.6%","9.2%","91.9","3.74","","3.82","3.93","19.0","3580","450351"
"Max Fried","ATL","73","36","0","168","151","884.1","8.78","2.50","0.77",".295","76.4%","54.4%","12.3%","93.8","3.07","","3.29","3.35","18.9","13743","608331"
"Masahiro Tanaka","NYY","78","46","0","174","173","1054.1","8.46","1.78","1.36",".283","74.5%","47.5%","16.1%","92.2","3.74","","3.91","3.52","18.9","15764","547888"
"Logan Webb","SFG","55","42","0","146","143","855.1","8.10","2.15","0.63",".309","71.5%","58.0%","11.1%","93.1","3.42","","3.11","3.23","18.8","17995","657277"
"Mark Mulder","- - -","103","60","0","205","203","1314.0","5.71","2.82","0.97",".294","71.6%","55.2%","13.7%","89.0","4.18","","4.23","3.98","18.7","932","150426"
"Tim Wakefield","BOS","121","113","7","411","292","2041.2","6.11","3.08","1.18",".272","68.9%","39.6%","9.4%","72.8","4.46","","4.63","4.77","18.7","219","123801"
"Eduardo Rodriguez","- - -","85","57","0","212","206","1150.1","9.03","3.09","1.11",".304","73.8%","41.0%","11.6%","93.3","4.08","","3.89","4.08","18.6","13164","593958"
"R.A. Dickey","- - -","120","118","2","400","300","2073.2","6.41","2.88","1.15",".281","73.3%","45.1%","11.5%","83.2","4.04","","4.41","4.31","18.5","1245","285079"
"Joe Musgrove","- - -","66","62","2","206","180","1056.0","8.95","2.23","1.13",".292","74.5%","44.3%","12.9%","93.1","3.73","","3.78","3.81","18.4","12970","605397"
"David Robertson","- - -","66","46","177","861","1","876.2","11.85","3.67","0.79",".290","78.7%","44.1%","10.4%","92.2","2.91","","2.94","3.06","18.2","8241","502085"
"Mike Leake","- - -","105","98","0","301","296","1829.0","6.06","1.98","1.17",".296","72.5%","50.4%","14.1%","89.9","4.05","","4.24","3.95","18.2","10130","502190"
"Alex Wood","- - -","77","68","0","278","211","1258.0","8.39","2.68","0.91",".305","72.9%","48.2%","11.7%","89.9","3.78","","3.66","3.71","18.1","13781","622072"
"Michael Pineda","- - -","64","61","0","181","180","1008.2","8.62","1.97","1.28",".299","72.3%","42.1%","13.2%","93.4","4.06","","3.81","3.67","17.9","5372","501381"
"Vicente Padilla","- - -","108","90","6","381","237","1568.2","6.43","3.14","1.03",".295","71.8%","46.2%","11.3%","92.9","4.30","","4.40","4.37","17.8","964","218894"
"Mike Minor","- - -","83","90","6","295","228","1409.0","8.13","2.66","1.30",".289","73.0%","37.2%","11.9%","91.8","4.25","","4.17","4.21","17.8","10021","501985"
"Brett Myers","- - -","97","96","40","381","252","1710.0","7.26","2.93","1.30",".292","74.0%","47.6%","14.5%","90.7","4.25","","4.41","3.88","17.8","962","408206"
"Phil Hughes","- - -","88","79","3","290","211","1291.0","7.25","2.18","1.33",".304","71.5%","34.1%","10.7%","92.7","4.52","","4.22","4.22","17.7","7450","461833"
"Jake Westbrook","- - -","105","103","0","315","273","1747.2","4.97","2.94","0.76",".301","69.1%","58.7%","11.5%","83.0","4.32","","4.17","4.07","17.7","412","150414"
"Edwin Jackson","- - -","107","133","1","412","318","1960.0","6.92","3.58","1.14",".308","69.3%","43.3%","11.2%","94.5","4.78","","4.48","4.41","17.6","1841","429719"
"Dylan Cease","- - -","57","46","0","156","156","847.1","10.79","3.81","1.06",".290","73.6%","38.1%","11.3%","96.7","3.75","","3.69","3.89","17.6","18525","656302"
"Jameson Taillon","- - -","71","53","1","201","200","1107.1","7.92","2.17","1.19",".290","73.3%","42.3%","12.0%","94.3","3.89","","3.93","4.01","17.6","11674","592791"
"Jose Contreras","- - -","78","67","9","299","175","1173.0","6.82","3.28","1.01",".292","67.8%","46.0%","10.2%","92.1","4.57","","4.29","4.33","17.6","1660","425747"
"John Danks","CHW","79","104","0","247","247","1503.1","6.60","2.94","1.18",".291","71.7%","41.7%","10.8%","91.0","4.38","","4.41","4.31","17.5","6329","433579"
"Jason Vargas","- - -","99","99","0","298","277","1643.0","6.28","2.78","1.18",".285","72.7%","37.9%","9.8%","87.7","4.29","","4.43","4.66","17.5","8044","450306"
"German Marquez","COL","65","56","0","177","174","1020.0","8.70","2.70","1.25",".304","70.6%","48.5%","16.4%","95.4","4.42","","4.04","3.70","17.3","15038","608566"
