"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Kyle Waldrop","MIN","1","1","0","24","0","32.1","3.34","3.34","0.84",".298","81.6%","72.2%","18.8%","","3.62","","4.93","4.41","-0.3","7513","448252"
"Jaime Schultz","- - -","2","2","0","26","1","35.1","9.68","5.09","1.78",".215","64.5%","28.2%","14.6%","95.0","5.86","","5.55","5.29","-0.3","15066","621289"
"Ben Ford","- - -","1","2","0","23","2","35.0","4.63","4.37","1.29",".298","61.1%","42.0%","12.9%","","7.20","","5.79","5.35","-0.3","1858","136421"
"Ryan Glynn","- - -","7","16","0","39","30","171.2","4.04","4.30","1.63",".294","66.6%","32.8%","17.3%","","5.92","","6.08","4.93","-0.3","686","150281"
"Reymin Guduan","- - -","1","0","0","43","0","39.0","7.15","4.85","1.38",".359","61.9%","42.1%","13.6%","94.9","7.38","","5.20","5.23","-0.3","13058","594056"
"Jake Buchanan","- - -","2","3","0","29","3","64.2","4.59","3.34","0.97",".300","72.7%","58.2%","16.7%","89.8","4.73","","4.87","4.43","-0.3","10962","594772"
"Ryan Feierabend","- - -","2","12","0","33","20","119.0","5.45","3.55","1.66",".360","65.4%","37.2%","12.4%","88.4","7.34","","5.69","5.26","-0.3","6336","456387"
"Jesus Colome","- - -","19","27","6","341","0","426.1","6.97","4.73","1.03",".286","70.6%","34.2%","8.4%","95.4","4.69","","4.72","4.96","-0.3","1198","400125"
"Julian Aguiar","CIN","2","1","0","7","7","31.2","5.40","3.41","2.27",".229","69.8%","37.3%","16.7%","94.4","6.25","","6.86","5.87","-0.3","30031","687924"
"Frankie de la Cruz","- - -","0","0","0","26","1","32.0","5.63","7.31","0.84",".321","51.0%","52.3%","9.4%","93.6","8.16","","5.70","5.77","-0.3","3920","448842"
"Seth Etherton","- - -","9","7","0","23","23","115.2","4.90","3.73","2.10",".274","69.3%","20.1%","11.3%","","6.30","","6.38","5.99","-0.3","322","150003"
"Mike Judd","- - -","1","2","0","13","4","33.0","5.73","4.91","1.64",".291","54.4%","","","","6.55","","5.97","","-0.3","1006639","116781"
"Sam Selman","- - -","1","2","1","75","0","73.0","8.63","3.95","1.36",".234","69.9%","29.6%","11.1%","90.6","4.81","","4.93","5.36","-0.3","13397","572125"
"Spencer Bivens","SFG","3","1","1","27","2","48.2","6.84","2.03","1.66",".264","84.1%","53.9%","17.6%","94.8","3.14","","4.79","3.97","-0.3","30226","702352"
"Jason Alexander","MIL","2","3","0","18","11","71.2","5.78","3.52","1.51",".329","70.7%","50.6%","18.2%","93.1","5.40","","5.34","4.53","-0.3","19666","669920"
"Dusty Hughes","- - -","2","5","0","80","1","83.0","6.51","4.34","0.98",".315","69.6%","37.3%","8.2%","90.4","4.99","","4.77","5.00","-0.3","6164","458250"
"Winston Abreu","- - -","0","1","0","38","0","44.1","7.71","3.86","2.03",".341","60.9%","30.1%","12.8%","92.5","7.31","","5.84","5.19","-0.3","582","275700"
"Matt Maloney","- - -","5","9","0","31","11","91.0","5.84","1.78","1.98",".319","71.4%","36.3%","14.1%","87.8","5.74","","5.43","4.60","-0.3","9920","476011"
"Tony Fiore","- - -","12","6","0","87","2","151.2","5.58","4.51","1.07",".255","72.8%","34.9%","8.9%","","4.39","","5.03","5.32","-0.3","726","150106"
"Ross Wolf","- - -","1","4","0","47","3","72.2","4.46","2.97","1.24",".328","70.1%","48.1%","13.2%","91.5","5.45","","5.00","4.58","-0.3","4534","448693"
"Chad Smith","- - -","1","3","0","25","0","31.2","9.09","6.25","1.14",".325","62.3%","55.2%","14.8%","","7.11","","5.26","4.95","-0.3","20190","663385"
"Mike Nakamura","- - -","0","3","1","31","0","38.1","8.92","2.11","2.58",".313","57.3%","32.0%","19.3%","","7.51","","5.73","4.17","-0.3","1734","425781"
"Neil Ramirez","- - -","4","8","3","185","1","179.2","10.57","4.76","1.65",".286","75.4%","29.5%","13.6%","94.5","4.46","","4.88","4.69","-0.3","7677","519166"
"Brad Mills","- - -","4","4","0","21","14","79.0","8.09","4.90","1.82",".338","60.4%","35.1%","13.6%","84.0","7.97","","5.78","5.06","-0.3","4420","502166"
"Jairo Asencio","- - -","1","2","0","43","0","55.2","6.63","4.53","1.13",".309","66.1%","41.7%","11.3%","93.1","5.34","","4.80","4.74","-0.3","3332","446003"
"Zack Kelly","BOS","7","3","0","70","3","79.2","8.81","4.41","1.36",".252","73.5%","47.7%","15.0%","95.9","3.95","","4.79","4.36","-0.3","20349","677161"
"Mike Jackson","- - -","9","6","4","170","0","170.2","5.33","2.64","1.37",".285","77.2%","39.5%","9.4%","","4.32","","4.86","4.74","-0.3","732","116436"
"Ray Black","- - -","2","3","0","46","0","42.1","11.48","4.68","1.91",".261","69.8%","34.3%","18.0%","98.0","5.53","","5.10","4.48","-0.3","14244","605143"
"Jacob Turner","- - -","14","31","0","102","56","369.0","5.76","3.51","1.22",".312","65.0%","46.5%","12.2%","92.6","5.37","","4.83","4.63","-0.3","10185","545363"
"Merkin Valdez","- - -","3","1","0","74","1","72.2","7.31","5.20","1.11",".335","68.5%","43.9%","12.0%","95.9","5.57","","4.90","4.65","-0.3","7019","429723"
"Tyler Johnson","STL","3","5","0","116","0","77.0","7.60","4.91","1.05",".266","74.5%","40.1%","9.2%","82.1","4.32","","4.93","5.09","-0.3","3404","431164"
"Jay Marshall","OAK","1","4","0","61","0","49.1","3.47","4.01","0.73",".322","53.3%","56.4%","8.9%","83.4","7.66","","5.14","5.25","-0.3","5546","457444"
"Manny Acosta","- - -","13","13","9","233","0","248.0","7.95","4.25","1.09",".293","74.8%","44.8%","12.2%","95.0","3.99","","4.42","4.15","-0.3","8725","407924"
"Matt Hall","- - -","0","4","0","25","1","40.0","9.22","6.30","1.57",".419","48.1%","42.0%","16.3%","89.8","11.47","","5.75","5.52","-0.3","18076","664180"
"Ronald Bolanos","- - -","0","4","0","18","5","48.0","8.06","5.44","1.31",".307","72.4%","46.2%","15.9%","94.3","5.25","","5.40","5.10","-0.3","20041","671790"
"Mark Corey","- - -","2","7","0","81","0","89.2","7.93","4.92","1.41",".331","67.7%","38.3%","14.0%","","6.02","","5.13","4.70","-0.3","870","407579"
"Luis Pineda","- - -","1","4","0","42","2","50.2","7.82","6.75","1.07",".257","75.8%","34.9%","10.8%","","4.44","","5.16","5.05","-0.3","346","400079"
"Dillon Maples","CHC","3","0","0","59","0","54.2","13.01","8.23","0.99",".266","72.8%","50.4%","20.7%","96.1","5.10","","5.23","4.75","-0.3","14672","596027"
"Francisco Rodriguez","LAA","1","3","0","53","0","61.0","6.34","4.57","1.03",".280","75.1%","47.4%","10.4%","94.0","4.43","","4.72","4.58","-0.3","6688","477557"
"Austin Adams","- - -","2","0","1","68","0","75.1","6.93","4.06","1.43",".325","62.8%","45.1%","13.5%","97.2","6.45","","5.04","4.88","-0.3","7411","542866"
"Scott Maine","- - -","2","3","0","50","0","46.2","9.26","4.82","1.54",".318","72.7%","38.1%","16.0%","92.6","5.59","","5.18","4.43","-0.3","885","453186"
"Doug Mathis","TEX","3","3","1","45","6","87.1","4.53","3.61","1.44",".318","73.7%","47.0%","14.9%","91.4","4.84","","5.45","4.76","-0.3","3944","450545"
"Jonah Bayliss","- - -","5","4","0","61","0","64.0","7.59","4.64","1.55",".311","64.1%","27.4%","9.8%","90.9","6.75","","5.51","5.55","-0.3","4560","435058"
