"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Bill Haselman","- - -","182","546","12","51","69","0","6.2%","16.3%",".133",".301",".265",".316",".398",".313","","80","-3.0","-16.8","9.7","1.1","1254","115587"
"Tony Womack","- - -","808","3230","23","438","224","169","5.1%","11.5%",".081",".299",".269",".310",".351",".292","","69","29.1","-100.5","5.5","1.1","78","124523"
"Matt den Dekker","- - -","166","415","7","46","30","12","9.9%","24.1%",".114",".286",".223",".305",".337",".289","","83","4.7","-3.7","1.1","1.1","11385","544925"
"Will Brennan","CLE","149","500","6","47","49","15","3.6%","12.2%",".095",".303",".274",".308",".369",".294","","88","1.5","-6.1","0.0","1.1","25660","686823"
"Joey Wiemer","MIL","132","410","13","48","42","11","8.8%","28.3%",".158",".258",".204",".283",".362",".284","","75","0.9","-11.8","8.8","1.1","27690","686894"
"Will Middlebrooks","- - -","347","1234","43","119","155","10","5.2%","26.3%",".163",".277",".228",".272",".391",".288","","76","-2.1","-35.2","6.1","1.1","7002","519025"
"Tyler Heineman","- - -","104","283","1","25","15","3","7.1%","12.4%",".065",".250",".218",".297",".282",".265","","66","0.0","-11.3","12.3","1.1","13897","623168"
"Kip Wells","- - -","297","371","4","30","17","1","1.1%","38.5%",".073",".321",".190",".205",".263",".205","","14","0.1","-40.3","39.2","1.1","1012","150337"
"Michael Massey","KCR","181","655","19","58","72","9","5.0%","22.1%",".146",".273",".233",".284",".379",".288","","79","3.6","-13.2","1.9","1.1","27684","686681"
"Zach Neto","LAA","84","329","9","38","34","5","6.1%","23.4%",".152",".272",".225",".308",".377",".302","","89","-0.4","-4.9","4.5","1.1","31347","687263"
"Garrett Hampson","- - -","517","1531","29","196","113","57","7.9%","26.6%",".130",".320",".241",".305",".371",".294","","70","14.4","-43.4","2.8","1.1","19262","641658"
"David McCarty","- - -","354","830","26","97","110","1","8.6%","22.4%",".164",".309",".259",".324",".423",".325","","87","0.6","-12.8","-5.3","1.1","1462","118560"
"Abraham Almonte","- - -","463","1379","24","169","118","27","8.6%","23.7%",".138",".295",".233",".300",".371",".294","","82","1.9","-27.8","-7.6","1.1","5486","501659"
"Carlos Martinez","STL","280","274","1","14","23","0","0.7%","31.8%",".048",".276",".185",".199",".233",".189","","14","-0.1","-29.2","30.8","1.1","11682","593372"
"Phillip Ervin","- - -","237","660","17","75","68","15","8.5%","24.2%",".159",".308",".247",".322",".406",".314","","90","4.9","-3.4","-7.5","1.1","14738","640447"
"Matt Morris","- - -","258","531","2","30","29","0","3.2%","30.9%",".048",".264",".170",".200",".218",".188","","6","-0.1","-64.0","57.2","1.0","1172","119403"
"Nick Gordon","MIN","245","752","15","77","80","16","4.3%","22.7%",".142",".308",".250",".293",".392",".297","","92","0.7","-7.3","-7.7","1.0","16337","624503"
"Alex Call","- - -","175","570","13","61","51","12","11.9%","18.9%",".123",".241",".209",".314",".331",".292","","82","0.5","-12.3","3.0","1.0","19296","669743"
"Cameron Rupp","PHI","296","1127","39","100","124","2","7.7%","28.7%",".173",".300",".234",".298",".407",".303","","86","-8.2","-27.0","1.0","1.0","11146","519237"
"Jesus Flores","WSN","311","1014","23","84","127","1","5.7%","23.5%",".133",".297",".241",".289",".375",".289","","73","-7.2","-40.1","18.5","1.0","4166","435520"
"Mark Sweeney","- - -","809","1387","31","144","170","9","12.0%","21.8%",".148",".304",".247",".341",".395",".324","","91","-0.8","-16.5","-19.0","1.0","1408","123040"
"Desi Relaford","- - -","702","2471","34","294","234","64","9.4%","14.6%",".109",".277",".245",".327",".353",".303","","78","7.9","-61.6","-10.8","1.0","1096","121058"
"John Rodriguez","STL","158","388","7","46","43","2","10.3%","23.2%",".136",".382",".298",".378",".434",".352","","113","-0.6","6.0","-8.5","1.0","2338","431138"
"Tommy Medica","SDP","121","338","12","40","37","6","7.1%","29.0%",".172",".320",".246",".308",".417",".321","","108","2.1","5.1","-6.0","1.0","11147","523265"
"Bo Hart","STL","88","335","4","46","30","3","3.9%","20.0%",".113",".335",".272",".313",".385",".307","","84","1.7","-5.2","4.5","1.0","1743","429580"
"Yu Chang","- - -","235","650","20","72","79","5","6.6%","28.9%",".155",".260",".204",".265",".359",".272","","71","-0.4","-23.4","11.0","1.0","14773","644374"
