"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Albert Pujols","- - -","3080","13041","703","1914","2218","117","10.5%","10.8%",".248",".284",".296",".374",".544",".385","","141","-50.0","623.1","-164.7","88.8","1177","405395"
"Alex Rodriguez","- - -","2142","9364","548","1528","1623","211","12.0%","19.1%",".259",".309",".291",".385",".550",".397","","144","26.0","535.7","33.5","88.2","1274","121347"
"Mike Trout","LAA","1489","6521","368","1106","940","206","14.8%","22.4%",".281",".346",".301",".412",".582",".416","","170","63.7","603.0","0.4","85.1","10155","545361"
"Adrian Beltre","- - -","2704","11302","455","1422","1618","100","6.8%","14.1%",".197",".301",".288",".340",".484",".352","","117","-11.7","210.4","199.5","80.2","639","134181"
"Miguel Cabrera","- - -","2797","11796","511","1551","1881","40","10.7%","17.8%",".212",".340",".306",".382",".518",".382","","139","-87.8","459.2","-199.5","67.8","1744","408234"
"Carlos Beltran","- - -","2416","10245","413","1458","1472","282","10.1%","16.2%",".211",".297",".278",".352",".489",".359","","120","65.1","315.7","-17.2","63.3","589","136860"
"Barry Bonds","SFG","986","4072","317","772","697","54","27.7%","10.5%",".402",".283",".322",".517",".724",".490","","203","-5.5","537.4","-37.7","61.9","1109","111188"
"Chase Utley","- - -","1937","7863","259","1103","1025","154","9.2%","15.2%",".190",".297",".275",".358",".465",".356","","118","76.2","256.6","104.2","61.6","1679","400284"
"Mookie Betts","- - -","1265","5757","252","996","756","172","10.7%","13.9%",".232",".305",".294",".373",".527",".381","","140","52.8","331.8","47.8","58.5","13611","605141"
"Freddie Freeman","- - -","1885","8098","321","1217","1143","89","11.5%","19.0%",".213",".344",".301",".388",".514",".383","","142","11.1","426.7","-113.8","58.3","5361","518692"
"Joey Votto","CIN","2056","8746","356","1171","1144","80","15.6%","18.8%",".217",".335",".294",".409",".511",".394","","145","-36.9","436.0","-150.4","58.3","4314","458015"
"Robinson Cano","- - -","2267","9550","335","1262","1306","51","6.5%","12.7%",".187",".316",".301",".351",".488",".358","","124","-36.7","236.9","5.7","58.1","3269","429664"
"Ichiro Suzuki","- - -","2653","10734","117","1420","780","509","6.0%","10.1%",".091",".338",".311",".355",".402",".328","","104","96.0","157.5","58.6","57.7","1101","400085"
"Buster Posey","SFG","1371","5607","158","663","729","23","9.6%","12.9%",".158",".324",".302",".372",".460",".358","","129","-31.7","159.6","216.8","57.6","9166","457763"
"Paul Goldschmidt","- - -","1774","7638","340","1134","1122","158","13.1%","22.3%",".227",".347",".293",".388",".519",".385","","142","34.4","419.0","-109.3","57.4","9218","502671"
"Chipper Jones","ATL","1720","7228","315","1077","1099","67","14.6%","13.1%",".225",".314",".304",".404",".529",".397","","142","-11.7","376.7","-30.7","57.2","97","116706"
"Lance Berkman","- - -","1845","7708","362","1136","1219","81","15.4%","16.6%",".245",".316",".294",".407",".539",".402","","145","-12.2","423.3","-111.0","55.6","548","204020"
"Yadier Molina","STL","2226","8554","176","777","1022","71","6.3%","10.8%",".122",".293",".277",".327",".399",".316","","97","-88.8","-129.9","393.3","55.6","7007","425877"
"Russell Martin","- - -","1693","6648","191","803","771","101","11.9%","18.2%",".148",".283",".248",".349",".397",".330","","104","-21.5","12.8","305.2","54.9","4616","431145"
"Evan Longoria","- - -","1986","8206","342","1017","1159","58","8.9%","20.7%",".207",".296",".264",".333",".471",".343","","117","-4.8","163.7","93.4","54.8","9368","446334"
"Brian McCann","- - -","1755","6850","282","742","1018","25","9.3%","15.4%",".190",".273",".262",".337",".452",".340","","110","-60.8","23.9","288.5","54.5","4810","435263"
"Scott Rolen","- - -","1573","6507","234","914","990","76","10.0%","15.2%",".207",".301",".281",".361",".488",".364","","121","9.5","186.0","148.2","54.0","970","121409"
"Derek Jeter","NYY","2109","9716","197","1437","970","272","8.3%","14.1%",".125",".345",".307",".374",".432",".355","","117","21.5","235.0","-23.4","53.7","826","116539"
"Joe Mauer","MIN","1858","7960","143","1018","923","52","11.8%","13.0%",".132",".341",".306",".388",".439",".358","","123","-5.0","214.9","37.8","53.0","1857","408045"
"Jose Altuve","HOU","1668","7360","209","1062","747","293","7.5%","12.4%",".163",".329",".307",".364",".471",".359","","130","6.1","269.4","0.0","52.6","5417","514888"
"Andrew McCutchen","- - -","2007","8641","299","1173","1045","216","12.2%","19.0%",".189",".315",".276",".369",".465",".361","","129","10.6","300.7","-75.3","52.1","9847","457705"
"David Wright","NYM","1585","6872","242","949","970","196","11.1%","18.8%",".195",".339",".296",".376",".491",".373","","133","17.8","297.6","-8.6","51.2","3787","431151"
"David Ortiz","- - -","2297","9689","531","1361","1716","16","13.1%","17.0%",".270",".298",".287",".380",".557",".394","","141","-76.8","407.6","-234.2","50.9","745","120074"
"Manny Machado","- - -","1583","6874","313","914","944","88","8.2%","17.1%",".210",".298",".279",".339",".490",".351","","123","-11.9","177.2","80.9","50.2","11493","592518"
"Jimmy Rollins","- - -","2275","10240","231","1421","936","470","7.9%","12.3%",".154",".283",".264",".324",".418",".323","","95","82.7","26.2","139.5","49.6","971","276519"
"Matt Holliday","- - -","1903","7981","316","1157","1220","108","10.0%","17.1%",".211",".331",".299",".379",".510",".383","","135","-0.6","334.7","-104.7","49.3","1873","407812"
"Andruw Jones","- - -","1691","6774","354","947","1032","78","10.5%","20.4%",".235",".269",".253",".338",".488",".353","","112","-8.2","96.8","178.8","49.3","96","116662"
"Todd Helton","COL","1901","8100","304","1196","1185","27","14.9%","12.8%",".220",".334",".317",".419",".536",".406","","134","-32.8","326.8","-86.5","49.1","432","115732"
"Nolan Arenado","- - -","1528","6443","325","874","1061","26","7.8%","14.8%",".241",".291",".286",".343",".527",".365","","120","-8.3","146.8","114.7","48.0","9777","571448"
"Francisco Lindor","- - -","1223","5427","215","787","679","156","8.6%","15.9%",".199",".292",".274",".341",".473",".346","","118","14.5","134.0","149.7","47.7","12916","596019"
"Bryce Harper","- - -","1508","6454","306","997","889","133","14.9%","21.6%",".240",".323",".281",".391",".521",".385","","142","3.9","331.5","-73.5","47.5","11579","547180"
"Ian Kinsler","- - -","1888","8299","257","1243","909","243","8.4%","12.6%",".171",".282",".269",".337",".440",".338","","107","48.4","117.4","62.3","47.4","6195","435079"
"Curtis Granderson","- - -","2057","8306","344","1217","937","153","11.1%","23.1%",".217",".290",".249",".337",".465",".347","","115","45.9","194.4","-9.0","47.2","4747","434158"
"Jose Ramirez","CLE","1293","5404","216","784","746","202","10.1%","12.0%",".221",".282",".279",".355",".499",".359","","128","53.9","236.3","40.5","46.7","13510","608070"
"Bobby Abreu","- - -","2048","8596","248","1244","1169","347","14.7%","18.0%",".183",".332",".288",".392",".471",".375","","128","33.6","346.2","-162.4","46.3","945","110029"
"Josh Donaldson","- - -","1384","5856","279","816","816","40","12.4%","20.9%",".229",".289",".261",".358",".489",".363","","132","-9.4","212.7","38.6","46.2","5038","518626"
"Mark Teixeira","- - -","1862","8029","409","1099","1298","26","11.4%","17.9%",".241",".282",".268",".360",".509",".371","","127","-6.7","256.8","-81.3","45.1","1281","407893"
"Jim Edmonds","- - -","1302","5029","272","787","791","41","14.4%","23.3%",".265",".322",".280",".386",".546",".394","","139","-2.5","252.4","42.0","45.0","1153","113744"
"Dustin Pedroia","BOS","1512","6777","140","922","725","138","9.2%","9.7%",".140",".314",".299",".365",".439",".352","","115","-7.3","113.9","86.7","44.5","8370","456030"
"Jose Reyes","- - -","1877","8240","145","1180","719","517","7.1%","11.1%",".144",".305",".283",".334",".427",".330","","103","75.5","106.1","61.9","43.9","1736","408314"
"Ryan Braun","MIL","1766","7340","352","1080","1154","216","8.0%","18.6%",".236",".325",".296",".358",".532",".379","","135","17.4","328.7","-135.2","43.6","3410","460075"
"Torii Hunter","- - -","2230","9251","344","1244","1354","185","6.8%","18.0%",".188",".308",".278",".332",".465",".344","","112","-7.4","121.0","-7.3","43.3","731","116338"
"Ben Zobrist","- - -","1651","6836","167","884","768","116","12.2%","14.5%",".160",".292",".266",".357",".426",".342","","116","15.9","141.1","40.1","42.6","7435","450314"
"J.D. Drew","- - -","1448","5682","224","863","743","68","14.2%","18.5%",".211",".314",".280",".387",".491",".379","","129","16.0","228.2","11.2","42.4","1152","136770"
"Giancarlo Stanton","- - -","1535","6437","402","858","1031","42","11.5%","28.3%",".270",".307",".259",".349",".529",".371","","137","-19.3","261.0","-64.5","41.9","4949","519317"
"Vladimir Guerrero","- - -","1729","7327","357","1072","1215","153","8.5%","10.7%",".231",".317",".318",".381",".549",".389","","137","-46.6","295.0","-115.0","41.9","778","115223"
"Aaron Judge","NYY","835","3619","257","614","572","43","15.5%","28.7%",".305",".340",".282",".396",".586",".409","","165","4.6","285.3","6.1","41.8","15640","592450"
"Hanley Ramirez","- - -","1668","7127","271","1049","917","281","9.3%","17.3%",".197",".320",".289",".360",".486",".364","","125","18.8","235.0","-53.5","41.7","8001","434670"
"Carl Crawford","- - -","1716","7178","136","998","766","480","5.3%","14.9%",".145",".326",".290",".330",".435",".332","","104","86.9","124.2","43.1","41.2","1201","408307"
"Christian Yelich","- - -","1393","6068","193","901","706","184","12.0%","21.8%",".178",".348",".286",".376",".464",".362","","129","44.1","258.7","-54.9","41.0","11477","592885"
"Nelson Cruz","- - -","2055","8396","464","1090","1325","84","8.8%","22.8%",".239",".307",".274",".343",".513",".363","","128","-35.5","249.8","-139.3","40.7","2434","443558"
"Manny Ramirez","- - -","1453","6211","357","971","1149","11","14.1%","18.5%",".276",".342",".315",".417",".591",".421","","157","-30.0","416.4","-212.6","40.6","210","120903"
"Brian Giles","- - -","1407","6176","209","862","806","77","15.1%","10.0%",".205",".293",".289",".400",".494",".384","","136","15.8","303.6","-92.2","40.5","990","114789"
"Jim Thome","- - -","1627","6531","416","974","1120","3","16.9%","25.5%",".288",".311",".270",".396",".558",".402","","145","-33.4","332.4","-145.6","40.3","409","123272"
"Mike Cameron","- - -","1513","6303","234","850","802","209","11.0%","24.3%",".201",".303",".251",".339",".451",".344","","110","45.8","128.5","69.9","40.2","1070","111904"
"Aramis Ramirez","- - -","2104","8647","380","1073","1386","29","7.0%","13.4%",".213",".291",".285",".343",".498",".360","","118","-67.0","120.6","-2.9","39.6","1002","133380"
"Placido Polanco","- - -","1794","7525","102","975","693","78","5.4%","6.7%",".101",".308",".298",".344",".399",".328","","98","-3.5","-22.0","168.5","39.4","1176","135784"
"Ryan Zimmerman","WSN","1799","7402","284","963","1061","43","8.7%","18.7%",".197",".309",".277",".341",".475",".350","","116","1.6","142.2","10.1","39.3","4220","475582"
"Alfonso Soriano","- - -","1966","8387","411","1150","1158","289","5.9%","21.5%",".229",".301",".270",".319",".500",".348","","111","33.8","148.4","-29.4","39.2","847","150093"
"Xander Bogaerts","- - -","1419","6054","175","835","741","93","8.5%","18.1%",".165",".334",".291",".355",".456",".349","","118","26.1","158.0","21.0","38.6","12161","593428"
"Brett Gardner","NYY","1688","6614","139","943","578","274","10.6%","18.8%",".142",".303",".256",".342",".398",".326","","103","74.4","98.2","53.8","38.6","9927","458731"
"Jason Giambi","- - -","1613","6160","334","843","1023","15","17.0%","18.7%",".258",".281",".267",".407",".526",".400","","145","-20.5","334.7","-150.5","38.4","818","114739"
"Miguel Tejada","- - -","1881","8020","273","1074","1163","70","5.8%","10.9%",".171",".299",".292",".340",".463",".345","","110","-23.5","79.3","36.4","37.8","941","123173"
"Troy Tulowitzki","- - -","1291","5415","225","762","780","57","9.4%","16.6%",".205",".313",".290",".361",".495",".368","","119","-18.7","98.8","92.0","37.6","3531","453064"
"Yasmani Grandal","- - -","1235","4642","185","509","565","12","14.1%","23.2%",".189",".276",".237",".347",".426",".337","","113","-50.9","26.2","188.8","37.4","11368","518735"
"Jonathan Lucroy","- - -","1210","4591","108","483","548","30","8.0%","14.4%",".142",".301",".274",".335",".416",".327","","102","-27.0","-18.2","221.8","37.1","7870","518960"
"Johnny Damon","- - -","1846","8251","186","1300","875","298","9.6%","11.7%",".151",".305",".285",".355",".436",".346","","109","67.7","160.3","-69.3","37.1","185","113028"
"Adrian Gonzalez","- - -","1929","8046","317","997","1202","6","9.7%","17.4%",".198",".315",".287",".358",".485",".359","","127","-54.7","202.3","-106.2","36.3","1908","408236"
"Elvis Andrus","- - -","2059","8603","102","1058","775","347","7.1%","14.0%",".101",".305",".269",".325",".370",".306","","86","65.4","-77.1","137.1","36.1","8709","462101"
"Anthony Rizzo","- - -","1635","6961","295","884","930","72","10.8%","16.4%",".211",".279",".263",".364",".474",".360","","128","-32.4","199.3","-72.8","36.1","3473","519203"
"Justin Turner","- - -","1539","5772","187","738","759","45","8.9%","15.2%",".178",".313",".288",".363",".465",".358","","127","-10.2","182.5","-16.6","36.0","5235","457759"
"Jayson Werth","- - -","1583","6366","229","883","799","132","12.0%","22.8%",".188",".321",".267",".360",".455",".356","","120","42.2","190.7","-40.7","36.0","1327","150029"
"Trea Turner","- - -","1004","4428","150","688","510","260","7.1%","18.6%",".187",".339",".296",".349",".483",".355","","122","49.4","170.6","37.9","35.6","16252","607208"
"Jason Heyward","- - -","1703","6642","174","837","681","120","10.2%","17.5%",".152",".294",".258",".339",".410",".328","","105","33.6","72.9","57.0","35.5","4940","518792"
"Jose Bautista","- - -","1798","7244","344","1022","975","70","14.2%","19.2%",".228",".264",".247",".361",".475",".362","","126","-15.7","196.1","-104.2","35.3","1887","430832"
"Jorge Posada","NYY","1537","6065","240","764","920","18","13.3%","20.3%",".206",".319",".277",".379",".483",".373","","127","-53.7","156.5","-1.9","35.3","841","120691"
"Alex Bregman","HOU","966","4198","165","615","588","39","12.7%","13.3%",".213",".283",".274",".373",".487",".368","","137","-8.5","179.8","27.3","35.2","17678","608324"
"George Springer","- - -","1160","5175","242","802","656","86","10.6%","21.0%",".214",".300",".267",".354",".482",".358","","130","7.2","196.1","-24.1","35.2","12856","543807"
"Kyle Seager","SEA","1480","6204","242","705","807","55","8.6%","18.1%",".191",".272",".251",".321",".442",".328","","111","-7.7","71.6","59.6","35.2","9785","572122"
"Jeff Kent","- - -","1266","5377","216","754","850","45","9.4%","14.0%",".217",".316",".300",".371",".518",".379","","130","-16.1","193.8","-12.7","34.9","1119","116999"
"Justin Upton","- - -","1845","7649","325","1058","1003","151","10.3%","25.8%",".208",".319",".261",".342",".469",".350","","117","33.7","188.9","-100.8","34.6","5222","457708"
"Derrek Lee","- - -","1709","7151","308","989","980","97","11.2%","19.7%",".220",".325",".288",".371",".508",".377","","128","-15.9","235.4","-119.3","34.5","525","117601"
"Eric Chavez","- - -","1484","5778","247","763","846","48","10.2%","17.6%",".210",".289",".269",".343",".479",".350","","114","2.4","103.4","47.9","34.4","906","136767"
"Anthony Rendon","- - -","1116","4784","158","662","657","49","11.0%","15.6%",".191",".308",".283",".367",".474",".360","","125","12.3","162.0","21.5","34.3","12861","543685"
"Shin-Soo Choo","- - -","1652","7157","218","961","782","157","12.1%","22.1%",".173",".336",".275",".377",".447",".360","","123","21.4","219.2","-131.4","34.0","3174","425783"
"Starling Marte","- - -","1338","5608","147","794","593","338","5.2%","19.9%",".158",".341",".287",".343",".445",".341","","116","47.4","157.0","-7.1","34.0","9241","516782"
"Edwin Encarnacion","- - -","1960","8126","424","1099","1261","61","11.1%","17.5%",".236",".268",".260",".350",".496",".362","","125","-12.6","223.8","-175.9","33.2","2151","429665"
"Rafael Furcal","- - -","1614","7237","113","1063","587","314","8.9%","12.6%",".122",".310",".281",".346",".402",".330","","99","52.3","46.5","53.9","33.1","88","279577"
"Gary Sheffield","- - -","1268","5399","273","857","869","97","13.3%","11.5%",".233",".288",".294",".394",".527",".394","","141","9.0","293.8","-137.4","32.8","114","122111"
"Carlos Delgado","- - -","1368","5938","324","863","1045","9","13.4%","18.9%",".267",".306",".286",".394",".553",".397","","141","-21.5","286.7","-149.8","32.7","1297","113232"
"Troy Glaus","- - -","1335","5542","290","785","848","50","13.9%","21.3%",".244",".281",".257",".364",".501",".371","","125","-3.2","172.1","-23.1","32.7","15","136267"
"Matt Carpenter","- - -","1452","5616","175","798","644","28","13.5%","20.9%",".191",".307",".260",".367",".451",".354","","125","6.2","173.6","-40.6","32.6","8090","572761"
"Ivan Rodriguez","- - -","1374","5507","167","705","711","67","5.0%","16.4%",".170",".326",".293",".330",".463",".340","","104","-24.4","8.5","138.1","32.5","1275","121358"
"Carlos Correa","- - -","1023","4393","173","568","618","33","10.6%","20.8%",".196",".312",".272",".351",".468",".350","","125","-8.2","124.8","46.2","32.4","14162","621043"
"Corey Seager","- - -","906","3909","170","573","543","17","9.3%","17.7%",".220",".320",".292",".361",".512",".369","","134","3.4","168.3","23.1","32.2","13624","608369"
"Marcus Semien","- - -","1343","5821","215","805","665","120","8.9%","19.0%",".189",".287",".258",".325",".447",".331","","110","23.4","98.9","21.6","32.0","12533","543760"
"Alex Gordon","KCR","1753","7250","190","867","749","113","9.4%","21.2%",".153",".309",".257",".338",".410",".328","","102","18.9","33.8","24.2","32.0","5209","460086"
"J.T. Realmuto","- - -","1140","4579","154","589","578","94","6.6%","20.6%",".183",".316",".273",".330",".456",".335","","111","26.3","86.1","76.0","31.3","11739","592663"
"Kris Bryant","- - -","1006","4354","182","656","532","44","11.2%","23.0%",".216",".329",".276",".371",".492",".369","","129","26.3","184.8","-21.4","31.1","15429","592178"
"Brandon Crawford","SFG","1655","6238","146","669","744","47","8.6%","20.3%",".146",".295",".250",".319",".396",".307","","95","2.7","-33.6","135.2","31.1","5343","543063"
"Howie Kendrick","- - -","1621","6421","127","792","724","126","5.4%","17.2%",".136",".340",".294",".337",".430",".333","","109","-3.6","63.1","24.1","31.0","4229","435062"
"Coco Crisp","- - -","1586","6627","130","877","639","309","8.5%","13.1%",".137",".289",".265",".327",".402",".319","","97","64.1","35.5","42.3","30.7","1572","424825"
"Lorenzo Cain","- - -","1171","4758","87","626","454","190","7.6%","17.9%",".124",".333",".283",".343",".407",".327","","103","32.2","50.4","88.5","30.5","9077","456715"
"Kevin Youkilis","- - -","1061","4436","150","653","618","26","12.2%","18.7%",".197",".321",".281",".382",".478",".375","","127","2.3","150.2","-1.8","30.2","1935","425903"
"Jacoby Ellsbury","- - -","1235","5375","104","749","512","343","7.4%","13.7%",".134",".315",".284",".342",".417",".333","","104","54.0","78.4","30.4","30.1","4727","453056"
"Hunter Pence","- - -","1707","7006","244","891","942","120","7.4%","19.1%",".182",".317",".279",".334",".461",".343","","115","14.7","138.1","-70.2","29.8","8252","452254"
"Magglio Ordonez","- - -","1525","6417","246","894","1043","71","8.9%","11.3%",".197",".321",".312",".375",".509",".380","","130","-26.5","219.6","-136.9","29.7","248","120044"
"Grady Sizemore","- - -","1101","4724","150","660","518","143","10.2%","20.2%",".192",".309",".265",".349",".457",".350","","115","35.0","126.4","15.5","29.7","2197","429713"
"Brian Roberts","- - -","1418","6253","97","850","542","285","9.7%","13.5%",".133",".308",".276",".347",".409",".332","","101","41.5","51.6","33.6","29.7","166","406878"
"Shane Victorino","- - -","1299","5164","108","731","489","231","7.4%","12.1%",".150",".298",".275",".340",".425",".336","","104","53.1","79.0","44.1","29.3","1677","425664"
"Brandon Phillips","- - -","1902","7992","211","1005","951","209","5.3%","13.7%",".145",".296",".275",".320",".420",".321","","95","2.7","-51.3","79.4","28.9","791","408252"
"Adam Jones","- - -","1823","7516","282","963","945","97","4.5%","18.6%",".177",".308",".277",".317",".454",".332","","105","16.3","60.2","-38.4","28.8","6368","430945"
"Michael Brantley","- - -","1445","6149","129","758","720","125","7.9%","10.7%",".141",".316",".298",".355",".439",".344","","117","15.5","141.2","-71.1","28.8","4106","488726"
"J.D. Martinez","- - -","1522","6370","315","851","1002","26","8.7%","24.7%",".237",".340",".287",".350",".524",".368","","132","-44.5","198.5","-129.7","28.7","6184","502110"
"Jhonny Peralta","- - -","1798","7319","202","841","873","17","8.3%","19.8%",".156",".311",".267",".329",".423",".328","","103","-50.2","-30.4","60.3","28.7","1738","425509"
"Nick Markakis","- - -","2154","9321","189","1119","1046","66","9.6%","13.2%",".136",".316",".288",".357",".423",".340","","108","-17.9","78.2","-104.4","28.7","5930","455976"
"Asdrubal Cabrera","- - -","1822","7401","195","886","869","91","8.0%","18.0%",".157",".303",".266",".329",".423",".327","","104","-16.0","22.2","10.7","28.6","4962","452678"
"Juan Soto","- - -","779","3375","160","527","483","50","19.0%","17.1%",".240",".307",".284",".421",".524",".400","","154","-9.1","217.2","-43.5","28.4","20123","665742"
"Edgar Renteria","- - -","1605","6671","117","871","746","168","8.1%","12.7%",".122",".314",".286",".344",".409",".329","","97","10.9","-8.9","78.1","28.4","1178","121074"
"Josh Hamilton","- - -","1027","4350","200","609","701","50","8.1%","21.6%",".226",".331",".290",".349",".516",".368","","127","19.6","159.2","-35.1","27.9","1875","285078"
"J.J. Hardy","- - -","1561","6309","188","718","688","8","6.5%","15.2%",".152",".277",".256",".305",".408",".311","","89","-24.1","-103.7","163.7","27.6","3797","429666"
"Brandon Belt","- - -","1413","5483","194","681","627","47","12.4%","24.5%",".200",".323",".261",".357",".460",".352","","125","-2.5","164.4","-71.9","27.5","10264","474832"
"Matt Chapman","- - -","868","3588","155","487","426","11","10.6%","27.2%",".221",".295",".240",".329",".461",".338","","118","12.9","91.2","59.1","27.4","16505","656305"
"Randy Winn","- - -","1529","6175","107","768","621","180","7.8%","14.2%",".136",".320",".286",".345",".422",".335","","103","30.5","51.7","19.4","27.4","1235","133160"
"Prince Fielder","- - -","1611","6853","319","862","1028","18","12.4%","16.9%",".223",".301",".283",".382",".506",".377","","133","-56.4","219.2","-172.9","27.4","4613","425902"
"Melvin Mora","- - -","1490","6119","171","788","753","91","8.4%","15.5%",".155",".307",".278",".351",".433",".343","","107","-7.1","48.5","20.6","27.3","157","206551"
"DJ LeMahieu","- - -","1561","6452","122","864","625","93","8.4%","15.2%",".123",".332",".292",".354",".415",".334","","102","-19.9","0.6","62.1","27.3","9874","518934"
"Miguel Montero","- - -","1185","4343","126","458","550","5","10.3%","20.3%",".155",".299",".256",".340",".411",".327","","99","-31.1","-37.9","163.2","27.2","3364","471083"
"Denard Span","- - -","1359","5956","71","773","490","185","8.6%","12.0%",".117",".313",".281",".347",".398",".329","","105","32.2","66.9","-3.0","27.1","8347","452655"
"Chase Headley","- - -","1436","5761","130","637","596","93","10.0%","22.5%",".136",".326",".263",".342",".399",".327","","107","4.7","53.6","22.4","27.0","4720","452104"
"Luis Gonzalez","- - -","1316","5466","221","768","778","30","12.5%","11.3%",".220",".290",".288",".382",".508",".379","","124","-9.4","163.6","-67.6","27.0","55","114935"
"Carlos Lee","- - -","1972","8269","342","1059","1279","121","7.8%","11.0%",".200",".282",".284",".340",".484",".352","","113","-30.7","108.2","-106.9","26.9","243","150324"
"Ronald Acuna Jr.","ATL","673","3032","161","543","402","180","11.2%","22.0%",".244",".334",".292",".381",".537",".388","","143","29.2","192.9","-23.7","26.7","18401","660670"
"Jose Abreu","- - -","1411","6100","261","759","953","11","7.0%","20.0%",".208",".322",".286",".348",".494",".357","","128","-29.8","172.7","-120.8","26.7","15676","547989"
"Victor Martinez","- - -","1973","8166","246","914","1178","7","8.9%","10.9%",".160",".305",".295",".360",".455",".351","","117","-88.6","73.5","-85.4","26.6","393","400121"
"Luis Castillo","- - -","1432","6260","26","851","389","284","10.7%","10.1%",".062",".328",".295",".372",".357",".330","","100","30.1","31.5","33.7","26.5","513","112116"
"Mark Ellis","- - -","1435","5728","105","690","550","82","7.6%","14.0%",".122",".291",".262",".327",".384",".314","","93","29.0","-20.4","92.2","26.5","1443","407885"
"Carlos Gomez","- - -","1461","5227","145","675","546","268","6.1%","24.1%",".159",".312",".252",".313",".411",".317","","95","38.7","3.4","73.6","25.9","4881","460576"
"Alex Rios","- - -","1691","6929","169","885","794","253","5.8%","16.1%",".157",".310",".277",".321",".434",".327","","98","25.9","14.2","8.3","25.8","2090","425567"
"Kevin Kiermaier","- - -","1043","3759","90","468","352","126","7.0%","21.9%",".159",".302",".249",".309",".409",".310","","98","28.2","18.4","107.8","25.7","11038","595281"
"Adam Dunn","- - -","2001","8328","462","1097","1168","63","15.8%","28.6%",".253",".286",".237",".364",".490",".367","","123","0.2","240.1","-252.8","25.6","319","276055"
"Mike Lowell","- - -","1496","6141","211","738","905","30","8.5%","12.2%",".187",".288",".280",".343",".467",".348","","109","-39.8","33.1","22.0","25.6","527","136780"
"David DeJesus","- - -","1472","5916","99","740","573","66","8.6%","14.2%",".137",".309",".275",".349",".412",".336","","105","4.7","39.7","14.8","25.5","1825","430203"
"Matt Kemp","- - -","1750","6983","287","950","1031","184","7.4%","23.5%",".200",".337",".284",".337",".484",".350","","120","6.2","170.0","-145.4","25.4","5631","461314"
"Michael Young","- - -","1970","8612","185","1137","1030","90","6.7%","14.3%",".141",".333",".300",".346",".441",".342","","104","-15.9","28.7","-68.0","25.3","1286","276545"
"Marcell Ozuna","- - -","1307","5435","236","666","776","28","8.0%","21.6%",".198",".307",".269",".329",".467",".341","","115","-0.6","102.1","-27.7","25.3","10324","542303"
"Carlos Gonzalez","- - -","1377","5551","234","821","785","122","8.1%","22.3%",".215",".333",".285",".343",".500",".359","","111","20.7","92.1","-24.5","25.2","7287","471865"
"Vernon Wells","- - -","1707","7120","269","922","950","108","6.6%","13.2%",".191",".278",".270",".319",".461",".335","","103","11.1","40.1","-29.4","25.2","1326","150484"
"Carlos Guillen","- - -","1290","5214","123","722","652","72","9.7%","15.1%",".159",".318",".285",".355",".444",".347","","111","-3.7","70.3","6.0","25.1","1079","136722"
"Nick Swisher","- - -","1527","6308","245","805","803","13","13.0%","21.8%",".198",".287",".249",".351",".447",".348","","114","-5.5","104.2","-69.6","25.1","4599","430897"
"Andrelton Simmons","- - -","1226","4816","70","501","444","72","6.3%","9.6%",".103",".279",".263",".312",".366",".297","","86","-6.6","-87.0","172.4","25.0","10847","592743"
"Carlos Santana","- - -","1930","8186","301","995","1011","54","14.8%","16.5%",".190",".258",".242",".356",".432",".343","","116","-10.8","141.3","-172.9","24.9","2396","467793"
"Matt Olson","- - -","899","3788","230","536","615","8","11.9%","23.5%",".266",".279",".256",".351",".522",".367","","135","-3.6","161.3","-43.9","24.9","14344","621566"
"Sammy Sosa","- - -","945","4088","273","634","726","10","12.3%","22.9%",".287",".307",".282",".372",".570",".391","","137","-10.7","187.1","-67.5","24.8","302","122544"
"Melvin Upton Jr.","- - -","1469","5858","164","723","586","300","10.1%","26.6%",".158",".314",".243",".321",".402",".318","","98","41.6","28.9","18.4","24.7","5015","425834"
"Todd Frazier","- - -","1244","4949","218","604","640","73","8.9%","21.9%",".204",".269",".241",".318",".445",".330","","107","2.6","44.3","35.1","24.6","785","453943"
"Brian Dozier","- - -","1144","4900","192","664","561","105","10.0%","19.9%",".197",".271",".244",".325",".441",".331","","107","18.5","56.6","18.6","24.5","9810","572821"
"Javier Baez","- - -","1142","4392","175","573","591","102","4.7%","27.9%",".191",".321",".256",".298",".447",".315","","96","20.3","3.1","95.6","24.4","12979","595879"
"Eugenio Suarez","- - -","1313","5330","246","650","730","30","10.1%","27.1%",".208",".301",".248",".332",".456",".338","","111","-22.7","48.0","17.3","24.4","12552","553993"
"Corey Koskie","- - -","861","3527","112","472","446","67","11.8%","20.2%",".186",".320",".273",".367",".459",".357","","114","-3.5","59.1","68.0","24.3","738","136731"
"Ray Durham","- - -","1228","5139","132","761","579","122","10.2%","14.0%",".173",".302",".277",".354",".450",".349","","109","10.8","69.0","4.8","24.2","230","113660"
"Andre Ethier","LAD","1455","5425","162","641","687","29","9.6%","17.3%",".179",".322",".285",".359",".463",".355","","122","-2.1","143.7","-78.3","24.2","6265","444843"
