player,med,avg,law,plive,ftrax,espn,fg,ba,mlb,bp
Mick Abel,85.5,87.8,,129,74,,95,99,76,54
Carlos Colmenarez,88.0,88.0,,98,78,,,,,
Shane Baz,86.5,89.3,69,163,83,,107,,90,24
Kody Hoese,89.5,89.5,,94,85,,,,,
Brayan Rocchio,90.5,89.8,99,92,89,,79,,,
Jordyn Adams,90.0,89.8,,104,104,75,90,,,76
Taylor Trammell,90.5,90.2,97,123,65,84,,,100,72
Brendan McKay,87.0,90.5,33,141,101,73,123,,72,
Jordan Balazovic,93.5,91.8,63,95,123,92,81,,97,
Jeremy Pena,82.0,94.7,,136,,,66,,,82
Michael Busch,88.0,95.4,74,90,153,88,85,87,,91
Tyler Stephenson,86.5,95.5,,174,,35,78,,95,
Jarren Duran,97.0,96.0,93,97,98,,,,,
Bobby Dalbec,94.5,96.0,,96,105,,,90,93,
Aaron Bracho,96.0,96.0,,86,106,,,,,
Dane Dunning,91.0,97.0,,109,144,81,,,91,60
Matt Allan,96.0,97.4,90,117,127,,96,98,75,79
Ed Howard,90.0,98.0,,116,90,,,,,88
Gregory Santos,98.0,98.0,,,,,98,,,
Tyler Soderstrom,99.0,98.5,,106,120,76,,92,,
Jose Garcia,85.0,101.6,,107,188,85,49,79,,
Luis Rodriguez,102.0,102.0,,89,115,,,,,
Reid Detmers,86.0,104.8,65,170,129,,,,74,86
A.J. Puk,99.0,105.2,84,137,134,72,99,,,
Hudson Head,105.5,105.5,,115,96,,,,,
Shane McClanahan,100.0,105.6,,122,140,94,119,100,84,80
Sherten Apostel,106.5,106.5,,99,114,,,,,
Daniel Espino,108.0,106.5,,118,116,,92,,,100
Alejandro Kirk,96.0,108.3,92,142,183,96,74,70,,101
Gilberto Jimenez,110.0,110.0,,72,148,,,,,
Bo Naylor,114.0,113.3,42,184,,,114,,,
Liover Peguero,113.0,114.5,,114,141,91,112,,,
Peyton Burdick,115.0,115.0,,83,147,,,,,
Keibert Ruiz,77.0,116.1,80,236,275,74,80,53,57,74
Heriberto Hernandez,119.0,116.3,,119,99,,131,,,
Pedro Pineda,118.0,118.0,,103,133,,,,,
Jacob Amaya,118.0,118.0,,,,,118,,,
Jesus Sanchez,119.0,119.0,,125,113,,,,,
Jackson Rutledge,127.0,120.3,,127,136,98,,,,
Misael Urbina,121.5,121.5,,146,97,,,,,
Michael Toglia,121.5,121.5,,131,112,,,,,
Brett Baty,121.0,122.0,,151,121,,,,94,
Jackson Kowar,108.0,122.8,,121,180,,,95,,95
Greg Jones,123.5,123.5,,140,107,,,,,
Aaron Sabato,123.5,123.5,,138,109,,,,,
Yerry Rodriguez,124.0,124.0,,,,,124,,,
Jhoan Duran,111.0,124.3,83,193,139,,82,,,
Shea Langeliers,88.0,124.3,,248,,95,,,73,81
Ivan Herrera,77.0,124.4,68,188,224,77,65,,,
Seth Beer,126.0,126.0,,144,108,,,,,
Ryan Jeffers,60.0,126.6,,164,293,57,59,60,,
Ethan Hankins,127.0,127.0,,135,119,,,,,
Pedro Leon,127.0,127.0,,103,151,,,,,
Matt Canterino,128.0,128.0,,,,,128,,,
Brice Turang,96.0,129.4,96,202,165,,,88,96,
Ryan Weathers,99.0,130.4,77,179,213,99,,84,,
Taylor Walls,108.0,131.7,,198,,89,108,,,
Cade Cavalli,138.0,132.0,,159,138,,,,99,
Alexander Canario,132.5,132.5,,128,137,,,,,
Travis Swaggerty,138.5,132.8,,152,175,79,125,,,
Braden Shewmake,130.0,133.0,64,130,205,,,,,
Trevor Rogers,99.0,133.8,,178,260,78,104,89,,94
Jonathan India,149.0,134.0,88,165,149,,,,,
Bryson Stott,135.0,135.0,,111,159,,,,,
Sam Huff,126.5,135.3,,155,210,,,,78,98
Luisangel Acuna,135.5,135.5,,169,102,,,,,
Bryce Jarvis,135.5,135.5,,139,132,,,,,
Jordan Walker,135.0,137.7,,186,135,,,,,92
Miguel Amaya,89.0,137.8,,166,262,83,,,89,89
Maximo Acosta,139.0,139.0,,167,111,,,,,
Tahnaj Thomas,133.0,139.0,,133,184,,100,,,
Jared Oliva,140.5,140.5,,124,157,,,,,
Diego Cartaya,147.0,141.7,75,147,203,,,,,
Alek Manoah,155.0,142.7,79,194,155,,,,,
Andy Pages,150.0,143.0,,150,162,,117,,,
Zach McKinstry,143.0,143.0,,143,,,,,,
Isaiah Greene,145.0,145.0,,203,87,,,,,
Dean Kremer,145.0,145.0,,145,,,,,,
Bobby Miller,146.5,146.5,,126,167,,,,,
Kevin Alcantara,154.0,151.0,,154,170,,129,,,
Luis Medina,176.0,152.7,,185,176,,97,,,
Stuart Fairchild,153.0,153.0,,153,,,,,,
Kameron Misner,153.5,153.5,,149,158,,,,,
Nick Bitsko,156.5,156.5,,191,122,,,,,
Jake Vogel,160.0,160.0,,,160,,,,,
Isaac Paredes,161.0,161.0,,132,190,,,,,
Yusniel Diaz,162.0,162.0,,162,,,,,,
Corbin Martin,173.0,163.3,,173,202,,115,,,
Slade Cecconi,158.0,165.0,,158,227,,110,,,
Jordan Nwogu,165.5,165.5,,157,174,,,,,
Justin Foscue,166.0,166.0,,,166,,,,,
Alexfri Planez,167.5,167.5,,207,128,,,,,
Miguel Vargas,199.0,170.3,,199,235,,,,,77
Khalil Lee,170.5,170.5,,187,154,,,,,
Reginald Preciado,189.0,171.3,,192,189,,133,,,
Gabriel Arias,146.0,173.7,,288,146,,,,,87
Ezequiel Duran,160.0,177.3,,160,240,,132,,,
Rece Hinds,180.0,180.0,,180,,,,,,
Jordan Westburg,182.0,182.0,,182,182,,,,,
Jeremiah Jackson,182.0,182.0,,168,196,,,,,
Mason Martin,182.0,182.0,,156,208,,,,,
William Contreras,183.0,183.0,70,296,,,,,,
Jeferson Espinal,187.0,187.0,,232,142,,,,,
Dillon Dingler,187.0,187.0,,229,145,,,,,
Monte Harrison,191.5,191.5,,215,168,,,,,
Alexander Vargas,215.0,191.7,,269,215,,91,,,
Joe Ryan,192.0,192.0,,161,223,,,,,
Mark Vientos,181.0,192.3,,181,266,,130,,,
Patrick Bailey,197.0,194.0,,197,285,100,,,,
