"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Tim Lincecum","- - -","190","361","0","9","11","0","5.8%","42.9%",".010",".200",".095",".155",".105",".128","-25","82.6","-0.2","-52.7","36.0","-0.6","5705"
"Daniel Palka","White Sox","154","542","29","60","71","2","7.0%","34.7%",".216",".282",".218",".277",".433",".302","91","91.5","-1.3","-7.8","-17.1","-0.6","14897"
"Mac Williamson","- - -","160","483","17","51","50","4","8.9%","28.8%",".145",".254",".203",".282",".348",".276","72","87.5","-1.7","-18.9","-3.0","-0.6","14158"
"Alberto Gonzalez","- - -","265","580","2","50","47","1","3.8%","15.2%",".066",".263",".226",".257",".292",".242","48","","-3.4","-38.5","14.8","-0.6","4906"
"Kaleb Cowart","Angels","171","406","6","42","34","7","6.4%","29.8%",".116",".241",".176",".238",".292",".233","43","86.5","0.7","-26.9","7.1","-0.6","11494"
"Moises Sierra","- - -","207","509","9","51","41","6","6.3%","26.7%",".128",".308",".235",".287",".362",".286","77","88.6","-2.0","-15.8","-6.9","-0.6","6050"
"Orlando Cabrera","- - -","253","1014","9","103","93","19","4.4%","10.8%",".081",".272",".251",".286",".332",".274","67","","-1.4","-40.3","2.7","-0.6","766"
"Yasmany Tomas","Diamondbacks","309","1175","48","131","163","7","5.2%","25.4%",".193",".323",".266",".306",".459",".325","97","90.3","-8.4","-13.1","-29.7","-0.6","17171"
"Dan Johnson","- - -","115","336","13","39","42","1","14.6%","18.8%",".165",".183",".183",".307",".348",".296","87","77.1","-0.8","-6.1","-11.2","-0.7","2167"
"Grady Sizemore","- - -","313","1112","21","108","105","13","7.2%","23.0%",".138",".290",".233",".294",".371",".294","84","89.3","0.3","-19.5","-22.6","-0.7","2197"
"L.J. Hoes","- - -","112","337","4","37","22","7","6.8%","20.5%",".091",".289",".237",".289",".328",".275","72","85.8","0.9","-9.5","-7.3","-0.7","6656"
"Jason Varitek","Red Sox","107","373","18","50","52","0","8.3%","27.3%",".216",".265",".225",".297",".440",".321","95","","-2.5","-4.6","-14.4","-0.7","217"
"Ben Francisco","- - -","291","747","17","66","78","12","8.7%","18.3%",".138",".277",".241",".313",".379",".306","89","","-0.4","-9.5","-20.0","-0.7","4677"
"Cole Gillespie","- - -","221","482","6","52","46","7","7.1%","20.1%",".116",".306",".251",".305",".367",".294","83","87.6","1.1","-8.4","-13.0","-0.7","5888"
"Steve Lombardozzi","- - -","291","848","5","75","52","10","3.4%","12.3%",".073",".292",".260",".292",".333",".275","70","83.8","-0.7","-30.4","-2.3","-0.7","5422"
"Reid Brignac","- - -","334","847","11","72","78","7","5.5%","26.1%",".083",".284",".215",".262",".298",".249","53","90.7","0.7","-45.6","10.7","-0.7","8380"
"Matt Dominguez","- - -","362","1369","42","123","152","0","4.8%","18.2%",".140",".253",".231",".273",".371",".283","77","93.2","-13.8","-48.7","-1.7","-0.8","4903"
"Pat Valaika","- - -","283","583","25","74","67","0","5.3%","27.3%",".190",".278",".230",".271",".420",".294","69","86.8","-1.2","-23.8","-1.5","-0.8","14885"
"Jabari Blash","- - -","123","324","8","35","22","4","13.6%","38.3%",".120",".299",".186",".306",".307",".278","71","86.9","-0.7","-12.3","-5.8","-0.8","11247"
"Raul Ibanez","- - -","643","2412","89","267","320","12","8.7%","19.4%",".188",".268",".242",".309",".430",".321","100","","-12.7","-11.2","-71.6","-0.8","607"
"Dwight Smith Jr.","- - -","169","568","17","66","68","7","7.2%","21.8%",".168",".292",".248",".310",".416",".309","90","89.1","-0.2","-7.3","-20.2","-0.8","13473"
"Jeff Bianchi","- - -","165","404","4","34","40","4","4.5%","18.8%",".066",".256",".215",".250",".281",".237","41","85.3","-0.9","-28.0","8.6","-0.8","9958"
"Jose Osuna","Pirates","276","705","24","92","88","0","4.8%","17.9%",".189",".262",".241",".280",".430",".299","84","88.5","-2.8","-17.4","-14.4","-0.8","12937"
"J.T. Riddle","- - -","246","787","19","71","80","1","5.0%","21.9%",".133",".262",".222",".261",".355",".263","63","87.3","-4.3","-41.1","6.5","-0.8","17642"
"Ronny Rodriguez","Tigers","146","500","19","46","63","5","4.6%","24.8%",".176",".254",".221",".254",".396",".272","66","87.6","0.8","-20.2","-4.6","-0.8","11875"
"Cesar Izturis","- - -","293","861","3","65","51","12","4.5%","10.3%",".054",".252",".228",".268",".282",".247","46","","-1.8","-56.5","20.3","-0.8","656"
"Chase d'Arnaud","- - -","236","599","5","68","40","29","6.0%","25.4%",".095",".294",".222",".273",".316",".259","59","85.2","4.3","-25.7","-0.7","-0.8","6652"
"Trevor Crowe","- - -","197","692","3","72","51","29","7.1%","17.5%",".077",".294",".241",".298",".318",".278","72","","0.7","-22.1","-9.4","-0.8","3402"
"Deven Marrero","- - -","163","348","5","51","37","10","6.6%","31.9%",".085",".277",".194",".246",".279",".232","37","87.3","0.5","-26.4","7.0","-0.8","13325"
"Bronson Arroyo","- - -","164","349","2","15","13","0","1.1%","38.4%",".030",".223",".130",".141",".160",".134","-31","82.4","-0.1","-53.7","35.3","-0.8","978"
"James Jones","Mariners","136","359","0","47","9","28","3.9%","22.3%",".059",".310",".238",".268",".296",".252","61","92.0","7.5","-8.1","-11.0","-0.8","9767"
"Tony Abreu","- - -","159","426","4","42","42","2","2.8%","21.8%",".116",".306",".247",".268",".363",".274","67","","-5.0","-21.7","0.2","-0.9","5053"
"Brett Wallace","- - -","494","1440","40","143","138","2","8.3%","30.0%",".151",".325",".238",".316",".389",".310","93","88.2","-7.9","-19.4","-33.7","-0.9","8434"
"Henry Blanco","- - -","158","473","14","39","41","2","8.5%","21.4%",".140",".222",".196",".265",".336",".266","62","","-2.0","-23.0","0.2","-0.9","81"
"Ryan Kalish","- - -","153","422","4","52","36","16","6.4%","21.8%",".103",".311",".245",".297",".349",".286","74","89.2","2.0","-10.8","-11.4","-0.9","6962"
"Jon Singleton","Astros","114","420","14","48","50","3","14.3%","36.0%",".160",".242",".171",".290",".331",".284","81","91.8","1.6","-7.1","-14.4","-0.9","10441"
"Kyle Hendricks","Cubs","179","343","0","9","15","0","2.6%","44.3%",".013",".201",".101",".132",".114",".114","-39","83.7","-0.1","-58.5","39.0","-0.9","12049"
"Alen Hanson","- - -","261","625","12","82","55","21","4.2%","23.2%",".135",".285",".232",".266",".368",".270","68","83.9","4.7","-20.7","-9.2","-0.9","12926"
"Felipe Lopez","- - -","161","594","10","64","48","9","8.8%","19.5%",".102",".269",".226",".294",".327",".280","71","","1.4","-18.8","-8.5","-0.9","1311"
"Matt Diaz","- - -","261","649","9","54","65","8","5.4%","18.5%",".116",".294",".248",".295",".364",".289","79","","-4.0","-20.1","-8.5","-0.9","1771"
"Steve Wilkerson","Orioles","135","410","10","43","38","4","6.1%","30.2%",".147",".296",".219",".279",".365",".276","68","86.0","-0.7","-17.4","-6.6","-1.0","16041"
"Paul Janish","- - -","345","924","5","82","65","5","6.9%","14.0%",".066",".246",".215",".276",".281",".252","51","83.6","0.0","-52.9","15.4","-1.0","7412"
"Austin Dean","- - -","101","318","10","34","35","1","6.0%","22.3%",".166",".260",".224",".274",".390",".282","77","88.3","0.7","-8.9","-11.1","-1.0","18288"
"Wilson Valdez","- - -","287","871","5","91","80","13","5.4%","13.8%",".079",".279",".243",".285",".321",".266","61","","1.4","-39.0","3.4","-1.0","1863"
"Richie Martin Jr.","Orioles","120","309","6","29","23","10","4.5%","26.9%",".113",".272",".208",".260",".322",".252","50","83.2","-1.1","-20.7","-0.3","-1.0","17736"
"Julio Lugo","- - -","115","312","0","29","23","5","6.1%","19.6%",".028",".295",".232",".284",".260",".251","48","","-1.7","-20.6","0.4","-1.0","565"
"Hector Sanchez","- - -","347","834","21","60","120","0","4.1%","24.8%",".129",".293",".238",".273",".367",".277","76","86.9","-1.2","-24.9","-10.4","-1.0","10289"
"Taylor Motter","- - -","143","411","10","42","37","13","8.8%","21.7%",".121",".222",".191",".263",".312",".254","57","86.1","-0.2","-21.9","-2.1","-1.0","12399"
"Mark DeRosa","- - -","209","538","8","54","64","2","11.0%","18.8%",".103",".269",".226",".317",".329",".293","82","","-7.9","-19.5","-7.3","-1.0","1392"
"Lance Lynn","- - -","260","328","0","15","5","0","3.7%","47.6%",".018",".187",".083",".126",".101",".109","-41","83.8","-0.1","-54.9","34.7","-1.1","2520"
"Dawel Lugo","Tigers","113","400","7","41","35","0","4.0%","20.0%",".122",".279",".236",".270",".358",".266","62","86.8","-2.6","-21.7","-3.0","-1.1","14713"
"Cheslor Cuthbert","- - -","323","1161","27","100","119","3","6.5%","20.2%",".128",".295",".250",".300",".378",".293","80","88.6","-8.6","-37.9","-13.1","-1.1","10473"
"Cody Asche","- - -","390","1349","32","129","129","5","7.0%","24.5%",".141",".294",".234",".293",".376",".292","82","86.8","-1.2","-30.1","-22.5","-1.1","11997"
"Rafael Ortega","- - -","143","447","3","41","33","17","7.2%","15.7%",".061",".270",".229",".287",".290",".258","59","85.6","0.2","-22.4","-3.0","-1.1","10323"
"Bengie Molina","- - -","118","416","5","27","36","0","5.8%","8.2%",".077",".259",".249",".297",".326",".276","65","","-3.7","-21.0","-3.4","-1.1","24"
"Grant Green","- - -","129","353","4","36","38","1","4.8%","24.9%",".088",".321",".248",".283",".336",".272","73","86.2","-1.8","-13.0","-9.0","-1.1","10053"
"Bill Hall","- - -","189","595","21","70","61","12","8.4%","29.2%",".175",".304",".234",".302",".409",".312","90","","-1.8","-8.4","-22.3","-1.1","1605"
"Aaron Harang","- - -","169","305","0","12","6","0","0.7%","36.7%",".015",".185",".108",".114",".123",".106","-43","84.4","-0.1","-50.8","30.8","-1.1","1451"
"Grayson Greiner","Tigers","106","395","8","35","39","0","8.4%","30.9%",".110",".266",".194",".264",".304",".250","51","87.5","-0.7","-25.0","-1.3","-1.2","17062"
"Elias Diaz","- - -","276","888","15","86","91","1","6.8%","17.0%",".106",".286",".248",".300",".355",".285","74","88.0","-4.2","-34.3","-7.4","-1.2","11680"
"Tim Federowicz","- - -","163","443","12","31","39","1","5.6%","32.3%",".135",".260",".192",".241",".328",".244","50","91.0","-3.5","-29.7","4.4","-1.2","8609"
"Jorge Cantu","- - -","184","670","14","58","72","0","5.4%","18.4%",".125",".276",".242",".287",".367",".288","74","","-2.7","-22.9","-9.4","-1.2","2521"
"Trayvon Robinson","Mariners","90","319","5","28","26","7","6.9%","32.6%",".115",".317",".215",".272",".330",".267","70","","0.8","-10.4","-11.8","-1.2","9875"
"Steve Clevenger","- - -","170","522","4","45","48","0","7.1%","17.2%",".097",".272",".227",".284",".324",".269","65","89.1","-6.8","-27.9","-0.3","-1.2","9542"
"Willie Calhoun","Rangers","160","590","25","65","76","0","6.1%","17.1%",".185",".256",".245",".297",".430",".307","82","89.2","-1.9","-15.0","-17.9","-1.2","17838"
"Ryan Lavarnway","- - -","156","456","9","35","50","0","6.8%","24.1%",".129",".267",".215",".272",".344",".270","64","89.9","-4.2","-23.2","-3.3","-1.3","8879"
"Omar Vizquel","- - -","226","736","2","67","45","15","6.8%","10.9%",".053",".290",".261",".311",".313",".281","68","","-4.4","-31.8","-5.5","-1.3","411"
"Willie Harris","- - -","283","593","12","66","57","11","12.1%","21.9%",".120",".251",".207",".310",".327",".289","78","","-0.4","-15.7","-14.5","-1.3","236"
"Casey Kotchman","- - -","419","1541","31","127","155","5","7.1%","11.2%",".111",".265",".250",".313",".361",".298","88","","-14.8","-35.9","-29.0","-1.3","1930"
"Luis Sardinas","- - -","182","500","5","50","32","10","5.8%","22.0%",".068",".284",".224",".274",".292",".250","53","85.0","1.4","-26.7","-2.1","-1.3","13153"
"Ramon Flores","- - -","119","331","2","21","20","3","9.4%","19.0%",".052",".249",".204",".281",".256",".241","43","84.5","-1.3","-24.2","0.4","-1.4","11165"
"Rob Refsnyder","- - -","181","457","4","50","23","8","10.7%","19.9%",".081",".268",".217",".305",".297",".269","65","88.2","-2.6","-22.2","-7.1","-1.4","13770"
"Miguel Olivo","- - -","370","1362","49","145","160","16","4.4%","27.7%",".168",".292",".236",".269",".404",".290","78","","-3.0","-38.1","-18.3","-1.4","1638"
"Tyler Moore","- - -","381","852","30","75","121","3","5.9%","27.5%",".173",".283",".228",".278",".401",".293","81","88.2","-1.7","-20.3","-19.1","-1.4","7244"
"Mark Teahen","- - -","155","439","8","45","39","3","9.3%","24.1%",".115",".299",".234",".305",".349",".293","75","","-3.9","-16.4","-12.2","-1.4","4511"
"Andy LaRoche","- - -","143","379","4","36","21","1","7.1%","16.6%",".081",".252",".215",".279",".297",".261","60","","-3.8","-21.9","-3.5","-1.4","6444"
"Ty Wigginton","- - -","456","1518","48","164","169","9","8.6%","19.8%",".157",".270",".239",".310",".397",".310","86","","-3.8","-28.2","-34.5","-1.4","1491"
"Matt LaPorta","Indians","239","870","24","77","99","1","8.0%","21.4%",".148",".274",".234",".300",".382",".302","89","","-8.0","-19.3","-24.3","-1.4","2280"
"Ronny Paulino","- - -","189","656","6","55","61","1","6.3%","14.9%",".086",".301",".262",".307",".348",".287","76","","-5.1","-23.9","-10.0","-1.5","2129"
"Gio Gonzalez","- - -","314","475","3","16","17","0","1.9%","40.0%",".039",".155",".090",".118",".129",".113","-41","78.7","-0.1","-81.2","51.8","-1.5","7448"
"Cristhian Adames","- - -","176","367","2","32","22","2","8.2%","21.0%",".070",".273",".213",".289",".284",".258","42","84.6","0.4","-25.3","-0.8","-1.5","6013"
"John Hicks","- - -","254","871","28","91","90","4","5.6%","30.1%",".156",".309",".235",".280",".391",".287","76","87.6","-7.3","-33.2","-11.7","-1.5","12547"
"Wes Helms","Marlins","196","411","4","35","45","0","9.0%","27.0%",".102",".290",".212",".293",".313",".274","64","","-1.1","-18.6","-8.3","-1.5","94"
"John Baker","- - -","186","572","0","33","38","2","9.8%","23.1%",".040",".282",".209",".291",".249",".247","53","","-2.7","-33.5","2.0","-1.5","4756"
"Mike Olt","- - -","135","400","16","32","43","1","9.3%","37.0%",".162",".221",".168",".250",".330",".260","61","86.0","-1.7","-19.6","-7.5","-1.6","10698"
"Rod Barajas","- - -","301","1037","44","97","125","0","6.2%","18.7%",".181",".235",".225",".285",".406",".297","86","","-6.4","-23.6","-22.8","-1.6","45"
"Tuffy Gosewisch","- - -","137","447","5","25","30","2","4.3%","20.4%",".081",".230",".190",".228",".271",".222","29","87.0","-1.8","-39.1","9.9","-1.6","5277"
"Chris Herrmann","- - -","370","992","25","108","103","10","9.5%","27.4%",".139",".265",".205",".282",".344",".276","67","89.0","6.0","-33.7","-14.1","-1.6","9284"
"Matt Garza","- - -","202","303","0","7","4","0","1.7%","49.2%",".011",".188",".083",".109",".094",".096","-55","78.6","-0.5","-55.9","31.2","-1.6","3340"
"Anthony Recker","- - -","206","630","18","55","70","3","9.5%","30.6%",".149",".266",".199",".283",".348",".279","76","91.7","3.1","-14.0","-20.7","-1.6","4063"
"Christin Stewart","Tigers","157","587","15","45","59","0","8.3%","24.9%",".150",".279",".225",".300",".376",".290","78","86.7","-3.0","-19.7","-19.2","-1.7","17714"
"Jimmy Paredes","- - -","332","1012","20","104","100","19","4.8%","28.4%",".118",".336",".251",".286",".369",".286","77","90.0","3.5","-23.7","-24.7","-1.7","5481"
"Yadiel Rivera","- - -","192","319","1","33","15","5","8.5%","30.4%",".042",".258",".175",".244",".217",".208","26","89.6","0.9","-28.5","1.0","-1.8","11863"
"Marc Krauss","- - -","146","435","12","30","42","2","7.8%","29.9%",".136",".245",".188",".255",".324",".260","62","87.7","-2.2","-20.7","-9.6","-1.8","7577"
"Matt Treanor","- - -","190","636","10","57","59","4","11.0%","19.7%",".091",".244",".205",".305",".297",".276","66","","-2.7","-28.5","-9.8","-1.8","2265"
"Jorge Posada","Yankees","235","838","32","83","101","3","11.7%","20.9%",".186",".275",".242",".338",".428",".337","107","","-10.7","-4.0","-42.0","-1.8","841"
"JB Shuck","- - -","461","1289","8","137","86","25","6.7%","11.0%",".071",".268",".243",".296",".314",".271","70","84.7","2.5","-42.5","-17.4","-1.8","6677"
"Chris Nelson","- - -","282","901","16","96","100","9","6.1%","22.5%",".124",".330",".265",".311",".388",".304","79","","-5.4","-27.3","-18.1","-1.9","8175"
"Christian Bethancourt","- - -","161","489","8","43","46","3","3.7%","24.3%",".094",".280",".222",".252",".316",".248","52","87.8","-2.8","-30.5","-2.7","-1.9","10028"
"Emmanuel Burriss","- - -","170","362","0","37","11","17","5.5%","14.6%",".015",".241",".202",".261",".218",".221","37","87.7","2.1","-24.8","-4.7","-1.9","2917"
"Brandon Wood","- - -","186","515","11","46","45","1","4.9%","28.0%",".095",".235",".183",".226",".277",".224","36","","-0.4","-39.0","3.2","-2.0","6592"
"Johnny Cueto","- - -","247","503","0","17","16","0","1.8%","27.2%",".002",".155",".106",".124",".108",".107","-45","80.5","-0.2","-87.2","52.7","-2.0","6893"
"Skip Schumaker","- - -","700","2128","13","213","181","12","7.8%","15.0%",".077",".307",".263",".323",".340",".296","85","85.6","-6.9","-43.3","-40.5","-2.1","3704"
"Michael Choice","- - -","96","300","9","22","36","1","7.3%","25.3%",".132",".221",".188",".253",".320",".258","58","","-2.3","-16.4","-12.2","-2.1","11376"
"Rob Brantly","- - -","128","432","7","32","37","1","7.6%","21.3%",".102",".277",".228",".292",".330",".274","71","81.9","-1.9","-16.1","-17.0","-2.2","10655"
"Alexi Amarista","- - -","702","1901","21","171","169","39","5.7%","15.5%",".093",".264",".231",".275",".323",".262","64","85.3","6.1","-74.7","-6.1","-2.3","9063"
"Joe Mather","- - -","175","390","6","29","31","6","5.6%","20.5%",".103",".254",".211",".257",".314",".250","51","","-0.5","-23.2","-10.4","-2.3","3714"
"Xavier Nady","- - -","282","778","17","75","85","3","5.8%","22.8%",".118",".281",".232",".286",".350",".281","70","","-1.1","-28.8","-16.6","-2.3","1658"
"Pedro Feliz","- - -","137","429","5","36","40","1","3.0%","9.6%",".076",".228",".218",".240",".293",".235","40","","0.0","-30.8","-4.4","-2.3","1112"
"Felix Pie","- - -","194","514","5","59","40","9","4.9%","18.9%",".106",".298",".247",".284",".353",".282","70","","-0.1","-18.3","-20.9","-2.3","3751"
"Yuniesky Betancourt","- - -","497","1809","49","167","228","6","3.4%","12.3%",".143",".250",".242",".267",".385",".282","72","","-4.0","-62.3","-17.6","-2.3","8585"
"Ryan Spilborghs","Rockies","232","611","13","63","61","6","9.5%","21.6%",".135",".311",".253",".332",".388",".322","85","","-6.3","-17.1","-24.0","-2.4","4521"
"Jesus Montero","- - -","226","865","28","73","104","0","5.5%","19.9%",".145",".287",".253",".295",".398",".299","92","91.1","-10.3","-18.6","-32.8","-2.4","5514"
"Bryan Holaday","- - -","290","768","10","70","78","1","5.3%","18.6%",".095",".281",".238",".283",".333",".268","65","85.4","-6.0","-37.6","-10.7","-2.5","11287"
"Juan Centeno","- - -","118","371","6","25","37","1","6.5%","19.4%",".100",".266",".223",".278",".323",".264","61","85.5","-3.7","-21.1","-16.3","-2.6","7168"
"Mark Kotsay","- - -","397","941","14","65","88","4","8.2%","10.8%",".103",".260",".242",".304",".345",".288","77","","-7.2","-32.3","-22.5","-2.6","1042"
"Tony Cruz","- - -","272","664","6","51","61","0","4.8%","19.7%",".092",".262",".216",".256",".308",".248","53","85.2","-4.9","-40.6","-3.8","-2.6","2802"
"Michael Martinez","- - -","295","621","6","67","42","4","6.0%","21.1%",".067",".241",".194",".243",".261",".225","34","86.2","1.8","-46.1","0.3","-2.8","7358"
"Greg Dobbs","- - -","492","1267","20","98","127","6","5.6%","17.6%",".102",".294",".254",".297",".355",".284","75","","-4.1","-40.6","-24.1","-2.8","2158"
"Lou Marson","Indians","239","806","4","82","54","16","10.9%","20.7%",".074",".274",".215",".305",".289",".273","70","","-2.7","-30.7","-24.8","-2.9","7610"
"Jake Elmore","- - -","217","527","4","37","37","4","9.5%","15.2%",".060",".249",".215",".292",".275",".257","57","83.9","-4.6","-31.5","-14.1","-3.0","7290"
"Lewis Brinson","- - -","252","821","16","62","72","8","5.2%","29.4%",".114",".252",".189",".242",".304",".237","47","88.6","1.3","-54.1","-2.3","-3.0","14352"
"Brett Hayes","- - -","175","452","12","41","35","1","5.5%","30.1%",".149",".269",".203",".248",".352",".258","57","84.2","0.3","-22.4","-20.4","-3.1","4293"
"Rob Johnson","- - -","165","504","5","38","35","4","9.1%","23.8%",".086",".253",".196",".276",".282",".251","58","","-2.8","-27.4","-23.7","-3.7","8029"
"Drew Butera","- - -","544","1437","19","122","118","0","6.1%","21.3%",".096",".243",".198",".255",".294",".245","48","85.4","-3.9","-93.3","9.5","-3.7","3411"
"Jordan Pacheco","- - -","377","1149","10","98","114","8","4.6%","14.2%",".093",".311",".272",".310",".365",".297","70","81.8","-5.0","-44.5","-30.9","-4.4","2677"
"Koyie Hill","- - -","162","506","3","41","28","2","5.7%","25.9%",".071",".269",".199",".245",".270",".227","33","","-0.6","-40.5","-17.1","-4.5","1829"
"Gerald Laird","- - -","290","908","9","81","71","5","7.6%","16.9%",".090",".279",".236",".301",".326",".280","72","64.7","-2.8","-31.9","-43.1","-4.8","1698"
"Ryan Doumit","- - -","570","1924","58","175","222","3","7.3%","19.1%",".161",".294",".258",".318",".419",".321","101","","-14.6","-12.3","-103.7","-5.8","2113"
