"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Jose Guillen","- - -","148","577","19","55","77","1","5.5%","19.6%",".158",".291",".258",".314",".416",".322","98","","-8.6","-9.9","-8.3","0.1","57"
"Travis Ishikawa","- - -","323","558","11","52","79","0","8.1%","24.2%",".134",".314",".246",".313",".381",".303","89","86.8","-3.5","-10.4","-5.4","0.1","4793"
"Jonathan Herrera","- - -","462","1279","10","131","86","17","7.2%","14.5%",".071",".302",".261",".318",".332",".289","66","83.7","0.4","-50.1","12.5","0.1","4182"
"Delmon Young","- - -","666","2520","71","262","334","8","4.2%","17.3%",".147",".311",".278",".312",".425",".320","99","88.2","-13.3","-16.4","-66.2","0.1","2140"
"Kevin Frandsen","- - -","340","910","8","93","71","3","4.1%","9.5%",".085",".289",".267",".316",".352",".298","86","91.8","-3.4","-18.0","-9.0","0.1","7528"
"Kyle Farmer","- - -","188","364","9","28","42","5","5.5%","24.7%",".128",".303",".242",".297",".370",".286","74","86.7","0.6","-11.6","0.1","0.1","14813"
"Austin Riley","Braves","131","503","26","65","76","0","6.4%","31.2%",".216",".287",".232",".288",".448",".307","87","90.1","-1.5","-10.1","-4.0","0.1","18360"
"Yairo Munoz","- - -","208","555","11","65","59","15","6.7%","21.4%",".124",".342",".278",".332",".402",".314","97","86.6","-2.5","-4.9","-11.6","0.1","16313"
"Jesus Flores","Nationals","113","387","7","27","28","1","4.7%","22.2%",".113",".256",".212",".249",".325",".246","49","","-2.5","-25.6","14.8","0.1","4166"
"Domonic Brown","Phillies","493","1748","54","188","229","23","7.9%","18.1%",".159",".273",".246",".305",".405",".310","94","87.0","-1.9","-13.6","-38.7","0.1","3154"
"Wil Nieves","- - -","224","663","8","45","57","1","3.8%","19.3%",".090",".297",".248",".278",".338",".269","62","75.7","-5.9","-35.1","15.6","0.1","1556"
"Billy McKinney","- - -","124","411","18","52","41","1","7.3%","25.8%",".206",".270",".231",".291",".437",".308","91","87.4","-1.9","-6.6","-7.0","0.1","15654"
"Nicky Delmonico","White Sox","158","574","18","62","57","3","9.8%","24.0%",".159",".272",".224",".312",".384",".304","92","85.4","-3.1","-9.0","-10.1","0.1","13157"
"Geoff Blum","- - -","133","304","4","31","33","0","7.2%","16.1%",".097",".286",".247",".306",".344",".288","75","","1.1","-8.1","-0.7","0.0","550"
"Garrett Hampson","Rockies","182","559","13","68","42","23","7.9%","28.6%",".140",".330",".245",".305",".385",".297","67","85.9","6.8","-17.3","-1.2","0.0","19262"
"Jeff Francoeur","- - -","775","2720","72","276","298","39","5.4%","20.5%",".149",".291",".250",".295",".399",".299","85","87.9","-8.3","-56.8","-29.9","0.0","4792"
"Jordany Valdespin","- - -","214","467","15","52","52","15","5.8%","19.1%",".153",".239",".216",".271",".369",".282","79","94.4","3.8","-7.5","-6.2","0.0","5098"
"Bryan Petersen","Marlins","181","539","2","48","29","15","9.6%","21.0%",".085",".282",".220",".303",".305",".275","69","","3.6","-16.2","0.0","0.0","2567"
"Jon Lester","- - -","336","358","3","24","28","1","5.3%","36.6%",".056",".178",".111",".162",".167",".150","-16","88.6","0.1","-51.0","40.4","0.0","4930"
"Josh Rutledge","- - -","370","1206","20","156","111","24","5.9%","22.8%",".126",".325",".258",".310",".384",".305","77","88.1","9.0","-23.6","-13.5","0.0","11167"
"Nick Solak","Rangers","91","368","7","46","40","9","9.0%","19.3%",".120",".331",".277",".351",".397",".325","95","89.4","2.2","0.1","-13.1","0.0","19294"
"Luke Hughes","- - -","106","348","8","32","33","4","6.9%","26.4%",".114",".279",".218",".277",".331",".273","67","","2.4","-11.1","-0.3","0.0","4898"
"Clayton Richard","- - -","234","353","3","17","26","0","2.3%","41.9%",".060",".209",".116",".149",".175",".146","-14","83.9","-0.1","-48.8","38.0","0.0","3551"
"Jordan Danks","- - -","184","390","8","41","26","15","9.7%","31.0%",".098",".315",".224",".300",".322",".280","73","80.7","1.4","-10.5","-2.2","0.0","9187"
"Steven Duggar","Giants","135","469","6","49","48","7","5.8%","28.4%",".112",".322",".236",".281",".349",".271","69","85.6","1.6","-17.3","1.5","0.0","17719"
"Darin Mastroianni","- - -","136","317","4","35","24","25","7.6%","26.2%",".074",".274",".206",".271",".280",".250","52","66.3","3.6","-13.9","3.4","0.0","7316"
"Gregorio Petit","- - -","172","437","4","49","34","4","5.7%","24.3%",".099",".321",".245",".293",".344",".279","75","86.5","-1.4","-14.6","-0.4","0.0","3812"
"Nick Williams","Phillies","290","903","31","107","110","4","6.2%","27.8%",".166",".327",".254",".313",".420",".316","94","88.3","-1.2","-8.8","-20.8","0.0","14330"
"Mike Cameron","- - -","126","449","13","51","42","1","9.4%","22.9%",".150",".269",".226",".302",".376",".302","83","","1.0","-7.8","-7.3","0.0","1070"
"Michael Chavis","Red Sox","137","540","23","62","77","5","7.2%","32.8%",".183",".325",".241",".304",".424",".308","87","88.7","-2.8","-11.6","-6.5","0.0","17321"
"Brad Hawpe","- - -","182","594","13","52","65","2","11.1%","28.1%",".142",".319",".237",".323",".379",".310","87","","0.5","-8.1","-10.5","0.0","1885"
"Steve Tolleson","- - -","182","363","6","39","29","6","6.6%","23.1%",".127",".310",".245",".299",".372",".297","86","82.0","-1.9","-7.9","-4.5","0.0","4450"
"Clete Thomas","- - -","107","351","5","42","17","1","8.5%","30.8%",".097",".298",".208",".280",".305",".264","61","","0.1","-15.4","3.5","-0.1","3373"
"Andrew Brown","- - -","144","362","14","37","45","3","7.7%","27.9%",".171",".269",".220",".281",".390",".295","81","","0.8","-7.3","-4.1","-0.1","3837"
"Greg Allen","- - -","221","618","8","77","57","32","4.9%","20.9%",".104",".295",".239",".298",".343",".280","69","87.0","4.7","-19.4","-2.7","-0.1","16623"
"Troy Glaus","Braves","128","483","16","52","71","0","13.0%","20.7%",".160",".277",".240",".344",".400",".332","104","","-0.7","1.5","-16.8","-0.1","15"
