player,med,avg,mlb,law,espn,fg,ba,plive,p365,cbs
Joe Rock,76.0,73.0,56,,,76,87,,,
Caedmon Parker,73.5,73.5,77,,,70,,,,
Alex Ulloa,75.0,75.0,,,,,,74,76,
Ryan Bliss,76.0,76.0,,,,,76,,,
Bryce Miller,76.5,76.5,,,,55,,98,,
Carson Seymour,76.5,76.5,,,,,,76,77,
Tommy Dilandri,77.5,77.5,66,,,,89,,,
Sean Sullivan,78.0,78.0,,,,,78,,,
Ryan Spikes,78.5,78.5,,,,,,73,84,
Luke Leto,93.0,80.0,,,,53,,94,93,
Wes Kath,80.5,80.5,82,,,,79,,,
Jesse Bergin,81.0,81.0,,,,,81,,,
Eric Hammond,85.0,81.7,70,,,,85,,90,
Ryan Holgate,86.0,82.0,86,,,,,86,74,
Jack Perkins,83.0,83.0,,,,,74,92,,
Ricky Tiedemann,83.5,83.5,,,,,,87,80,
Myles Austin,84.0,84.0,,,,84,,,,
Mason Albright,85.0,84.0,85,,,,88,78,85,
Jerrion Ealy,85.0,85.0,,,,85,,,,
Philip Abner,85.5,85.5,89,,,,82,,,
Nick Nastrini,81.0,85.7,81,,,81,95,,,
Landon Marceaux,85.0,85.7,,,,,83,85,89,
Brandon Birdsell,87.0,87.0,,,,,,83,91,
Rene Lastres,90.0,90.0,90,,,,,,,
James Peyton Smith,91.0,91.0,91,,,,,,,
Michael Robertson,91.5,91.5,83,,,,,,100,
Ben Specht,92.0,91.7,,,,,92,89,94,
Glenn Albanese,93.0,93.0,87,,,,,,99,
Hugh Fisher,93.0,93.0,,,,,,90,96,
Brant Hurter,93.0,93.0,,,,,93,,,
Cameron Cauley,93.0,93.0,93,,,,,,,
Camden Hayslip,94.0,94.0,,,,,94,,,
Colson Montgomery,94.5,94.5,,,,,,91,98,
Tommy White,95.5,95.5,94,,,,97,,,
Nic Kent,96.0,96.0,,,,,96,,,
Grant Holman,97.0,97.0,97,,,,,,,
Trenton Denholm,98.0,98.0,,,,,98,,,
Danny Serretti,99.0,99.0,,,,,99,,,
Noah Miller,99.0,99.0,99,,,,,,,
Ty Evans,100.0,100.0,,,,,100,,,
Roc Riggio,100.0,100.0,100,,,,,,,
Parker Chavers,100.0,100.0,,,,,,100,,
